ENSPVIT00000012042 ENSPVIG00000007537
ENSSHAT00000002175 ENSSHAG00000001914
ENSPCIT00000005712 ENSPCIG00000003789
ENSPCIT00000063180 ENSPCIG00000003789
ENSPCIT00000052534 ENSPCIG00000003789
ENSDNOT00000017262 ENSDNOG00000017262
ENSCCNT00000037799 ENSCCNG00000028743
ENSCCNT00000037800 ENSCCNG00000028743
ENSDORT00000003141 ENSDORG00000003141
ENSMSIT00000018325 ENSMSIG00000012418
MGP_SPRETEiJ_T0030239 MGP_SPRETEiJ_G0017721
ENSMUST00000019069 ENSMUSG00000018925
MGP_CAROLIEiJ_T0028832 MGP_CAROLIEiJ_G0016877
MGP_PahariEiJ_T0035555 MGP_PahariEiJ_G0018008
ENSRNOT00000077035 ENSRNOG00000037100
ENSMUGT00000023512 ENSMUGG00000017254
