ENSMNET00000052579 ENSMNEG00000037564
ENSMMUT00000068881 ENSMMUG00000037639
ENSMMUT00000090152 ENSMMUG00000037639
ENSMMUT00000110324 ENSMMUG00000037639
ENSMMUT00000107053 ENSMMUG00000037639
ENSCSAT00000005485 ENSCSAG00000007442
ENSPSMT00000034453 ENSPSMG00000020692
ENSPSMT00000034456 ENSPSMG00000020692
ENSPSMT00000034459 ENSPSMG00000020692
ENSPSMT00000034464 ENSPSMG00000020692
ENSCCNT00000039784 ENSCCNG00000030089
ENSCCNT00000039785 ENSCCNG00000030089
ENSCCNT00000039787 ENSCCNG00000030089
ENSCCNT00000039789 ENSCCNG00000030089
ENSOCUT00000010097 ENSOCUG00000010097
ENSOCUT00000047654 ENSOCUG00000010097
ENSUAMT00000026637 ENSUAMG00000018665
ENSUAMT00000026638 ENSUAMG00000018665
ENSUAMT00000026639 ENSUAMG00000018665
ENSUMAT00000041289 ENSUMAG00000025115
ENSUMAT00000041291 ENSUMAG00000025115
ENSUMAT00000041292 ENSUMAG00000025115
