ENSXMAT00000031907 ENSXMAG00000026177
ENSPLAT00000018628 ENSPLAG00000014368
ENSPLAT00000018651 ENSPLAG00000014368
ENSPFOT00000013575 ENSPFOG00000013496
ENSPMET00000017038 ENSPMEG00000012171
ENSPMET00000030913 ENSPMEG00000012171
ENSPMET00000030917 ENSPMEG00000012171
ENSPRET00000029222 ENSPREG00000019549
ENSPRET00000029231 ENSPREG00000019549
ENSGAFT00000025692 ENSGAFG00000017175
ENSFHET00000019664 ENSFHEG00000013909
ENSFHET00000019677 ENSFHEG00000013909
ENSCVAT00000004829 ENSCVAG00000008130
ENSHCOT00000026685 ENSHCOG00000014660
ENSPMGT00000020288 ENSPMGG00000015485
