>ENSCSET00000009235	ENSCSEG00000005853
>ENSGWIT00000013068	ENSGWIG00000006873
>ENSGWIT00000013070	ENSGWIG00000006873
>ENSGWIT00000013071	ENSGWIG00000006873
>ENSMALT00000017917	ENSMALG00000012259
>ENSMALT00000017935	ENSMALG00000012259
>ENSMALT00000017948	ENSMALG00000012259
>ENSBSLT00000051508	ENSBSLG00000022328
>ENSPFOT00000009724	ENSPFOG00000009761
>ENSPFOT00000022436	ENSPFOG00000009761
>ENSPMET00000012292	ENSPMEG00000003637
>ENSPMET00000012299	ENSPMEG00000003637
>ENSPMET00000012308	ENSPMEG00000003637
>ENSPLAT00000028674	ENSPLAG00000023878
>ENSPLAT00000032149	ENSPLAG00000023878
>ENSPRET00000023147	ENSPREG00000015469
>ENSPRET00000023153	ENSPREG00000015469
>ENSXMAT00000037708	ENSXMAG00000022972
>ENSXMAT00000021100	ENSXMAG00000022972
>ENSXCOT00000002065	ENSXCOG00000001640
>ENSGAFT00000025119	ENSGAFG00000016779
>ENSGAFT00000025121	ENSGAFG00000016779
>ENSFHET00000013376	ENSFHEG00000002495
>ENSFHET00000013380	ENSFHEG00000002495
>ENSFHET00000013390	ENSFHEG00000002495
>ENSFHET00000013401	ENSFHEG00000002495
>ENSCVAT00000007527	ENSCVAG00000006242
>ENSKMAT00000005746	ENSKMAG00000004296
>ENSKMAT00000005765	ENSKMAG00000004296
>ENSORLT00000039387	ENSORLG00000022969
