ENSPKIT00000025308 ENSPKIG00000019705
ENSSFOT00015026674 ENSSFOG00015016953
ENSSFOT00015022497 ENSSFOG00015014308
ENSSFOT00015022518 ENSSFOG00015014308
ENSCHAT00000058738 ENSCHAG00000024666
ENSCHAT00000058759 ENSCHAG00000024666
ENSCHAT00000058769 ENSCHAG00000024666
ENSCHAT00000058794 ENSCHAG00000024666
ENSDCDT00000063549 ENSDCDG00000031385
ENSDCDT00000063554 ENSDCDG00000031385
ENSPNAT00000028910 ENSPNAG00000005201
ENSAMXT00000048916 ENSAMXG00000039169
ENSEEET00000048672 ENSEEEG00000022667
ENSEEET00000048673 ENSEEEG00000022667
ENSIPUT00000026629 ENSIPUG00000017273
ENSIPUT00000026660 ENSIPUG00000017273
ENSIPUT00000026679 ENSIPUG00000017273
