FBtr0083558 FBgn0038578
Y113G7B.18a.1 WBGene00007017
Y113G7B.18a.2 WBGene00007017
Y113G7B.18a.3 WBGene00007017
Y113G7B.18b.1 WBGene00007017
Y113G7B.18b.2 WBGene00007017
Y113G7B.18b.3 WBGene00007017
ENSACAT00000014499 ENSACAG00000014462
ENSPVIT00000012434 ENSPVIG00000007763
ENSNSUT00000026724 ENSNSUG00000018104
ENSNSUT00000026727 ENSNSUG00000018104
ENSNSUT00000026728 ENSNSUG00000018104
ENSNSUT00000026731 ENSNSUG00000018104
ENSNSUT00000026732 ENSNSUG00000018104
ENSNSUT00000026733 ENSNSUG00000018104
