ENSCCET00000000430 ENSCCEG00000000320
ENSRROT00000041868 ENSRROG00000032956
ENSRROT00000041874 ENSRROG00000032956
ENSRROT00000041879 ENSRROG00000032956
ENSPTET00000008971 ENSPTEG00000006735
ENSPTET00000008978 ENSPTEG00000006735
ENSMMUT00000006092 ENSMMUG00000004287
ENSMMUT00000062384 ENSMMUG00000004287
ENSMMUT00000099909 ENSMMUG00000004287
ENSCCAT00000052528 ENSCCAG00000035320
ENSCCAT00000052531 ENSCCAG00000035320
ENSCCAT00000052537 ENSCCAG00000035320
ENSNGAT00000025749 ENSNGAG00000019692
ENSMAUT00000025653 ENSMAUG00000019318
ENSFCAT00000051355 ENSFCAG00000046536
ENSFCAT00000050136 ENSFCAG00000046536
