ENSMFAT00000057981 ENSMFAG00000024169
ENSMNET00000021881 ENSMNEG00000020052
ENSMMUT00000022042 ENSMMUG00000015706
ENSMLET00000028777 ENSMLEG00000026250
ENSCATT00000026317 ENSCATG00000022780
ENSTGET00000032666 ENSTGEG00000022122
ENSPANT00000018097 ENSPANG00000015250
ENSCSAT00000019567 ENSCSAG00000019477
ENSPTET00000030667 ENSPTEG00000022326
ENST00000371126 ENSG00000198889
ENSPTRT00000042258 ENSPTRG00000043960
ENSPPAT00000028421 ENSPPAG00000025645
ENSPPYT00000024142 ENSPPYG00000020700
ENSNLET00000019341 ENSNLEG00000015176
ENSCSAT00000016426 ENSCSAG00000018327
ENSFCAT00000055676 ENSFCAG00000041282
