ENSOANT00000041852 ENSOANG00000031518
ENSOANT00000041995 ENSOANG00000030413
ENSVURT00010007074 ENSVURG00010004848
ENSVURT00010007092 ENSVURG00010004848
ENSVURT00010007122 ENSVURG00010004848
ENSVURT00010007144 ENSVURG00010004848
ENSVURT00010007163 ENSVURG00010004848
ENSPCIT00000054886 ENSPCIG00000015221
ENSPCIT00000024643 ENSPCIG00000015221
ENSPCIT00000057264 ENSPCIG00000015221
ENSPCIT00000052472 ENSPCIG00000015221
ENSPCIT00000059225 ENSPCIG00000015221
ENSMEUT00000002911 ENSMEUG00000002894
ENSMODT00000012772 ENSMODG00000014377
ENSMODT00000053642 ENSMODG00000014377
ENSMODT00000055482 ENSMODG00000014377
ENSMODT00000058826 ENSMODG00000014377
ENSPCAT00000015592 ENSPCAG00000015562
ENSETET00000007842 ENSETEG00000007842
ENSSDAT00000004774 ENSSDAG00000003644
ENSSDAT00000004789 ENSSDAG00000003644
ENSSDAT00000004809 ENSSDAG00000003644
