ENSOPRT00000005576 ENSOPRG00000005587
ENSMUGT00000027482 ENSMUGG00000020040
ENSRBIT00000058695 ENSRBIG00000041027
ENSRROT00000047538 ENSRROG00000035510
ENSPTET00000039595 ENSPTEG00000028028
ENSMLET00000034504 ENSMLEG00000029736
ENSMLET00000034518 ENSMLEG00000029736
ENSMLET00000034522 ENSMLEG00000029736
ENSMLET00000045615 ENSMLEG00000035272
ENSMLET00000045626 ENSMLEG00000035272
ENSMLET00000045637 ENSMLEG00000035272
ENSTGET00000035257 ENSTGEG00000023821
ENSMNET00000044942 ENSMNEG00000034152
ENSMFAT00000013337 ENSMFAG00000038868
ENSTGET00000011115 ENSTGEG00000007588
ENSPTET00000027029 ENSPTEG00000019866
