ENSATET00000036840 ENSATEG00000024957
ENSMALT00000005378 ENSMALG00000003781
ENSLBET00000034021 ENSLBEG00000024538
ENSAOCT00000030504 ENSAOCG00000001884
ENSAPET00000006274 ENSAPEG00000004389
ENSAPOT00000024033 ENSAPOG00000018338
ENSPMET00000021131 ENSPMEG00000015745
ENSPLAT00000001773 ENSPLAG00000011796
ENSPRET00000008462 ENSPREG00000005710
ENSPFOT00000014223 ENSPFOG00000014192
ENSGAFT00000018539 ENSGAFG00000012430
ENSFHET00000030175 ENSFHEG00000022565
ENSCVAT00000015979 ENSCVAG00000011523
ENSHBUT00000021085 ENSHBUG00000015161
ENSPNYT00000024558 ENSPNYG00000018099
ENSMZET00005019615 ENSMZEG00005014256
ENSACLT00000023862 ENSACLG00000015824
ENSNBRT00000027759 ENSNBRG00000020643
ENSACIT00000014760 ENSACIG00000011188
ENSGACT00000010012 ENSGACG00000007536
ENSSMAT00000024654 ENSSMAG00000014884
ENSMAMT00000023264 ENSMAMG00000015259
