>ENSXMAT00000034685	ENSXMAG00000026143
>ENSXCOT00000009836	ENSXCOG00000007393
>ENSPFOT00000028059	ENSPFOG00000004248
>ENSPFOT00000004211	ENSPFOG00000004248
>ENSPMET00000000021	ENSPMEG00000011804
>ENSPMET00000016626	ENSPMEG00000011804
>ENSPMET00000030796	ENSPMEG00000011804
>ENSPLAT00000003838	ENSPLAG00000010328
>ENSPLAT00000003856	ENSPLAG00000010328
>ENSGAFT00000018534	ENSGAFG00000012422
>ENSGAFT00000018540	ENSGAFG00000012422
>ENSPRET00000004043	ENSPREG00000002835
>ENSFHET00000020223	ENSFHEG00000014317
>ENSFHET00000032160	ENSFHEG00000014317
>ENSCVAT00000016935	ENSCVAG00000012305
>ENSCVAT00000029470	ENSCVAG00000012305
>ENSCVAT00000029472	ENSCVAG00000012305
>ENSKMAT00000008892	ENSKMAG00000006588
