ENSPTET00000005488 ENSPTEG00000004154
ENSMNET00000054031 ENSMNEG00000038295
ENSMNET00000054033 ENSMNEG00000038295
ENSMNET00000054037 ENSMNEG00000038295
ENSMNET00000054042 ENSMNEG00000038295
ENSMNET00000054046 ENSMNEG00000038295
ENSMNET00000054054 ENSMNEG00000038295
ENSMNET00000054056 ENSMNEG00000038295
ENSMNET00000054058 ENSMNEG00000038295
ENSMNET00000054062 ENSMNEG00000038295
ENSMNET00000054064 ENSMNEG00000038295
ENSTGET00000022859 ENSTGEG00000015451
ENSCCAT00000057581 ENSCCAG00000037696
ENSCCAT00000057583 ENSCCAG00000037696
ENSCCAT00000057586 ENSCCAG00000037696
ENSCCAT00000057588 ENSCCAG00000037696
ENSCCAT00000057590 ENSCCAG00000037696
ENSPTRT00000105571 ENSPTRG00000028863
ENSPTRT00000055876 ENSPTRG00000028863
ENSPTRT00000075609 ENSPTRG00000028863
ENSPPAT00000043334 ENSPPAG00000033490
ENSPPAT00000043336 ENSPPAG00000033490
ENSPPAT00000043341 ENSPPAG00000033490
ENST00000595830 ENSG00000196724
ENST00000396147 ENSG00000196724
