>ENSVURT00010032229	ENSVURG00010021649
>ENSMEUT00000007203	ENSMEUG00000007188
>ENSPCIT00000037524	ENSPCIG00000022691
>ENSPCIT00000037525	ENSPCIG00000022691
>ENSSHAT00000017385	ENSSHAG00000014658
>ENSSHAT00000017386	ENSSHAG00000014658
>ENSMODT00000014104	ENSMODG00000011062
>ENSLAFT00000007371	ENSLAFG00000007374
>ENSETET00000010873	ENSETEG00000010873
>ENSMICT00000073074	ENSMICG00000049534
>ENSPSMT00000035634	ENSPSMG00000021441
>ENSPCOT00000015159	ENSPCOG00000013205
>ENSOGAT00000015480	ENSOGAG00000015476
>ENSOCUT00000015670	ENSOCUG00000015676
>ENSOCUT00000020933	ENSOCUG00000021085
>ENSOPRT00000004470	ENSOPRG00000004491
>ENSPPAT00000008379	ENSPPAG00000007697
>ENSPTRT00000027652	ENSPTRG00000014791
>ENST00000334681	ENSG00000187094
>ENST00000396169	ENSG00000187094
>ENST00000434608	ENSG00000187094
>ENSPPYT00000016261	ENSPPYG00000013983
>ENSNLET00000007375	ENSNLEG00000005801
>ENSCATT00000045632	ENSCATG00000034434
>ENSMLET00000040661	ENSMLEG00000032801
>ENSMLET00000040663	ENSMLEG00000032801
>ENSMMUT00000001529	ENSMMUG00000001077
>ENSMNET00000059138	ENSMNEG00000040525
>ENSMFAT00000023577	ENSMFAG00000002130
>ENSPANT00000017356	ENSPANG00000012767
>ENSCSAT00000014892	ENSCSAG00000016797
>ENSTGET00000021954	ENSTGEG00000014861
