>FBtr0088941	FBgn0033210
>H20J04.8.1	WBGene00003390
>H20J04.8.2	WBGene00003390
>ENSPVIT00000006750	ENSPVIG00000004298
>ENSPVIT00000006751	ENSPVIG00000004298
>ENSACAT00000003179	ENSACAG00000003173
>ENSNSUT00000002881	ENSNSUG00000002204
>ENSSMRT00000033784	ENSSMRG00000022283
>ENSSPUT00000015072	ENSSPUG00000010899
>ENSNPET00000011076	ENSNPEG00000008121
>ENSNPET00000011079	ENSNPEG00000008121
>ENSCPGT00000021985	ENSCPGG00000014058
>ENSGALT00000011612	ENSGALG00000007170
>ENSGALT00000089609	ENSGALG00000007170
>ENSCJPT00005036055	ENSCJPG00005020683
>ENSCJPT00005036072	ENSCJPG00005020683
>ENSNMET00000040040	ENSNMEG00000023218
>ENSMUNT00000012773	ENSMUNG00000008682
>ENSCCET00000013806	ENSCCEG00000008909
>ENSFALT00000010683	ENSFALG00000010195
>ENSSCAT00000014450	ENSSCAG00000009581
>ENSJHYT00000021084	ENSJHYG00000013338
>ENSJHYT00000021090	ENSJHYG00000013338
>ENSLCOT00000007402	ENSLCOG00000005126
>ENSMVIT00005016662	ENSMVIG00005010619
>ENSPMJT00000016788	ENSPMJG00000009778
>ENSPMJT00000016790	ENSPMJG00000009778
