C44B12.4.1 WBGene00005904
Y55F3AM.2.1 WBGene00005903
C44B12.8.1 WBGene00005905
K07C6.9.1 WBGene00005957
K07C6.8.1 WBGene00005956
C29F3.6.1 WBGene00005949
K07C6.6.1 WBGene00005954
R13D7.4.1 WBGene00005951
K07C6.10.1 WBGene00005958
K07C6.11a.1 WBGene00005959
K07C6.11b.1 WBGene00005959
C03G6.2.1 WBGene00005947
K09D9.10.1 WBGene00005953
K07C6.7.1 WBGene00005955
T07H8.3.1 WBGene00005950
E02C12.2.1 WBGene00005937
E02C12.3.1 WBGene00005938
C03A7.5.1 WBGene00005929
T06E6.3.1 WBGene00005931
C03A7.6.1 WBGene00005930
T01C4.4.1 WBGene00005925
T01C4.3.1 WBGene00005924
T01C4.6.1 WBGene00005927
F31F4.3.1 WBGene00005913
F31F4.2.1 WBGene00005914
F31F4.4.1 WBGene00005912
T05A12.1.1 WBGene00005910
R13H7.1.1 WBGene00005911
C47A10.8.1 WBGene00005909
F55B12.8.1 WBGene00005908
T07H8.1.1 WBGene00005907
R13D11.9.1 WBGene00005923
F41H8.4.1 WBGene00005922
K06B4.9.1 WBGene00005920
R05D8.5.1 WBGene00005919
R05D8.4.1 WBGene00005917
C24B9.16.1 WBGene00005915
T10H4.9.1 WBGene00005942
Y102A5C.22.1 WBGene00005945
Y43B11AL.2a.1 WBGene00005941
Y43B11AL.2b.1 WBGene00005941
T26H8.2.1 WBGene00005939
F59B1.7.1 WBGene00005932
K01B6.2.1 WBGene00005936
C06B3.11.1 WBGene00005933
T10C6.3.1 WBGene00005934
