ENSLOCT00000010680 ENSLOCG00000008755
ENSECRT00000018306 ENSECRG00000011957
ENSCMIT00000016803 ENSCMIG00000007868
ENSCMIT00000016834 ENSCMIG00000007868
ENSCMIT00000016853 ENSCMIG00000007868
ENSCMIT00000016860 ENSCMIG00000007868
ENSDCDT00000064215 ENSDCDG00000031344
ENSDCDT00000064221 ENSDCDG00000031344
ENSDCDT00000064346 ENSDCDG00000031344
ENSDCDT00000064352 ENSDCDG00000031344
ENSDCDT00000064354 ENSDCDG00000031344
ENSCHAT00000009196 ENSCHAG00000002768
ENSCHAT00000009629 ENSCHAG00000002768
ENSCHAT00000010004 ENSCHAG00000002768
ENSCHAT00000010209 ENSCHAG00000002768
ENSCHAT00000010273 ENSCHAG00000002768
ENSCHAT00000010332 ENSCHAG00000002768
ENSCHAT00000010417 ENSCHAG00000002768
ENSCHAT00000010625 ENSCHAG00000002768
ENSAMXT00000018209 ENSAMXG00000017682
ENSAMXT00000035698 ENSAMXG00000017682
