>ENSTRUT00000020485	ENSTRUG00000024864
>ENSTNIT00000009474	ENSTNIG00000006532
>ENSHCOT00000021963	ENSHCOG00000017726
>ENSHCOT00000027657	ENSHCOG00000017726
>ENSXMAT00000018660	ENSXMAG00000018586
>ENSXCOT00000002027	ENSXCOG00000001607
>ENSGAFT00000000346	ENSGAFG00000000259
>ENSPMET00000032836	ENSPMEG00000017516
>ENSPFOT00000005433	ENSPFOG00000005454
>ENSPFOT00000022328	ENSPFOG00000005454
>ENSPFOT00000022262	ENSPFOG00000005454
>ENSPLAT00000021776	ENSPLAG00000017202
>ENSPLAT00000030023	ENSPLAG00000017202
>ENSPLAT00000030036	ENSPLAG00000017202
>ENSPRET00000034500	ENSPREG00000023108
>ENSPRET00000034502	ENSPREG00000023108
>ENSCVAT00000020587	ENSCVAG00000015643
>ENSCVAT00000020641	ENSCVAG00000015643
>ENSCVAT00000030614	ENSCVAG00000015643
>ENSFHET00000020325	ENSFHEG00000014410
>ENSFHET00000032187	ENSFHEG00000014410
>ENSKMAT00000029471	ENSKMAG00000021581
>ENSPMGT00000006872	ENSPMGG00000005428
