ENSACAP00000016725	ENSACAG00000016980	Anolis_carolinensis	ENSACAT00000017055
ENSACAP00000019827	ENSACAG00000027200	Anolis_carolinensis	ENSACAT00000028375
ENSNSUP00000000153	ENSNSUG00000000183	Notechis_scutatus
ENSSMRP00000000248	ENSSMRG00000000189	Salvator_merianae
ENSOANP00000008544	ENSOANG00000005370	Ornithorhynchus_anatinus
ENSGAGP00000022399	ENSGAGG00000016433	Gopherus_agassizii
ENSCPBP00000003388	ENSCPBG00000002736	Chrysemys_picta_bellii
ENSPSIP00000019273	ENSPSIG00000017047	Pelodiscus_sinensis
ENSMGAP00000001952	ENSMGAG00000002376	Meleagris_gallopavo
ENSCJPP00005008451	ENSCJPG00005007538	Coturnix_japonica
ENSNMEP00000012532	ENSNMEG00000011594	Numida_meleagris
ENSABRP00000024561	ENSABRG00000020635	Anser_brachyrhynchus
ENSCCEP00000027113	ENSCCEG00000023704	Cyanistes_caeruleus
ENSPMJP00000010152	ENSPMJG00000008034	Parus_major
ENSFALP00000011400	ENSFALG00000010904	Ficedula_albicollis
ENSTGUP00000004080	ENSTGUG00000003962	Taeniopygia_guttata
ENSLSDP00000012417	ENSLSDG00000009064	Lonchura_striata_domestica
ENSJHYP00000019377	ENSJHYG00000014724	Junco_hyemalis
ENSZALP00000020633	ENSZALG00000016182	Zonotrichia_albicollis
ENSSCAP00000018412	ENSSCAG00000013338	Serinus_canaria
ENSLCOP00000022047	ENSLCOG00000015563	Lepidothrix_coronata
ENSMVIP00005019504	ENSMVIG00005013721	Manacus_vitellinus
ENSMUNP00000016391	ENSMUNG00000012617	Melopsittacus_undulatus
ENSCPGP00000000728	ENSCPGG00000000582	Calidris_pygmaea
ENSCPUP00000023442	ENSCPUG00000015893	Calidris_pugnax
ENSAHAP00000022280	ENSAHAG00000015629	Apteryx_haastii
ENSAOWP00000025494	ENSAOWG00000017231	Apteryx_owenii
ENSARWP00000021170	ENSARWG00000014464	Apteryx_rowi
ENSDNVP00000000640	ENSDNVG00000000502	Dromaius_novaehollandiae
ENSSPUP00000016019	ENSSPUG00000012385	Sphenodon_punctatus
ENSPCIP00000007459	ENSPCIG00000006290	Phascolarctos_cinereus
ENSVURP00010015617	ENSVURG00010011957	Vombatus_ursinus
ENSMEUP00000014750	ENSMEUG00000016137	Notamacropus_eugenii
ENSSHAP00000018501	ENSSHAG00000015707	Sarcophilus_harrisii
ENSMODP00000011596	ENSMODG00000009282	Monodelphis_domestica
ENSCHIP00000027778	ENSCHIG00000023546	Capra_hircus
ENSOARP00000003268	ENSOARG00000003070	Ovis_aries
ENSBIXP00000033173	ENSBIXG00000015894	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005030037	ENSBIXG00005005582	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000007678	ENSBTAG00000005838	Bos_taurus
ENSBMUP00000019441	ENSBMUG00000014686	Bos_mutus
ENSBBBP00000000914	ENSBBBG00000010057	Bison_bison_bison
ENSVPAP00000001030	ENSVPAG00000001117	Vicugna_pacos
