ENSCSAP00000003100	ENSCSAG00000006813	Chlorocebus_sabaeus
ENSTGEP00000033848	ENSTGEG00000027019	Theropithecus_gelada
ENSCATP00000041650	ENSCATG00000043503	Cercocebus_atys
ENSMLEP00000028025	ENSMLEG00000038220	Mandrillus_leucophaeus
ENSPANP00000032509	ENSPANG00000004915	Papio_anubis
ENSMFAP00000002740	ENSMFAG00000034087	Macaca_fascicularis
ENSMMUP00000079162	ENSMMUG00000043134	Macaca_mulatta
ENSRROP00000015824	ENSRROG00000032076	Rhinopithecus_roxellana
ENSRBIP00000042326	ENSRBIG00000044449	Rhinopithecus_bieti
ENSCANP00000025586	ENSCANG00000036229	Colobus_angolensis_palliatus
ENSPTEP00000039249	ENSPTEG00000036342	Piliocolobus_tephrosceles
ENSPTRP00000061298	ENSPTRG00000040791	Pan_troglodytes
ENSPPAP00000009201	ENSPPAG00000027827	Pan_paniscus
ENSP00000468232	ENSG00000183401	Homo_sapiens
ENSPPYP00000024450	ENSPPYG00000029817	Pongo_abelii
ENSNLEP00000015190	ENSNLEG00000012498	Nomascus_leucogenys
ENSMNEP00000009291	ENSMNEG00000029105	Macaca_nemestrina
ENSGGOP00000021958	ENSGGOG00000023519	Gorilla_gorilla
ENSCCAP00000027601	ENSCCAG00000031662	Cebus_capucinus_imitator
ENSCJAP00000010303	ENSCJAG00000005630	Callithrix_jacchus
ENSSBOP00000005985	ENSSBOG00000019942	Saimiri_boliviensis_boliviensis
ENSANAP00000025560	ENSANAG00000030493	Aotus_nancymaae
ENSTSYP00000032498	ENSTSYG00000032072	Carlito_syrichta
ENSPCOP00000014102	ENSPCOG00000018723	Propithecus_coquereli
ENSMICP00000003711	ENSMICG00000004075	Microcebus_murinus
ENSPSMP00000028447	ENSPSMG00000019790	Prolemur_simus
ENSOGAP00000014304	ENSOGAG00000015974	Otolemur_garnettii
ENSCPOP00000005105	ENSCPOG00000005662	Cavia_porcellus
ENSCAPP00000003645	ENSCAPG00000006354	Cavia_aperea
ENSODEP00000021444	ENSODEG00000015784	Octodon_degus
ENSCLAP00000011170	ENSCLAG00000007718	Chinchilla_lanigera
ENSCCNP00000009205	ENSCCNG00000009693	Castor_canadensis
ENSMSIP00000017517	ENSMSIG00000014895	Mus_spicilegus
MGP_SPRETEiJ_P0090559	MGP_SPRETEiJ_G0033011	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000126474	ENSMUSG00000006241	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0087002	MGP_CAROLIEiJ_G0031887	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0022652	MGP_PahariEiJ_G0014753	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000068788	ENSRNOG00000011799	Rattus_norvegicus
ENSMUGP00000023346	ENSMUGG00000019510	Meriones_unguiculatus
ENSPEMP00000014874	ENSPEMG00000014545	Peromyscus_maniculatus_bairdii
ENSMOCP00000010233	ENSMOCG00000010436	Microtus_ochrogaster
ENSCGRP00001025825	ENSCGRG00001023310	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015003844	ENSCGRG00015003042	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000019776	ENSCGRG00000014403	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000002571	ENSMAUG00000002172	Mesocricetus_auratus
ENSNGAP00000017384	ENSNGAG00000017828	Nannospalax_galili
ENSJJAP00000000522	ENSJJAG00000000427	Jaculus_jaculus
ENSUPAP00010008930	ENSUPAG00010007207	Urocitellus_parryii
ENSSTOP00000005167	ENSSTOG00000005786	Ictidomys_tridecemlineatus
ENSSDAP00000008452	ENSSDAG00000007711	Spermophilus_dauricus
ENSMMMP00000022960	ENSMMMG00000020119	Marmota_marmota_marmota
ENSOCUP00000040958	ENSOCUG00000026254	Oryctolagus_cuniculus
ENSSARP00000011119	ENSSARG00000012322	Sorex_araneus
ENSEEUP00000000954	ENSEEUG00000001068	Erinaceus_europaeus
ENSMLUP00000014806	ENSMLUG00000016248	Myotis_lucifugus
ENSBMUP00000000427	ENSBMUG00000000394	Bos_mutus
ENSBTAP00000043151	ENSBTAG00000032292	Bos_taurus
ENSBIXP00005026420	ENSBIXG00005028811	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000044110	ENSBIXG00000028329	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBBBP00000023273	ENSBBBG00000017776	Bison_bison_bison
ENSOARP00000019512	ENSOARG00000018179	Ovis_aries
ENSCHIP00000030228	ENSCHIG00000025060	Capra_hircus
ENSSSCP00000014474	ENSSSCG00000045953	Sus_scrofa_strain_reference
ENSECAP00000015136	ENSECAG00000017486	Equus_caballus
ENSEASP00005006205	ENSEASG00005004591	Equus_asinus_asinus
ENSUAMP00000035614	ENSUAMG00000027045	Ursus_americanus
ENSUMAP00000026932	ENSUMAG00000019596	Ursus_maritimus
ENSAMEP00000011210	ENSAMEG00000010660	Ailuropoda_melanoleuca
ENSNVIP00000003400	ENSNVIG00000002693	Neovison_vison
ENSMPUP00000005494	ENSMPUG00000005536	Mustela_putorius_furo
ENSCAFP00020005384	ENSCAFG00020004408	Canis_lupus_dingo
ENSCAFP00000045273	ENSCAFG00000017432	Canis_lupus_familiaris
ENSVVUP00000032547	ENSVVUG00000023592	Vulpes_vulpes
ENSPPRP00000019549	ENSPPRG00000010884	Panthera_pardus
ENSPTIP00000015918	ENSPTIG00000014869	Panthera_tigris_altaica
ENSFCAP00000022831	ENSFCAG00000024943	Felis_catus
ENSLAFP00000017966	ENSLAFG00000031939	Loxodonta_africana
ENSETEP00000010121	ENSETEG00000012481	Echinops_telfairi
ENSPCIP00000023409	ENSPCIG00000017732	Phascolarctos_cinereus
ENSVURP00010015426	ENSVURG00010011824	Vombatus_ursinus
ENSMODP00000053857	ENSMODG00000006463	Monodelphis_domestica
ENSOANP00000002065	ENSOANG00000001294	Ornithorhynchus_anatinus
ENSPSIP00000012450	ENSPSIG00000011232	Pelodiscus_sinensis
ENSGAGP00000032542	ENSGAGG00000023274	Gopherus_agassizii
ENSSMRP00000020046	ENSSMRG00000015632	Salvator_merianae
