ENSNGAP00000025201	ENSNGAG00000023228	Nannospalax_galili
ENSCAFP00020019977	ENSCAFG00020015859	Canis_lupus_dingo
MGP_PahariEiJ_P0015236	MGP_PahariEiJ_G0012679	Mus_pahari_strain_PAHARI_EIJ
ENSOGAP00000004011	ENSOGAG00000004490	Otolemur_garnettii
ENSMOCP00000001161	ENSMOCG00000000874	Microtus_ochrogaster
MGP_SPRETEiJ_P0081667	MGP_SPRETEiJ_G0030541	Mus_spretus_strain_SPRET/EiJ
ENSSHAP00000010738	ENSSHAG00000009258	Sarcophilus_harrisii	ENSSHAT00000010832
ENSCAFP00000038098	ENSCAFG00000005521	Canis_lupus_familiaris
ENSCHIP00000016987	ENSCHIG00000017043	Capra_hircus
ENSNLEP00000017521	ENSNLEG00000014390	Nomascus_leucogenys
ENSPANP00000003949	ENSPANG00000017788	Papio_anubis
ENSCLAP00000020161	ENSCLAG00000013813	Chinchilla_lanigera
ENSCCAP00000035523	ENSCCAG00000035672	Cebus_capucinus_imitator
ENSFDAP00000002100	ENSFDAG00000011902	Fukomys_damarensis
ENSSSCP00000021184	ENSSSCG00000030048	Sus_scrofa_strain_reference
ENSMUGP00000030002	ENSMUGG00000024912	Meriones_unguiculatus
ENSSBOP00000008439	ENSSBOG00000021116	Saimiri_boliviensis_boliviensis
ENSMICP00000022083	ENSMICG00000036550	Microcebus_murinus
ENSFCAP00000009978	ENSFCAG00000010742	Felis_catus
ENSODEP00000022902	ENSODEG00000016807	Octodon_degus
ENSCCNP00000010274	ENSCCNG00000010746	Castor_canadensis
ENSPSMP00000033707	ENSPSMG00000023212	Prolemur_simus
ENSRNOP00000076211	ENSRNOG00000030266	Rattus_norvegicus
ENSDNOP00000001175	ENSDNOG00000001524	Dasypus_novemcinctus
ENSMMUP00000053632	ENSMMUG00000019369	Macaca_mulatta
ENSHGLP00100012560	ENSHGLG00100009305	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000012991	ENSHGLG00000009290	Heterocephalus_glaber_HetGla_female_1.0
ENSCPOP00000031494	ENSCPOG00000021253	Cavia_porcellus
ENSEASP00005018573	ENSEASG00005012791	Equus_asinus_asinus
ENSETEP00000008329	ENSETEG00000010254	Echinops_telfairi
ENSNVIP00000013440	ENSNVIG00000010551	Neovison_vison	ENSNVIT00000015718
ENSVURP00010030548	ENSVURG00010023360	Vombatus_ursinus	ENSVURT00010034778
ENSVVUP00000008303	ENSVVUG00000006245	Vulpes_vulpes
ENSPVAP00000010487	ENSPVAG00000011125	Pteropus_vampyrus
ENSCSAP00000000202	ENSCSAG00000003853	Chlorocebus_sabaeus
ENSPTRP00000061751	ENSPTRG00000010969	Pan_troglodytes
ENSTGEP00000002482	ENSTGEG00000002167	Theropithecus_gelada
ENSUPAP00010028594	ENSUPAG00010022582	Urocitellus_parryii
ENSMFAP00000028291	ENSMFAG00000045412	Macaca_fascicularis
ENSOCUP00000018739	ENSOCUG00000023314	Oryctolagus_cuniculus
ENSMSIP00000000991	ENSMSIG00000001028	Mus_spicilegus
ENSJJAP00000004588	ENSJJAG00000009555	Jaculus_jaculus
ENSSARP00000000774	ENSSARG00000000836	Sorex_araneus
ENSBIXP00005009765	ENSBIXG00005014566	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSPPAP00000021557	ENSPPAG00000033909	Pan_paniscus
ENSCATP00000003666	ENSCATG00000013522	Cercocebus_atys
ENSPCIP00000013294	ENSPCIG00000010488	Phascolarctos_cinereus	ENSPCIT00000016477
ENSP00000392906	ENSG00000090924	Homo_sapiens
ENSRROP00000032813	ENSRROG00000040040	Rhinopithecus_roxellana
ENSTSYP00000026684	ENSTSYG00000029388	Carlito_syrichta
ENSBBBP00000010637	ENSBBBG00000018735	Bison_bison_bison
ENSCGRP00015034207	ENSCGRG00015025760	Cricetulus_griseus_CriGri-PICR
ENSBIXP00000011272	ENSBIXG00000016573	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSOARP00000006522	ENSOARG00000006086	Ovis_aries
ENSMPUP00000017612	ENSMPUG00000017723	Mustela_putorius_furo
ENSPTIP00000009994	ENSPTIG00000010862	Panthera_tigris_altaica
ENSCJAP00000026045	ENSCJAG00000014160	Callithrix_jacchus
ENSPCAP00000009874	ENSPCAG00000010536	Procavia_capensis
ENSUMAP00000026839	ENSUMAG00000019538	Ursus_maritimus	ENSUMAT00000031768
ENSGGOP00000048416	ENSGGOG00000014402	Gorilla_gorilla
ENSECAP00000042835	ENSECAG00000020069	Equus_caballus
ENSCANP00000039905	ENSCANG00000043628	Colobus_angolensis_palliatus
ENSMEUP00000009450	ENSMEUG00000010332	Notamacropus_eugenii	ENSMEUT00000010392
ENSMLEP00000003498	ENSMLEG00000015121	Mandrillus_leucophaeus
MGP_CAROLIEiJ_P0078356	MGP_CAROLIEiJ_G0029443	Mus_caroli_strain_CAROLI_EIJ
ENSEEUP00000000971	ENSEEUG00000001083	Erinaceus_europaeus
ENSUAMP00000025759	ENSUAMG00000020017	Ursus_americanus	ENSUAMT00000028747
ENSCGRP00001000097	ENSCGRG00001000076	Cricetulus_griseus_CHOK1GS_HDv1
ENSPPRP00000021966	ENSPPRG00000012708	Panthera_pardus
ENSPCOP00000026172	ENSPCOG00000025417	Propithecus_coquereli
ENSMUSP00000092228	ENSMUSG00000037552	Mus_musculus_strain_reference_(CL57BL6)
ENSPPYP00000011157	ENSPPYG00000009966	Pongo_abelii
ENSMNEP00000046041	ENSMNEG00000045482	Macaca_nemestrina
ENSSTOP00000020378	ENSSTOG00000022303	Ictidomys_tridecemlineatus
ENSCAPP00000015738	ENSCAPG00000015792	Cavia_aperea
ENSPEMP00000018737	ENSPEMG00000017217	Peromyscus_maniculatus_bairdii
ENSBTAP00000031954	ENSBTAG00000004017	Bos_taurus
ENSTTRP00000003343	ENSTTRG00000003566	Tursiops_truncatus
ENSBMUP00000020177	ENSBMUG00000015178	Bos_mutus
ENSRBIP00000009085	ENSRBIG00000028418	Rhinopithecus_bieti
ENSAMEP00000008933	ENSAMEG00000008483	Ailuropoda_melanoleuca	ENSAMET00000009316
ENSMLUP00000002685	ENSMLUG00000002948	Myotis_lucifugus
ENSCGRP00000009577	ENSCGRG00000007000	Cricetulus_griseus_CriGri_1.0
ENSMMMP00000024021	ENSMMMG00000020896	Marmota_marmota_marmota
ENSDORP00000008547	ENSDORG00000009096	Dipodomys_ordii
ENSOPRP00000004486	ENSOPRG00000004860	Ochotona_princeps
ENSANAP00000033398	ENSANAG00000034357	Aotus_nancymaae
