ENSPTRP00000087800	ENSPTRG00000051866	Pan_troglodytes
ENSPPAP00000000116	ENSPPAG00000000428	Pan_paniscus
ENSGGOP00000009964	ENSGGOG00000038065	Gorilla_gorilla
ENSNLEP00000027355	ENSNLEG00000028174	Nomascus_leucogenys
ENSCANP00000037802	ENSCANG00000042577	Colobus_angolensis_palliatus
ENSCCAP00000013569	ENSCCAG00000024601	Cebus_capucinus_imitator
ENSSBOP00000040663	ENSSBOG00000036355	Saimiri_boliviensis_boliviensis
ENSMICP00000050852	ENSMICG00000049016	Microcebus_murinus
ENSPSMP00000026126	ENSPSMG00000018326	Prolemur_simus
ENSCGRP00015021080	ENSCGRG00015016091	Cricetulus_griseus_CriGri-PICR
ENSMUGP00000018520	ENSMUGG00000015699	Meriones_unguiculatus
ENSCCNP00000003762	ENSCCNG00000003992	Castor_canadensis
ENSUPAP00010025091	ENSUPAG00010019867	Urocitellus_parryii	ENSUPAT00010028544
ENSSDAP00000003208	ENSSDAG00000003068	Spermophilus_dauricus	ENSSDAT00000003705
ENSMMMP00000011862	ENSMMMG00000010624	Marmota_marmota_marmota
ENSOCUP00000049447	ENSOCUG00000035314	Oryctolagus_cuniculus
ENSUAMP00000020832	ENSUAMG00000016406	Ursus_americanus
ENSUMAP00000035241	ENSUMAG00000025333	Ursus_maritimus
ENSNVIP00000017524	ENSNVIG00000013718	Neovison_vison
ENSCAFP00000046421	ENSCAFG00000049619	Canis_lupus_familiaris
ENSCAFP00020008454	ENSCAFG00020006876	Canis_lupus_dingo
ENSVVUP00000030418	ENSVVUG00000022194	Vulpes_vulpes
ENSPTIP00000001524	ENSPTIG00000003934	Panthera_tigris_altaica
ENSPPRP00000028312	ENSPPRG00000020351	Panthera_pardus
ENSFCAP00000003985	ENSFCAG00000004319	Felis_catus
ENSBIXP00000017980	ENSBIXG00000021889	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005032688	ENSBIXG00005013233	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000064443	ENSBTAG00000049208	Bos_taurus
ENSBMUP00000025076	ENSBMUG00000018843	Bos_mutus
ENSBBBP00000022240	ENSBBBG00000016008	Bison_bison_bison
ENSCHIP00000003108	ENSCHIG00000006929	Capra_hircus
ENSSSCP00000027561	ENSSSCG00000024302	Sus_scrofa_strain_reference
ENSECAP00000012901	ENSECAG00000015314	Equus_caballus
ENSEASP00005018023	ENSEASG00005012442	Equus_asinus_asinus
