ENSMSIP00000035930	ENSMSIG00000029904	Mus_spicilegus	ENSMSIT00000045259
ENSMUSP00000100672	ENSMUSG00000078254	Mus_musculus_strain_reference_(CL57BL6)	ENSMUST00000105051
MGP_SPRETEiJ_P0031223	MGP_SPRETEiJ_G0017991	Mus_spretus_strain_SPRET/EiJ	MGP_SPRETEiJ_T0031223
MGP_CAROLIEiJ_P0029804	MGP_CAROLIEiJ_G0017149	Mus_caroli_strain_CAROLI_EIJ	MGP_CAROLIEiJ_T0029804
MGP_PahariEiJ_P0036533	MGP_PahariEiJ_G0018278	Mus_pahari_strain_PAHARI_EIJ	MGP_PahariEiJ_T0036533
ENSRNOP00000073260	ENSRNOG00000058988	Rattus_norvegicus	ENSRNOT00000090052
ENSRNOP00000069467	ENSRNOG00000056102	Rattus_norvegicus	ENSRNOT00000081255
ENSCGRP00015005259	ENSCGRG00015004149	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001004081	ENSCGRG00001005119	Cricetulus_griseus_CHOK1GS_HDv1
ENSMUSP00000147568	ENSMUSG00000066101	Mus_musculus_strain_reference_(CL57BL6)
ENSUPAP00010010894	ENSUPAG00010008797	Urocitellus_parryii
ENSOPRP00000015877	ENSOPRG00000019013	Ochotona_princeps
ENSPPAP00000005324	ENSPPAG00000022069	Pan_paniscus
ENSPTRP00000060788	ENSPTRG00000042068	Pan_troglodytes
ENSP00000375148	ENSG00000212658	Homo_sapiens
ENSGGOP00000027699	ENSGGOG00000023439	Gorilla_gorilla
ENSTGEP00000009462	ENSTGEG00000007796	Theropithecus_gelada
ENSMMUP00000078126	ENSMMUG00000055553	Macaca_mulatta
ENSCSAP00000018540	ENSCSAG00000019028	Chlorocebus_sabaeus
ENSPTEP00000030604	ENSPTEG00000029782	Piliocolobus_tephrosceles
ENSCJAP00000041088	ENSCJAG00000022475	Callithrix_jacchus
ENSPCOP00000015537	ENSPCOG00000019509	Propithecus_coquereli
ENSMICP00000028987	ENSMICG00000030099	Microcebus_murinus
ENSPVAP00000009993	ENSPVAG00000010605	Pteropus_vampyrus
ENSUAMP00000022714	ENSUAMG00000017838	Ursus_americanus
ENSOARP00000017099	ENSOARG00000015925	Ovis_aries
ENSDNOP00000017213	ENSDNOG00000025251	Dasypus_novemcinctus
ENSPCAP00000013744	ENSPCAG00000014742	Procavia_capensis
