ENSGAGP00000000949	ENSGAGG00000000771	Gopherus_agassizii	ENSGAGT00000001074
ENSCABP00000014642	ENSCABG00000010926	Chelonoidis_abingdonii	ENSCABT00000016039
ENSARWP00000001401	ENSARWG00000001139	Apteryx_rowi
ENSAOWP00000002637	ENSAOWG00000001879	Apteryx_owenii
ENSAHAP00000001273	ENSAHAG00000001077	Apteryx_haastii
ENSDNVP00000013704	ENSDNVG00000009666	Dromaius_novaehollandiae
ENSNPEP00000019506	ENSNPEG00000014542	Nothoprocta_perdicaria
ENSJHYP00000001962	ENSJHYG00000001678	Junco_hyemalis
ENSZALP00000009198	ENSZALG00000007939	Zonotrichia_albicollis
ENSSCAP00000016618	ENSSCAG00000012120	Serinus_canaria
ENSLSDP00000005628	ENSLSDG00000004365	Lonchura_striata_domestica
ENSPMJP00000013857	ENSPMJG00000010523	Parus_major
ENSFALP00000014892	ENSFALG00000014278	Ficedula_albicollis
ENSLCOP00000006265	ENSLCOG00000004640	Lepidothrix_coronata
ENSMVIP00005020816	ENSMVIG00005014661	Manacus_vitellinus
ENSMUNP00000013788	ENSMUNG00000010758	Melopsittacus_undulatus
ENSCPGP00000005370	ENSCPGG00000003907	Calidris_pygmaea
ENSCPUP00000013086	ENSCPUG00000009304	Calidris_pugnax
ENSABRP00000008847	ENSABRG00000007954	Anser_brachyrhynchus
ENSAPLP00000011249	ENSAPLG00000011508	Anas_platyrhynchos_platyrhynchos
ENSGALP00000031533	ENSGALG00000011455	Gallus_gallus
ENSCJPP00005013271	ENSCJPG00005011208	Coturnix_japonica
ENSMGAP00000009674	ENSMGAG00000009373	Meleagris_gallopavo
ENSNMEP00000022137	ENSNMEG00000018941	Numida_meleagris
ENSGALP00000040224	ENSGALG00000003196	Gallus_gallus
ENSGALP00000033366	ENSGALG00000027165	Gallus_gallus
ENSMGAP00000017103	ENSMGAG00000016163	Meleagris_gallopavo
ENSCJPP00005015969	ENSCJPG00005013169	Coturnix_japonica
ENSCJPP00005015967	ENSCJPG00005013167	Coturnix_japonica
ENSCJPP00005015968	ENSCJPG00005013168	Coturnix_japonica
ENSNMEP00000002674	ENSNMEG00000003322	Numida_meleagris
ENSNMEP00000024246	ENSNMEG00000020596	Numida_meleagris
ENSACAP00000007717	ENSACAG00000007894	Anolis_carolinensis
ENSPVIP00000002125	ENSPVIG00000001838	Pogona_vitticeps
ENSSMRP00000008460	ENSSMRG00000006774	Salvator_merianae
ENSNSUP00000026057	ENSNSUG00000018740	Notechis_scutatus
ENSCABP00000004666	ENSCABG00000003515	Chelonoidis_abingdonii
ENSCABP00000010652	ENSCABG00000007968	Chelonoidis_abingdonii
ENSCPBP00000026425	ENSCPBG00000018766	Chrysemys_picta_bellii
ENSCPBP00000026455	ENSCPBG00000018791	Chrysemys_picta_bellii
ENSPVIP00000031723	ENSPVIG00000023319	Pogona_vitticeps
ENSPVIP00000031722	ENSPVIG00000023318	Pogona_vitticeps
ENSPVIP00000031719	ENSPVIG00000023316	Pogona_vitticeps
ENSPVIP00000031717	ENSPVIG00000023314	Pogona_vitticeps
ENSACAP00000021477	ENSACAG00000022863	Anolis_carolinensis
ENSNSUP00000005520	ENSNSUG00000004433	Notechis_scutatus
ENSSMRP00000008435	ENSSMRG00000006759	Salvator_merianae
ENSSMRP00000008449	ENSSMRG00000006765	Salvator_merianae
ENSSMRP00000001618	ENSSMRG00000001411	Salvator_merianae
