ENSXCOP00000021727	ENSXCOG00000016247	Xiphophorus_couchianus	ENSXCOT00000021991
ENSGAFP00000011301	ENSGAFG00000007669	Gambusia_affinis	ENSGAFT00000011419
ENSPLAP00000021810	ENSPLAG00000005852	Poecilia_latipinna	ENSPLAT00000010019
ENSCVAP00000002729	ENSCVAG00000003855	Cyprinodon_variegatus	ENSCVAT00000011236
ENSFHEP00000002746	ENSFHEG00000003559	Fundulus_heteroclitus	ENSFHET00000011715
ENSORLP00000031713	ENSORLG00000028924	Oryzias_latipes_ASM223467v1	ENSORLT00000029752
ENSOMEP00000035512	ENSOMEG00000022828	Oryzias_melastigma	ENSOMET00000030502
ENSAPEP00000011600	ENSAPEG00000008285	Amphiprion_percula
ENSSPAP00000000063	ENSSPAG00000000065	Stegastes_partitus
ENSACIP00000001116	ENSACIG00000000955	Amphilophus_citrinellus
ENSSLDP00000006946	ENSSLDG00000005526	Seriola_lalandi_dorsalis
ENSMAMP00000009915	ENSMAMG00000006692	Mastacembelus_armatus
ENSLCRP00005019670	ENSLCRG00005008051	Larimichthys_crocea
ENSNBRP00000006078	ENSNBRG00000004789	Neolamprologus_brichardi
ENSHBUP00000006433	ENSHBUG00000007838	Haplochromis_burtoni
ENSLBEP00000012399	ENSLBEG00000009516	Labrus_bergylta
ENSELUP00000004006	ENSELUG00000005185	Esox_lucius
ENSCHAP00000019082	ENSCHAG00000009797	Clupea_harengus
