ENSCSAVP00000007273	ENSCSAVG00000004343	Ciona_savignyi	ENSCSAVT00000007367
ENSCINP00000027831	ENSCING00000015867	Ciona_intestinalis	ENSCINT00000028077
ENSMMOP00000002301	ENSMMOG00000001880	Mola_mola
ENSTRUP00000056439	ENSTRUG00000024530	Takifugu_rubripes
ENSPMGP00000019783	ENSPMGG00000016028	Periophthalmus_magnuspinnatus
ENSATEP00000012932	ENSATEG00000009039	Anabas_testudineus
ENSBSLP00000057342	ENSBSLG00000026671	Betta_splendens
ENSLBEP00000023956	ENSLBEG00000018359	Labrus_bergylta
ENSSMAP00000001232	ENSSMAG00000000762	Scophthalmus_maximus
ENSCSEP00000011118	ENSCSEG00000007138	Cynoglossus_semilaevis
ENSSLDP00000006781	ENSSLDG00000005395	Seriola_lalandi_dorsalis
ENSSDUP00000000077	ENSSDUG00000000062	Seriola_dumerili
ENSCGOP00000024664	ENSCGOG00000011703	Cottoperca_gobio
ENSGACP00000017245	ENSGACG00000013042	Gasterosteus_aculeatus
ENSLCRP00005039822	ENSLCRG00005015388	Larimichthys_crocea
ENSMAMP00000021104	ENSMAMG00000014176	Mastacembelus_armatus
ENSMALP00000012476	ENSMALG00000008857	Monopterus_albus
ENSLCAP00010012348	ENSLCAG00010005855	Lates_calcarifer
ENSAPEP00000019512	ENSAPEG00000013914	Amphiprion_percula
ENSAOCP00000021537	ENSAOCG00000006396	Amphiprion_ocellaris
ENSAPOP00000027858	ENSAPOG00000012689	Acanthochromis_polyacanthus
ENSSPAP00000024041	ENSSPAG00000018157	Stegastes_partitus
ENSPRNP00000036423	ENSPRNG00000018227	Parambassis_ranga
ENSORLP00020015996	ENSORLG00020017029	Oryzias_latipes_ASM223471v1
ENSORLP00000002788	ENSORLG00000002248	Oryzias_latipes_ASM223467v1
ENSORLP00015004922	ENSORLG00015005704	Oryzias_latipes_ASM223469v1
ENSOMEP00000021967	ENSOMEG00000001265	Oryzias_melastigma
ENSGWIP00000038761	ENSGWIG00000019777	Gouania_willdenowi
ENSXMAP00000020282	ENSXMAG00000020235	Xiphophorus_maculatus
ENSXCOP00000012303	ENSXCOG00000009300	Xiphophorus_couchianus
ENSGAFP00000028987	ENSGAFG00000019564	Gambusia_affinis
ENSPMEP00000006527	ENSPMEG00000008036	Poecilia_mexicana
ENSPFOP00000011723	ENSPFOG00000011735	Poecilia_formosa
ENSPLAP00000016414	ENSPLAG00000020539	Poecilia_latipinna
ENSPREP00000024197	ENSPREG00000016347	Poecilia_reticulata
ENSCVAP00000020777	ENSCVAG00000002390	Cyprinodon_variegatus
ENSFHEP00000018761	ENSFHEG00000020644	Fundulus_heteroclitus
ENSACLP00000032049	ENSACLG00000021737	Astatotilapia_calliptera
ENSPNYP00000010376	ENSPNYG00000007880	Pundamilia_nyererei
ENSHBUP00000008379	ENSHBUG00000009885	Haplochromis_burtoni
ENSMZEP00005032433	ENSMZEG00005024160	Maylandia_zebra
ENSNBRP00000005028	ENSNBRG00000004006	Neolamprologus_brichardi
ENSONIP00000026623	ENSONIG00000021321	Oreochromis_niloticus
ENSACIP00000031116	ENSACIG00000024055	Amphilophus_citrinellus
ENSHCOP00000014321	ENSHCOG00000017651	Hippocampus_comes
ENSGMOP00000014302	ENSGMOG00000013377	Gadus_morhua
ENSHHUP00000053038	ENSHHUG00000031800	Hucho_hucho
ENSHHUP00000003941	ENSHHUG00000002223	Hucho_hucho
ENSELUP00000013130	ENSELUG00000013334	Esox_lucius
