ENSGALP00000005290	ENSGALG00000003348	Gallus_gallus
ENSMGAP00000004543	ENSMGAG00000004718	Meleagris_gallopavo
ENSCJPP00005013282	ENSCJPG00005011214	Coturnix_japonica
ENSNMEP00000021001	ENSNMEG00000018010	Numida_meleagris
ENSAPLP00000017854	ENSAPLG00000022919	Anas_platyrhynchos_platyrhynchos
ENSLSDP00000023200	ENSLSDG00000016326	Lonchura_striata_domestica
ENSSCAP00000018304	ENSSCAG00000013254	Serinus_canaria
ENSJHYP00000003359	ENSJHYG00000002777	Junco_hyemalis
ENSFALP00000008923	ENSFALG00000008559	Ficedula_albicollis
ENSLCOP00000010961	ENSLCOG00000007965	Lepidothrix_coronata
ENSCPGP00000022131	ENSCPGG00000015379	Calidris_pygmaea
ENSCPUP00000013293	ENSCPUG00000009437	Calidris_pugnax
ENSAHAP00000028359	ENSAHAG00000019698	Apteryx_haastii
ENSAOWP00000015490	ENSAOWG00000010543	Apteryx_owenii
ENSARWP00000007181	ENSARWG00000005037	Apteryx_rowi
ENSDNVP00000021635	ENSDNVG00000015114	Dromaius_novaehollandiae
ENSNPEP00000006224	ENSNPEG00000004702	Nothoprocta_perdicaria
ENSCPRP00005019401	ENSCPRG00005013547	Crocodylus_porosus
ENSGAGP00000000640	ENSGAGG00000000541	Gopherus_agassizii
ENSCABP00000024792	ENSCABG00000018255	Chelonoidis_abingdonii
ENSCPBP00000032305	ENSCPBG00000022646	Chrysemys_picta_bellii
ENSACAP00000006178	ENSACAG00000006329	Anolis_carolinensis
ENSNSUP00000020302	ENSNSUG00000014794	Notechis_scutatus
ENSSMRP00000008139	ENSSMRG00000006528	Salvator_merianae
ENSSPUP00000008374	ENSSPUG00000006502	Sphenodon_punctatus
ENSVURP00010002265	ENSVURG00010001869	Vombatus_ursinus
ENSPCIP00000053666	ENSPCIG00000033684	Phascolarctos_cinereus
ENSMEUP00000007666	ENSMEUG00000008396	Notamacropus_eugenii
ENSMODP00000006400	ENSMODG00000005197	Monodelphis_domestica
ENSPCAP00000004262	ENSPCAG00000004581	Procavia_capensis
ENSLAFP00000019186	ENSLAFG00000028186	Loxodonta_africana
ENSETEP00000008443	ENSETEG00000010393	Echinops_telfairi
ENSPCOP00000022257	ENSPCOG00000023215	Propithecus_coquereli
ENSPSMP00000011617	ENSPSMG00000008387	Prolemur_simus
ENSMICP00000042369	ENSMICG00000046823	Microcebus_murinus
ENSPTRP00000029989	ENSPTRG00000017561	Pan_troglodytes
ENSPTRP00000071318	ENSPTRG00000048090	Pan_troglodytes
ENSPPAP00000028751	ENSPPAG00000037407	Pan_paniscus
ENSP00000274787	ENSG00000146066	Homo_sapiens
ENSGGOP00000013981	ENSGGOG00000014339	Gorilla_gorilla
ENSPPYP00000017986	ENSPPYG00000016071	Pongo_abelii
ENSNLEP00000015177	ENSNLEG00000012501	Nomascus_leucogenys
ENSCANP00000023737	ENSCANG00000035282	Colobus_angolensis_palliatus
ENSPTEP00000031573	ENSPTEG00000030476	Piliocolobus_tephrosceles
ENSRROP00000004461	ENSRROG00000018385	Rhinopithecus_roxellana
ENSRROP00000031795	ENSRROG00000039570	Rhinopithecus_roxellana
ENSRBIP00000032729	ENSRBIG00000040150	Rhinopithecus_bieti
ENSCATP00000008349	ENSCATG00000025158	Cercocebus_atys
ENSMLEP00000022771	ENSMLEG00000035593	Mandrillus_leucophaeus
ENSPANP00000000471	ENSPANG00000001916	Papio_anubis
ENSTGEP00000017466	ENSTGEG00000014125	Theropithecus_gelada
ENSMMUP00000080393	ENSMMUG00000064051	Macaca_mulatta
ENSMFAP00000035530	ENSMFAG00000034686	Macaca_fascicularis
ENSMNEP00000025242	ENSMNEG00000036123	Macaca_nemestrina
ENSCSAP00000005613	ENSCSAG00000009364	Chlorocebus_sabaeus
ENSCSAP00000019255	ENSCSAG00000019760	Chlorocebus_sabaeus
ENSMFAP00000034457	ENSMFAG00000003732	Macaca_fascicularis
ENSMNEP00000027806	ENSMNEG00000037307	Macaca_nemestrina
ENSPANP00000028043	ENSPANG00000031996	Papio_anubis
ENSMLEP00000018089	ENSMLEG00000033233	Mandrillus_leucophaeus
ENSPPAP00000003020	ENSPPAG00000012835	Pan_paniscus
ENSPTRP00000012401	ENSPTRG00000007254	Pan_troglodytes
ENSP00000307951	ENSG00000175202	Homo_sapiens
ENSGGOP00000014962	ENSGGOG00000015337	Gorilla_gorilla
ENSCCAP00000000586	ENSCCAG00000003627	Cebus_capucinus_imitator
ENSCCAP00000026741	ENSCCAG00000031161	Cebus_capucinus_imitator
ENSSBOP00000017243	ENSSBOG00000025283	Saimiri_boliviensis_boliviensis
ENSCJAP00000065320	ENSCJAG00000041830	Callithrix_jacchus
ENSANAP00000005077	ENSANAG00000020645	Aotus_nancymaae
ENSRNOP00000023515	ENSRNOG00000017372	Rattus_norvegicus
ENSRNOP00000001416	ENSRNOG00000001071	Rattus_norvegicus
ENSMSIP00000008919	ENSMSIG00000007929	Mus_spicilegus
ENSMUSP00000026986	ENSMUSG00000025868	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0036050	MGP_SPRETEiJ_G0019419	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0034415	MGP_CAROLIEiJ_G0018539	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0041021	MGP_PahariEiJ_G0019604	Mus_pahari_strain_PAHARI_EIJ
ENSMUGP00000020226	ENSMUGG00000017101	Meriones_unguiculatus
ENSCGRP00000017321	ENSCGRG00000012595	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001018865	ENSCGRG00001018479	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015024714	ENSCGRG00015018783	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000001903	ENSMAUG00000001426	Mesocricetus_auratus
ENSPEMP00000032889	ENSPEMG00000029522	Peromyscus_maniculatus_bairdii
ENSMOCP00000013196	ENSMOCG00000013069	Microtus_ochrogaster
ENSNGAP00000017232	ENSNGAG00000017723	Nannospalax_galili
ENSJJAP00000019109	ENSJJAG00000020174	Jaculus_jaculus
ENSCCNP00000017030	ENSCCNG00000017311	Castor_canadensis
ENSCCNP00000029732	ENSCCNG00000028486	Castor_canadensis
ENSSTOP00000004368	ENSSTOG00000004886	Ictidomys_tridecemlineatus
ENSUPAP00010016288	ENSUPAG00010013000	Urocitellus_parryii
ENSSDAP00000003992	ENSSDAG00000003771	Spermophilus_dauricus
ENSSDAP00000003971	ENSSDAG00000003751	Spermophilus_dauricus
ENSMMMP00000001808	ENSMMMG00000001675	Marmota_marmota_marmota
ENSCLAP00000017372	ENSCLAG00000011930	Chinchilla_lanigera
ENSCPOP00000023274	ENSCPOG00000034924	Cavia_porcellus
ENSODEP00000012553	ENSODEG00000009305	Octodon_degus
ENSHGLP00100016522	ENSHGLG00100012198	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000018309	ENSHGLG00000013118	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000006084	ENSFDAG00000014926	Fukomys_damarensis
ENSPTEP00000019591	ENSPTEG00000020897	Piliocolobus_tephrosceles
ENSCJAP00000074250	ENSCJAG00000040062	Callithrix_jacchus
ENSOGAP00000000734	ENSOGAG00000000823	Otolemur_garnettii
ENSOCUP00000046195	ENSOCUG00000032806	Oryctolagus_cuniculus
ENSOPRP00000003257	ENSOPRG00000003572	Ochotona_princeps
ENSTSYP00000034080	ENSTSYG00000029363	Carlito_syrichta
ENSTSYP00000010473	ENSTSYG00000011427	Carlito_syrichta
ENSDORP00000016946	ENSDORG00000028196	Dipodomys_ordii
ENSEASP00005017317	ENSEASG00005011992	Equus_asinus_asinus
ENSECAP00000018368	ENSECAG00000020914	Equus_caballus
ENSECAP00000034840	ENSECAG00000029896	Equus_caballus
ENSPPRP00000025372	ENSPPRG00000015618	Panthera_pardus
ENSPTIP00000011279	ENSPTIG00000011754	Panthera_tigris_altaica
ENSFCAP00000006667	ENSFCAG00000007190	Felis_catus
ENSPPRP00000029543	ENSPPRG00000022183	Panthera_pardus
ENSUMAP00000034025	ENSUMAG00000024506	Ursus_maritimus
ENSUAMP00000005806	ENSUAMG00000005140	Ursus_americanus
ENSAMEP00000007364	ENSAMEG00000007002	Ailuropoda_melanoleuca
ENSNVIP00000027904	ENSNVIG00000021567	Neovison_vison
ENSMPUP00000012453	ENSMPUG00000012548	Mustela_putorius_furo
ENSCAFP00000047103	ENSCAFG00000042747	Canis_lupus_familiaris
ENSCAFP00020014220	ENSCAFG00020011512	Canis_lupus_dingo
ENSVVUP00000002075	ENSVVUG00000001681	Vulpes_vulpes
ENSCAFP00020012368	ENSCAFG00020009963	Canis_lupus_dingo
ENSCAFP00000002953	ENSCAFG00000002010	Canis_lupus_familiaris
ENSVVUP00000028301	ENSVVUG00000020716	Vulpes_vulpes
ENSMLUP00000003188	ENSMLUG00000003508	Myotis_lucifugus
ENSPVAP00000016054	ENSPVAG00000017020	Pteropus_vampyrus
ENSEEUP00000003560	ENSEEUG00000003933	Erinaceus_europaeus
ENSSARP00000006051	ENSSARG00000006688	Sorex_araneus
ENSSSCP00000027136	ENSSSCG00000029179	Sus_scrofa_strain_reference
ENSVPAP00000004129	ENSVPAG00000004446	Vicugna_pacos
ENSBTAP00000014213	ENSBTAG00000010735	Bos_taurus
ENSBMUP00000026014	ENSBMUG00000019505	Bos_mutus
ENSBIXP00000040240	ENSBIXG00000024282	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005020304	ENSBIXG00005023415	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBBBP00000001280	ENSBBBG00000010346	Bison_bison_bison
ENSOARP00000002291	ENSOARG00000002172	Ovis_aries
ENSCHIP00000005337	ENSCHIG00000009453	Capra_hircus
ENSTTRP00000005105	ENSTTRG00000005428	Tursiops_truncatus
ENSDNOP00000002078	ENSDNOG00000002681	Dasypus_novemcinctus
ENSOANP00000024201	ENSOANG00000015385	Ornithorhynchus_anatinus
ENSXETP00000048193	ENSXETG00000021284	Xenopus_tropicalis
ENSLACP00000016966	ENSLACG00000014941	Latimeria_chalumnae
ENSPKIP00000006707	ENSPKIG00000022878	Paramormyrops_kingsleyae	ENSPKIT00000030737
ENSSFOP00015001150	ENSSFOG00015000843	Scleropages_formosus
ENSIPUP00000024441	ENSIPUG00000016523	Ictalurus_punctatus
ENSEEEP00000026219	ENSEEEG00000012677	Electrophorus_electricus
ENSAMXP00005030123	ENSAMXG00005014823	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000003161	ENSAMXG00000003114	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000006658	ENSPNAG00000002340	Pygocentrus_nattereri
ENSDARP00000068705	ENSDARG00000052371	Danio_rerio
ENSCHAP00000029595	ENSCHAG00000014229	Clupea_harengus
ENSDCDP00000038422	ENSDCDG00000025791	Denticeps_clupeoides
ENSAPEP00000018454	ENSAPEG00000013185	Amphiprion_percula
ENSAOCP00000026375	ENSAOCG00000014612	Amphiprion_ocellaris
ENSAPOP00000013574	ENSAPOG00000016367	Acanthochromis_polyacanthus
ENSSPAP00000012965	ENSSPAG00000009832	Stegastes_partitus
ENSGWIP00000031210	ENSGWIG00000016182	Gouania_willdenowi
ENSMAMP00000016834	ENSMAMG00000011377	Mastacembelus_armatus
ENSMMOP00000011786	ENSMMOG00000009056	Mola_mola
ENSPRNP00000027544	ENSPRNG00000013757	Parambassis_ranga
ENSBSLP00000016222	ENSBSLG00000008564	Betta_splendens
ENSLBEP00000037443	ENSLBEG00000027952	Labrus_bergylta
ENSGACP00000024260	ENSGACG00000018350	Gasterosteus_aculeatus
ENSCGOP00000004964	ENSCGOG00000002551	Cottoperca_gobio
ENSPMGP00000014795	ENSPMGG00000012139	Periophthalmus_magnuspinnatus
ENSMZEP00005013108	ENSMZEG00005009838	Maylandia_zebra
ENSACLP00000005278	ENSACLG00000003550	Astatotilapia_calliptera
ENSHBUP00000027451	ENSHBUG00000010684	Haplochromis_burtoni
ENSPNYP00000000273	ENSPNYG00000000206	Pundamilia_nyererei
ENSNBRP00000019916	ENSNBRG00000015357	Neolamprologus_brichardi
