ENSZALP00000020391	ENSZALG00000016047	Zonotrichia_albicollis
ENSANAP00000000368	ENSANAG00000002902	Aotus_nancymaae
ENSANAP00000002142	ENSANAG00000017155	Aotus_nancymaae
ENSMFAP00000000797	ENSMFAG00000039006	Macaca_fascicularis
ENSLOCP00000008495	ENSLOCG00000007017	Lepisosteus_oculatus
ENSVURP00010011569	ENSVURG00010008937	Vombatus_ursinus
ENSOARP00000005350	ENSOARG00000004995	Ovis_aries
ENSHGLP00000013947	ENSHGLG00000009963	Heterocephalus_glaber_HetGla_female_1.0
ENSRBIP00000028933	ENSRBIG00000038364	Rhinopithecus_bieti
ENSPCOP00000009068	ENSPCOG00000015877	Propithecus_coquereli
ENSCHAP00000043531	ENSCHAG00000020228	Clupea_harengus
ENSCATP00000009636	ENSCATG00000028940	Cercocebus_atys
ENSRBIP00000000857	ENSRBIG00000004475	Rhinopithecus_bieti
ENSLAFP00000023677	ENSLAFG00000026996	Loxodonta_africana
ENSPTIP00000001202	ENSPTIG00000003127	Panthera_tigris_altaica
ENSDNOP00000027443	ENSDNOG00000033680	Dasypus_novemcinctus
ENSMPUP00000013324	ENSMPUG00000013424	Mustela_putorius_furo
ENSPKIP00000001621	ENSPKIG00000019847	Paramormyrops_kingsleyae
ENSDNOP00000006459	ENSDNOG00000008341	Dasypus_novemcinctus
ENSPTEP00000042945	ENSPTEG00000039190	Piliocolobus_tephrosceles
ENSOARP00000009078	ENSOARG00000008467	Ovis_aries
ENSPNYP00000006286	ENSPNYG00000004705	Pundamilia_nyererei
ENSCGRP00000023890	ENSCGRG00000017308	Cricetulus_griseus_CriGri_1.0
ENSDNOP00000027213	ENSDNOG00000035478	Dasypus_novemcinctus
ENSMUSP00000119975	ENSMUSG00000008683	Mus_musculus_strain_reference_(CL57BL6)
ENSPTEP00000031527	ENSPTEG00000030439	Piliocolobus_tephrosceles
ENSMMOP00000009675	ENSMMOG00000007493	Mola_mola
ENSVVUP00000040320	ENSVVUG00000028803	Vulpes_vulpes
ENSCAFP00000034112	ENSCAFG00000013315	Canis_lupus_familiaris
ENSCCAP00000028894	ENSCCAG00000032458	Cebus_capucinus_imitator
ENSODEP00000003144	ENSODEG00000002412	Octodon_degus
ENSMICP00000047825	ENSMICG00000043512	Microcebus_murinus
ENSTGEP00000009539	ENSTGEG00000007855	Theropithecus_gelada
ENSBMUP00000018974	ENSBMUG00000014380	Bos_mutus
ENSMOCP00000007260	ENSMOCG00000007048	Microtus_ochrogaster
ENSPPAP00000006897	ENSPPAG00000025880	Pan_paniscus
ENSOARP00000015621	ENSOARG00000014565	Ovis_aries
ENSSMAP00000011823	ENSSMAG00000007285	Scophthalmus_maximus
ENSJJAP00000009998	ENSJJAG00000013711	Jaculus_jaculus
ENSBBBP00000009688	ENSBBBG00000017835	Bison_bison_bison
ENSCAFP00020034469	ENSCAFG00020026747	Canis_lupus_dingo
ENSVURP00010025756	ENSVURG00010019736	Vombatus_ursinus
ENSLCOP00000005122	ENSLCOG00000003853	Lepidothrix_coronata	ENSLCOT00000005470
ENSFCAP00000009864	ENSFCAG00000010625	Felis_catus
ENSMEUP00000003605	ENSMEUG00000003956	Notamacropus_eugenii
ENSMFAP00000031946	ENSMFAG00000037019	Macaca_fascicularis
ENSGGOP00000026391	ENSGGOG00000025722	Gorilla_gorilla
ENSARWP00000003894	ENSARWG00000002880	Apteryx_rowi
ENSCCEP00000023564	ENSCCEG00000021073	Cyanistes_caeruleus
ENSCGOP00000007194	ENSCGOG00000003654	Cottoperca_gobio
ENSJJAP00000002285	ENSJJAG00000003835	Jaculus_jaculus
ENSPSMP00000020890	ENSPSMG00000014793	Prolemur_simus
ENSEBUP00000014054	ENSEBUG00000008851	Eptatretus_burgeri
ENSVURP00010030275	ENSVURG00010023153	Vombatus_ursinus
ENSSTOP00000028969	ENSSTOG00000032770	Ictidomys_tridecemlineatus
ENSRROP00000003204	ENSRROG00000012748	Rhinopithecus_roxellana
ENSANAP00000000423	ENSANAG00000003475	Aotus_nancymaae
ENSCPOP00000022170	ENSCPOG00000032268	Cavia_porcellus
ENSHHUP00000020874	ENSHHUG00000013088	Hucho_hucho
ENSRROP00000023383	ENSRROG00000035540	Rhinopithecus_roxellana
ENSNVIP00000023182	ENSNVIG00000018066	Neovison_vison
ENSCGRP00015027032	ENSCGRG00015020500	Cricetulus_griseus_CriGri-PICR
ENSRNOP00000065901	ENSRNOG00000046896	Rattus_norvegicus
ENSSFOP00015016649	ENSSFOG00015010732	Scleropages_formosus
ENSCHOP00000010798	ENSCHOG00000012210	Choloepus_hoffmanni
ENSPTEP00000005118	ENSPTEG00000005956	Piliocolobus_tephrosceles
ENSRBIP00000003402	ENSRBIG00000016052	Rhinopithecus_bieti
ENSRNOP00000042242	ENSRNOG00000052207	Rattus_norvegicus
ENSPTRP00000082585	ENSPTRG00000044546	Pan_troglodytes
ENSOARP00000016751	ENSOARG00000015615	Ovis_aries
ENSSTOP00000024943	ENSSTOG00000030626	Ictidomys_tridecemlineatus
ENSXMAP00000004906	ENSXMAG00000004894	Xiphophorus_maculatus
ENSJJAP00000007959	ENSJJAG00000012241	Jaculus_jaculus
ENSPSIP00000002521	ENSPSIG00000002477	Pelodiscus_sinensis
ENSMAUP00000010156	ENSMAUG00000011142	Mesocricetus_auratus
ENSAPLP00000011353	ENSAPLG00000011588	Anas_platyrhynchos_platyrhynchos
ENSCVAP00000016676	ENSCVAG00000019662	Cyprinodon_variegatus
ENSRNOP00000072225	ENSRNOG00000055046	Rattus_norvegicus
ENSMMMP00000004854	ENSMMMG00000004433	Marmota_marmota_marmota
YLR367W_mRNA	YLR367W	Saccharomyces_cerevisiae_strain_S288C
ENSCAFP00000041534	ENSCAFG00000018174	Canis_lupus_familiaris
ENSCAFP00000040550	ENSCAFG00000024508	Canis_lupus_familiaris
ENSMFAP00000035128	ENSMFAG00000004031	Macaca_fascicularis
ENSJJAP00000001984	ENSJJAG00000003080	Jaculus_jaculus
ENSABRP00000019654	ENSABRG00000016839	Anser_brachyrhynchus
ENSCATP00000041178	ENSCATG00000043207	Cercocebus_atys
ENSFCAP00000016663	ENSFCAG00000026194	Felis_catus
ENSAOCP00000001494	ENSAOCG00000004516	Amphiprion_ocellaris
ENSSSCP00000059069	ENSSSCG00000032047	Sus_scrofa_strain_reference
ENSPSMP00000030554	ENSPSMG00000021208	Prolemur_simus
ENSPSMP00000027219	ENSPSMG00000019038	Prolemur_simus
ENSNLEP00000048302	ENSNLEG00000005499	Nomascus_leucogenys
ENSPTEP00000040747	ENSPTEG00000037491	Piliocolobus_tephrosceles
ENSODEP00000010146	ENSODEG00000007584	Octodon_degus
ENSCAFP00020020071	ENSCAFG00020015939	Canis_lupus_dingo
ENSBMUP00000007822	ENSBMUG00000006155	Bos_mutus
ENSBBBP00000022437	ENSBBBG00000016335	Bison_bison_bison
ENSATEP00000031193	ENSATEG00000021513	Anabas_testudineus
ENSBIXP00000022167	ENSBIXG00000006736	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSCCAP00000028257	ENSCCAG00000032078	Cebus_capucinus_imitator
ENSRNOP00000049286	ENSRNOG00000032877	Rattus_norvegicus
ENSCJAP00000052665	ENSCJAG00000048458	Callithrix_jacchus
ENSCCAP00000008403	ENSCCAG00000021935	Cebus_capucinus_imitator
ENSBMUP00000009564	ENSBMUG00000007442	Bos_mutus
ENSDNOP00000020199	ENSDNOG00000048623	Dasypus_novemcinctus
ENSPVAP00000002739	ENSPVAG00000002901	Pteropus_vampyrus
ENSMICP00000011132	ENSMICG00000012241	Microcebus_murinus
ENSLCAP00010005832	ENSLCAG00010002894	Lates_calcarifer
ENSCANP00000004634	ENSCANG00000016020	Colobus_angolensis_palliatus
ENSEASP00005003727	ENSEASG00005002833	Equus_asinus_asinus
ENSNGAP00000007756	ENSNGAG00000010941	Nannospalax_galili
ENSRROP00000020841	ENSRROG00000034357	Rhinopithecus_roxellana
ENSCHIP00000021715	ENSCHIG00000019947	Capra_hircus
ENSMOCP00000004266	ENSMOCG00000003481	Microtus_ochrogaster
ENSTRUP00000030312	ENSTRUG00000011976	Takifugu_rubripes
ENSOARP00000006460	ENSOARG00000006035	Ovis_aries
ENSCATP00000025019	ENSCATG00000036010	Cercocebus_atys
ENSTSYP00000022041	ENSTSYG00000033014	Carlito_syrichta
ENSAMXP00000035760	ENSAMXG00000042254	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSBMUP00000024659	ENSBMUG00000018540	Bos_mutus
ENSCMIP00000022047	ENSCMIG00000009994	Callorhinchus_milii
ENSBBBP00000002230	ENSBBBG00000002059	Bison_bison_bison
ENSCHIP00000021780	ENSCHIG00000019993	Capra_hircus
ENSOCUP00000027140	ENSOCUG00000000179	Oryctolagus_cuniculus
ENSBIXP00005023923	ENSBIXG00005026596	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSANAP00000028268	ENSANAG00000031976	Aotus_nancymaae
ENSCLAP00000012005	ENSCLAG00000008285	Chinchilla_lanigera
ENSSPUP00000002715	ENSSPUG00000002097	Sphenodon_punctatus
ENSCGRP00001007114	ENSCGRG00001009562	Cricetulus_griseus_CHOK1GS_HDv1
ENSCCAP00000002413	ENSCCAG00000014797	Cebus_capucinus_imitator
