ENSMUGP00000003197	ENSMUGG00000002990	Meriones_unguiculatus	ENSMUGT00000003857
ENSMSIP00000009899	ENSMSIG00000008700	Mus_spicilegus	ENSMSIT00000012562
ENSHGLP00100004245	ENSHGLG00100003224	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000007497	ENSHGLG00000005450	Heterocephalus_glaber_HetGla_female_1.0
ENSODEP00000004087	ENSODEG00000003120	Octodon_degus
ENSSPUP00000008347	ENSSPUG00000006477	Sphenodon_punctatus
ENSSPUP00000008358	ENSSPUG00000006487	Sphenodon_punctatus
ENSSPUP00000015094	ENSSPUG00000011650	Sphenodon_punctatus
ENSSPUP00000008333	ENSSPUG00000006446	Sphenodon_punctatus
ENSPVIP00000010304	ENSPVIG00000008172	Pogona_vitticeps
ENSPVIP00000008400	ENSPVIG00000006781	Pogona_vitticeps
ENSPVIP00000010303	ENSPVIG00000008171	Pogona_vitticeps
ENSNSUP00000001233	ENSNSUG00000001103	Notechis_scutatus
ENSSMRP00000013391	ENSSMRG00000010419	Salvator_merianae
ENSPVIP00000010291	ENSPVIG00000008162	Pogona_vitticeps
ENSGAGP00000009168	ENSGAGG00000007246	Gopherus_agassizii
ENSGAGP00000001822	ENSGAGG00000001459	Gopherus_agassizii
ENSGAGP00000026900	ENSGAGG00000019589	Gopherus_agassizii
ENSAPOP00000023902	ENSAPOG00000005987	Acanthochromis_polyacanthus
ENSPMEP00000012571	ENSPMEG00000014766	Poecilia_mexicana
