ENSCMIP00000035933	ENSCMIG00000015200	Callorhinchus_milii
ENSLACP00000009726	ENSLACG00000008576	Latimeria_chalumnae
ENSPKIP00000003537	ENSPKIG00000020998	Paramormyrops_kingsleyae
ENSSFOP00015011380	ENSSFOG00015007342	Scleropages_formosus
ENSDCDP00000053170	ENSDCDG00000031936	Denticeps_clupeoides
ENSCHAP00000052201	ENSCHAG00000023842	Clupea_harengus
ENSIPUP00000029524	ENSIPUG00000019954	Ictalurus_punctatus
ENSEEEP00000029993	ENSEEEG00000014376	Electrophorus_electricus
ENSAMXP00005010165	ENSAMXG00005005708	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000011592	ENSAMXG00000011284	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000007405	ENSPNAG00000013243	Pygocentrus_nattereri
ENSDARP00000005033	ENSDARG00000016745	Danio_rerio
ENSBSLP00000050215	ENSBSLG00000023855	Betta_splendens
ENSGACP00000013275	ENSGACG00000010044	Gasterosteus_aculeatus
ENSTRUP00000016871	ENSTRUG00000006875	Takifugu_rubripes
ENSTRUP00000045388	ENSTRUG00000017708	Takifugu_rubripes
ENSTNIP00000019498	ENSTNIG00000016401	Tetraodon_nigroviridis
ENSMMOP00000000207	ENSMMOG00000000173	Mola_mola
ENSCGOP00000044872	ENSCGOG00000020121	Cottoperca_gobio
ENSLCRP00005038352	ENSLCRG00005014882	Larimichthys_crocea
ENSLBEP00000012969	ENSLBEG00000009966	Labrus_bergylta
ENSSDUP00000004680	ENSSDUG00000003469	Seriola_dumerili
ENSSLDP00000032238	ENSSLDG00000024760	Seriola_lalandi_dorsalis
ENSSMAP00000031195	ENSSMAG00000019116	Scophthalmus_maximus
ENSLCAP00010041118	ENSLCAG00010019294	Lates_calcarifer
ENSMALP00000028990	ENSMALG00000020048	Monopterus_albus
ENSMAMP00000007221	ENSMAMG00000004912	Mastacembelus_armatus
ENSATEP00000024516	ENSATEG00000017020	Anabas_testudineus
ENSACLP00000035509	ENSACLG00000024043	Astatotilapia_calliptera
ENSMZEP00005001491	ENSMZEG00005001233	Maylandia_zebra
ENSHBUP00000016010	ENSHBUG00000017956	Haplochromis_burtoni
ENSPNYP00000030810	ENSPNYG00000023224	Pundamilia_nyererei
ENSNBRP00000028715	ENSNBRG00000021881	Neolamprologus_brichardi
ENSONIP00000007534	ENSONIG00000005983	Oreochromis_niloticus
ENSACIP00000017815	ENSACIG00000013899	Amphilophus_citrinellus
ENSGWIP00000047471	ENSGWIG00000023360	Gouania_willdenowi
ENSXMAP00000040506	ENSXMAG00000026974	Xiphophorus_maculatus
ENSXCOP00000002854	ENSXCOG00000002269	Xiphophorus_couchianus
ENSGAFP00000000940	ENSGAFG00000000646	Gambusia_affinis
ENSPFOP00000019043	ENSPFOG00000018934	Poecilia_formosa
ENSPLAP00000016072	ENSPLAG00000020144	Poecilia_latipinna
ENSPMEP00000031180	ENSPMEG00000018110	Poecilia_mexicana
ENSPREP00000011959	ENSPREG00000008125	Poecilia_reticulata
ENSCVAP00000021404	ENSCVAG00000003450	Cyprinodon_variegatus
ENSFHEP00000020976	ENSFHEG00000022943	Fundulus_heteroclitus
ENSKMAP00000024723	ENSKMAG00000018320	Kryptolebias_marmoratus
ENSORLP00015009966	ENSORLG00015010792	Oryzias_latipes_ASM223469v1
ENSORLP00000015108	ENSORLG00000012067	Oryzias_latipes_ASM223467v1
ENSORLP00020014884	ENSORLG00020015902	Oryzias_latipes_ASM223471v1
ENSOMEP00000021518	ENSOMEG00000023401	Oryzias_melastigma
ENSAOCP00000016819	ENSAOCG00000001957	Amphiprion_ocellaris
ENSAPEP00000007434	ENSAPEG00000005371	Amphiprion_percula
ENSAPOP00000027657	ENSAPOG00000012347	Acanthochromis_polyacanthus
