ENSECRP00000007606	ENSECRG00000005066	Erpetoichthys_calabaricus
ENSLOCP00000006513	ENSLOCG00000005402	Lepisosteus_oculatus
ENSAOWP00000002342	ENSAOWG00000001682	Apteryx_owenii	ENSAOWT00000002679
ENSAHAP00000002298	ENSAHAG00000001892	Apteryx_haastii	ENSAHAT00000002614
ENSARWP00000008231	ENSARWG00000005764	Apteryx_rowi	ENSARWT00000009406
ENSDNVP00000027369	ENSDNVG00000019002	Dromaius_novaehollandiae
ENSNPEP00000001092	ENSNPEG00000000871	Nothoprocta_perdicaria
ENSAPLP00000006704	ENSAPLG00000007090	Anas_platyrhynchos_platyrhynchos
ENSABRP00000006045	ENSABRG00000005610	Anser_brachyrhynchus
ENSGALP00000066771	ENSGALG00000015407	Gallus_gallus
ENSCJPP00005012219	ENSCJPG00005010407	Coturnix_japonica
ENSMGAP00000011468	ENSMGAG00000011002	Meleagris_gallopavo
ENSNMEP00000015451	ENSNMEG00000013717	Numida_meleagris
ENSJHYP00000016495	ENSJHYG00000012619	Junco_hyemalis
ENSZALP00000004826	ENSZALG00000004516	Zonotrichia_albicollis
ENSSCAP00000017706	ENSSCAG00000012852	Serinus_canaria
ENSTGUP00000011441	ENSTGUG00000011100	Taeniopygia_guttata
ENSLSDP00000020248	ENSLSDG00000014349	Lonchura_striata_domestica
ENSFALP00000010731	ENSFALG00000010290	Ficedula_albicollis
ENSPMJP00000021171	ENSPMJG00000015712	Parus_major
ENSCCEP00000014375	ENSCCEG00000013721	Cyanistes_caeruleus
ENSMVIP00005001784	ENSMVIG00005001407	Manacus_vitellinus
ENSLCOP00000005858	ENSLCOG00000004346	Lepidothrix_coronata
ENSCPGP00000019796	ENSCPGG00000013867	Calidris_pygmaea
ENSCPUP00000009014	ENSCPUG00000006420	Calidris_pugnax
ENSMUNP00000007874	ENSMUNG00000006288	Melopsittacus_undulatus
ENSCPRP00005023540	ENSCPRG00005016352	Crocodylus_porosus
ENSPVIP00000010274	ENSPVIG00000008150	Pogona_vitticeps
ENSACAP00000017718	ENSACAG00000017994	Anolis_carolinensis
ENSNSUP00000022390	ENSNSUG00000016281	Notechis_scutatus
ENSSMRP00000013252	ENSSMRG00000010309	Salvator_merianae
ENSSPUP00000012379	ENSSPUG00000009510	Sphenodon_punctatus
ENSGAGP00000022718	ENSGAGG00000016656	Gopherus_agassizii
ENSCABP00000006901	ENSCABG00000005230	Chelonoidis_abingdonii
ENSCPBP00000006146	ENSCPBG00000004901	Chrysemys_picta_bellii
ENSPSIP00000020112	ENSPSIG00000017823	Pelodiscus_sinensis
ENSVURP00010008393	ENSVURG00010006508	Vombatus_ursinus
ENSVURP00010026559	ENSVURG00010020326	Vombatus_ursinus
ENSPCIP00000014835	ENSPCIG00000011571	Phascolarctos_cinereus
ENSMEUP00000012913	ENSMEUG00000014157	Notamacropus_eugenii
