ENSPLAP00000003175	ENSPLAG00000004613	Poecilia_latipinna
ENSPFOP00000001438	ENSPFOG00000001496	Poecilia_formosa
ENSPFOP00000003878	ENSPFOG00000003975	Poecilia_formosa
ENSPMEP00000027989	ENSPMEG00000012790	Poecilia_mexicana
ENSPREP00000004360	ENSPREG00000003066	Poecilia_reticulata
ENSXMAP00000013958	ENSXMAG00000013931	Xiphophorus_maculatus
ENSGAFP00000002950	ENSGAFG00000002006	Gambusia_affinis
ENSCVAP00000011596	ENSCVAG00000013912	Cyprinodon_variegatus
ENSKMAP00000000761	ENSKMAG00000000588	Kryptolebias_marmoratus
ENSACLP00000020934	ENSACLG00000014228	Astatotilapia_calliptera
ENSMZEP00005027963	ENSMZEG00005020862	Maylandia_zebra
ENSHBUP00000014762	ENSHBUG00000016646	Haplochromis_burtoni
ENSNBRP00000004412	ENSNBRG00000003501	Neolamprologus_brichardi
ENSONIP00000016381	ENSONIG00000013025	Oreochromis_niloticus
ENSSMAP00000007439	ENSSMAG00000004590	Scophthalmus_maximus
ENSCSEP00000000569	ENSCSEG00000000395	Cynoglossus_semilaevis
ENSCGOP00000037488	ENSCGOG00000017156	Cottoperca_gobio
ENSGACP00000025163	ENSGACG00000019031	Gasterosteus_aculeatus
ENSTRUP00000011495	ENSTRUG00000004812	Takifugu_rubripes
ENSTNIP00000006252	ENSTNIG00000003657	Tetraodon_nigroviridis
ENSMMOP00000016938	ENSMMOG00000012904	Mola_mola
ENSSLDP00000008011	ENSSLDG00000006345	Seriola_lalandi_dorsalis
ENSSDUP00000010809	ENSSDUG00000007897	Seriola_dumerili
ENSXCOP00000011882	ENSXCOG00000008995	Xiphophorus_couchianus
ENSFHEP00000019493	ENSFHEG00000021409	Fundulus_heteroclitus
ENSACIP00000000318	ENSACIG00000000300	Amphilophus_citrinellus
ENSPNYP00000031321	ENSPNYG00000023615	Pundamilia_nyererei
ENSAPEP00000004653	ENSAPEG00000003352	Amphiprion_percula
ENSPMGP00000015944	ENSPMGG00000013078	Periophthalmus_magnuspinnatus
ENSAOCP00000014222	ENSAOCG00000018874	Amphiprion_ocellaris
ENSLCRP00005036449	ENSLCRG00005014185	Larimichthys_crocea
ENSLCAP00010028222	ENSLCAG00010013253	Lates_calcarifer
ENSPRNP00000009985	ENSPRNG00000005790	Parambassis_ranga
ENSLBEP00000037481	ENSLBEG00000027977	Labrus_bergylta
ENSGWIP00000049717	ENSGWIG00000024250	Gouania_willdenowi
ENSSPAP00000005630	ENSSPAG00000004347	Stegastes_partitus
ENSSPAP00000005587	ENSSPAG00000004321	Stegastes_partitus
ENSAPOP00000018438	ENSAPOG00000021810	Acanthochromis_polyacanthus
ENSFHEP00000019437	ENSFHEG00000021396	Fundulus_heteroclitus
ENSHCOP00000023507	ENSHCOG00000012101	Hippocampus_comes
ENSMALP00000022289	ENSMALG00000015560	Monopterus_albus
ENSMAMP00000021575	ENSMAMG00000014497	Mastacembelus_armatus
ENSATEP00000004209	ENSATEG00000002917	Anabas_testudineus
ENSBSLP00000026688	ENSBSLG00000013360	Betta_splendens
ENSORLP00020024286	ENSORLG00020005616	Oryzias_latipes_ASM223471v1
ENSORLP00000010043	ENSORLG00000008004	Oryzias_latipes_ASM223467v1
ENSORLP00015002192	ENSORLG00015002832	Oryzias_latipes_ASM223469v1
ENSOMEP00000031825	ENSOMEG00000016898	Oryzias_melastigma
ENSGMOP00000010381	ENSGMOG00000009710	Gadus_morhua
ENSHHUP00000066724	ENSHHUG00000039304	Hucho_hucho
ENSHHUP00000074054	ENSHHUG00000043354	Hucho_hucho
ENSELUP00000003355	ENSELUG00000004600	Esox_lucius
ENSAMXP00000016374	ENSAMXG00000015900	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005001379	ENSAMXG00005000813	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000005855	ENSPNAG00000011976	Pygocentrus_nattereri
ENSIPUP00000012922	ENSIPUG00000008785	Ictalurus_punctatus
ENSEEEP00000033108	ENSEEEG00000015748	Electrophorus_electricus
ENSDARP00000024096	ENSDARG00000004658	Danio_rerio
ENSDCDP00000001258	ENSDCDG00000000699	Denticeps_clupeoides	ENSDCDT00000001385
ENSCHAP00000012439	ENSCHAG00000006806	Clupea_harengus	ENSCHAT00000013858
ENSPKIP00000026279	ENSPKIG00000008823	Paramormyrops_kingsleyae
