ENSCCNP00000031073	ENSCCNG00000029635	Castor_canadensis	ENSCCNT00000039086
ENSDORP00000002650	ENSDORG00000002820	Dipodomys_ordii	ENSDORT00000002820
MGP_SPRETEiJ_P0082675	MGP_SPRETEiJ_G0030770	Mus_spretus_strain_SPRET/EiJ	MGP_SPRETEiJ_T0082675
ENSMSIP00000010163	ENSMSIG00000008906	Mus_spicilegus	ENSMSIT00000012868
ENSMUSP00000082543	ENSMUSG00000066500	Mus_musculus_strain_reference_(CL57BL6)	ENSMUST00000085422
MGP_CAROLIEiJ_P0079342	MGP_CAROLIEiJ_G0029672	Mus_caroli_strain_CAROLI_EIJ	MGP_CAROLIEiJ_T0079342
MGP_PahariEiJ_P0016210	MGP_PahariEiJ_G0012897	Mus_pahari_strain_PAHARI_EIJ	MGP_PahariEiJ_T0016210
ENSRNOP00000066149	ENSRNOG00000045902	Rattus_norvegicus	ENSRNOT00000070899
ENSRNOP00000065203	ENSRNOG00000047254	Rattus_norvegicus	ENSRNOT00000071054
ENSMUGP00000009909	ENSMUGG00000008805	Meriones_unguiculatus	ENSMUGT00000011605
ENSMUGP00000011303	ENSMUGG00000009899	Meriones_unguiculatus	ENSMUGT00000013172
ENSMOCP00000014713	ENSMOCG00000014130	Microtus_ochrogaster	ENSMOCT00000018473
ENSPEMP00000006403	ENSPEMG00000008634	Peromyscus_maniculatus_bairdii
ENSCGRP00015025869	ENSCGRG00015019644	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000024175	ENSCGRG00000017525	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001006098	ENSCGRG00001008171	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000001907	ENSMAUG00000001423	Mesocricetus_auratus
ENSNGAP00000021910	ENSNGAG00000020951	Nannospalax_galili
ENSUPAP00010018352	ENSUPAG00010014579	Urocitellus_parryii
ENSSTOP00000014760	ENSSTOG00000016490	Ictidomys_tridecemlineatus
ENSMMMP00000009088	ENSMMMG00000008119	Marmota_marmota_marmota
ENSODEP00000025278	ENSODEG00000018493	Octodon_degus
ENSCPOP00000010526	ENSCPOG00000011703	Cavia_porcellus
ENSOCUP00000012757	ENSOCUG00000014840	Oryctolagus_cuniculus
ENSOGAP00000005740	ENSOGAG00000006420	Otolemur_garnettii
ENSNVIP00000019558	ENSNVIG00000015324	Neovison_vison
ENSMPUP00000002261	ENSMPUG00000002285	Mustela_putorius_furo
ENSUMAP00000009703	ENSUMAG00000007335	Ursus_maritimus
ENSPPRP00000026974	ENSPPRG00000018093	Panthera_pardus
ENSPTIP00000025988	ENSPTIG00000021569	Panthera_tigris_altaica
ENSFCAP00000007386	ENSFCAG00000007972	Felis_catus
ENSECAP00000042626	ENSECAG00000034333	Equus_caballus
ENSBIXP00005031568	ENSBIXG00005011944	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000013475	ENSBIXG00000018409	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBMUP00000006629	ENSBMUG00000005241	Bos_mutus
ENSBBBP00000000669	ENSBBBG00000009822	Bison_bison_bison
ENSSSCP00000003479	ENSSSCG00000003207	Sus_scrofa_strain_reference
ENSPTRP00000019464	ENSPTRG00000011332	Pan_troglodytes
ENSPPAP00000027646	ENSPPAG00000036890	Pan_paniscus
ENSP00000293405	ENSG00000161652	Homo_sapiens
ENSGGOP00000014196	ENSGGOG00000014554	Gorilla_gorilla
ENSPPYP00000011504	ENSPPYG00000010277	Pongo_abelii
ENSNLEP00000006695	ENSNLEG00000005527	Nomascus_leucogenys
ENSPTEP00000019743	ENSPTEG00000021037	Piliocolobus_tephrosceles
ENSCANP00000009056	ENSCANG00000027940	Colobus_angolensis_palliatus
ENSRROP00000027533	ENSRROG00000037549	Rhinopithecus_roxellana
ENSRBIP00000036150	ENSRBIG00000041697	Rhinopithecus_bieti
ENSMLEP00000027223	ENSMLEG00000037822	Mandrillus_leucophaeus
ENSPANP00000001907	ENSPANG00000026249	Papio_anubis
ENSTGEP00000000424	ENSTGEG00000000444	Theropithecus_gelada
ENSCATP00000009675	ENSCATG00000029033	Cercocebus_atys
ENSMFAP00000010461	ENSMFAG00000007395	Macaca_fascicularis
ENSMMUP00000022464	ENSMMUG00000017065	Macaca_mulatta
ENSMNEP00000035546	ENSMNEG00000040933	Macaca_nemestrina
ENSCSAP00000015707	ENSCSAG00000002339	Chlorocebus_sabaeus
ENSSBOP00000008793	ENSSBOG00000021301	Saimiri_boliviensis_boliviensis
ENSCCAP00000016284	ENSCCAG00000025937	Cebus_capucinus_imitator
ENSCJAP00000007716	ENSCJAG00000004260	Callithrix_jacchus
ENSANAP00000032577	ENSANAG00000033983	Aotus_nancymaae
ENSTSYP00000010263	ENSTSYG00000011187	Carlito_syrichta
ENSPCOP00000026783	ENSPCOG00000025810	Propithecus_coquereli
ENSMICP00000044677	ENSMICG00000046551	Microcebus_murinus
ENSPSMP00000024288	ENSPSMG00000017131	Prolemur_simus
ENSLAFP00000014289	ENSLAFG00000017046	Loxodonta_africana
ENSVVUP00000027727	ENSVVUG00000020340	Vulpes_vulpes
ENSCAFP00000056264	ENSCAFG00000003346	Canis_lupus_familiaris
ENSCAFP00020028390	ENSCAFG00020022244	Canis_lupus_dingo
ENSPVAP00000005281	ENSPVAG00000005580	Pteropus_vampyrus
ENSSARP00000009282	ENSSARG00000010252	Sorex_araneus
ENSAMEP00000014228	ENSAMEG00000013515	Ailuropoda_melanoleuca
ENSTBEP00000009049	ENSTBEG00000010466	Tupaia_belangeri
ENSPCAP00000013238	ENSPCAG00000014173	Procavia_capensis
ENSDNOP00000003214	ENSDNOG00000004173	Dasypus_novemcinctus
ENSSHAP00000004167	ENSSHAG00000003672	Sarcophilus_harrisii
