FBpp0083406	FBgn0026056	Drosophila_melanogaster	FBtr0084002
T23G11.5a.1	WBGene00011970	Caenorhabditis_elegans_strain_N2	T23G11.5a.1
ENSPMAP00000004067	ENSPMAG00000003732	Petromyzon_marinus	ENSPMAT00000004084
ENSEBUP00000003116	ENSEBUG00000002302	Eptatretus_burgeri	ENSEBUT00000003480
ENSCHAP00000051684	ENSCHAG00000023633	Clupea_harengus
ENSDCDP00000060141	ENSDCDG00000034567	Denticeps_clupeoides
ENSAMXP00000049599	ENSAMXG00000041416	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000048541
ENSAMXP00005015519	ENSAMXG00005008193	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000017322	ENSPNAG00000023593	Pygocentrus_nattereri
ENSIPUP00000026619	ENSIPUG00000018010	Ictalurus_punctatus
ENSEEEP00000016440	ENSEEEG00000008137	Electrophorus_electricus
ENSDARP00000099701	ENSDARG00000078653	Danio_rerio
ENSGMOP00000013235	ENSGMOG00000012366	Gadus_morhua
ENSHHUP00000063753	ENSHHUG00000037658	Hucho_hucho
ENSGACP00000021996	ENSGACG00000016659	Gasterosteus_aculeatus
ENSTNIP00000017907	ENSTNIG00000014865	Tetraodon_nigroviridis
ENSTNIP00000000483	ENSTNIG00000001109	Tetraodon_nigroviridis
ENSPMGP00000006966	ENSPMGG00000005816	Periophthalmus_magnuspinnatus
ENSFHEP00000003271	ENSFHEG00000004131	Fundulus_heteroclitus
ENSCVAP00000002625	ENSCVAG00000003753	Cyprinodon_variegatus
ENSPFOP00000002655	ENSPFOG00000002697	Poecilia_formosa
ENSPMEP00000026485	ENSPMEG00000010214	Poecilia_mexicana
ENSPLAP00000010485	ENSPLAG00000013433	Poecilia_latipinna
ENSPREP00000015198	ENSPREG00000010252	Poecilia_reticulata
ENSXMAP00000000823	ENSXMAG00000000825	Xiphophorus_maculatus
ENSXCOP00000025818	ENSXCOG00000019298	Xiphophorus_couchianus
ENSKMAP00000027191	ENSKMAG00000020162	Kryptolebias_marmoratus
ENSCSEP00000026236	ENSCSEG00000016753	Cynoglossus_semilaevis
ENSHCOP00000010886	ENSHCOG00000013591	Hippocampus_comes
ENSCGOP00000012686	ENSCGOG00000005988	Cottoperca_gobio
ENSSMAP00000021208	ENSSMAG00000012986	Scophthalmus_maximus
ENSGWIP00000038877	ENSGWIG00000019814	Gouania_willdenowi
ENSBSLP00000019722	ENSBSLG00000010177	Betta_splendens
ENSORLP00000045005	ENSORLG00000004044	Oryzias_latipes_ASM223467v1
ENSORLP00015026116	ENSORLG00015007600	Oryzias_latipes_ASM223469v1
ENSORLP00020023735	ENSORLG00020004777	Oryzias_latipes_ASM223471v1
ENSOMEP00000034364	ENSOMEG00000020927	Oryzias_melastigma
ENSLBEP00000018414	ENSLBEG00000014193	Labrus_bergylta
ENSAPEP00000018878	ENSAPEG00000013479	Amphiprion_percula
ENSAOCP00000012183	ENSAOCG00000016608	Amphiprion_ocellaris
ENSAPOP00000029959	ENSAPOG00000016237	Acanthochromis_polyacanthus
ENSSPAP00000002032	ENSSPAG00000001538	Stegastes_partitus
ENSPRNP00000056141	ENSPRNG00000026258	Parambassis_ranga
ENSGAFP00000031025	ENSGAFG00000020919	Gambusia_affinis
ENSHBUP00000006821	ENSHBUG00000008294	Haplochromis_burtoni
ENSMZEP00005032647	ENSMZEG00005024322	Maylandia_zebra
ENSNBRP00000018366	ENSNBRG00000014154	Neolamprologus_brichardi
ENSONIP00000023266	ENSONIG00000018479	Oreochromis_niloticus
ENSACIP00000027078	ENSACIG00000020968	Amphilophus_citrinellus
ENSMMOP00000027790	ENSMMOG00000021011	Mola_mola
ENSTRUP00000018901	ENSTRUG00000007622	Takifugu_rubripes
ENSLCRP00005059991	ENSLCRG00005022187	Larimichthys_crocea
ENSSDUP00000012166	ENSSDUG00000008845	Seriola_dumerili
ENSSLDP00000028641	ENSSLDG00000022134	Seriola_lalandi_dorsalis
ENSLCAP00010052753	ENSLCAG00010024538	Lates_calcarifer
ENSMALP00000023013	ENSMALG00000016046	Monopterus_albus
ENSMAMP00000009746	ENSMAMG00000006550	Mastacembelus_armatus
ENSATEP00000028821	ENSATEG00000019874	Anabas_testudineus
ENSHHUP00000020935	ENSHHUG00000013024	Hucho_hucho
ENSACLP00000012106	ENSACLG00000008256	Astatotilapia_calliptera
ENSAOCP00000018894	ENSAOCG00000024084	Amphiprion_ocellaris
ENSPNYP00000007643	ENSPNYG00000005845	Pundamilia_nyererei
ENSHHUP00000003102	ENSHHUG00000001958	Hucho_hucho
ENSELUP00000029806	ENSELUG00000006824	Esox_lucius
ENSHHUP00000068072	ENSHHUG00000040148	Hucho_hucho
ENSPKIP00000026386	ENSPKIG00000008882	Paramormyrops_kingsleyae	ENSPKIT00000007142
ENSSFOP00015020423	ENSSFOG00015013129	Scleropages_formosus	ENSSFOT00015020655
ENSLOCP00000002966	ENSLOCG00000002522	Lepisosteus_oculatus
ENSECRP00000009472	ENSECRG00000006339	Erpetoichthys_calabaricus
ENSMVIP00005028303	ENSMVIG00005019718	Manacus_vitellinus
ENSLCOP00000007505	ENSLCOG00000005521	Lepidothrix_coronata
ENSPKIP00000016899	ENSPKIG00000003030	Paramormyrops_kingsleyae	ENSPKIT00000041402
ENSTGUP00000017081	ENSTGUG00000016792	Taeniopygia_guttata
ENSCPGP00000021499	ENSCPGG00000015000	Calidris_pygmaea
ENSCPUP00000011028	ENSCPUG00000007819	Calidris_pugnax
ENSMUNP00000004315	ENSMUNG00000003599	Melopsittacus_undulatus
ENSABRP00000021772	ENSABRG00000018487	Anser_brachyrhynchus
