ENSSLDP00000017469	ENSSLDG00000013793	Seriola_lalandi_dorsalis
ENSSDUP00000004694	ENSSDUG00000003474	Seriola_dumerili
ENSSMAP00000027983	ENSSMAG00000017122	Scophthalmus_maximus
ENSCGOP00000004058	ENSCGOG00000002146	Cottoperca_gobio
ENSMMOP00000025621	ENSMMOG00000019414	Mola_mola
ENSNBRP00000022232	ENSNBRG00000017047	Neolamprologus_brichardi
ENSACIP00000019161	ENSACIG00000014936	Amphilophus_citrinellus
ENSORLP00015002756	ENSORLG00015003442	Oryzias_latipes_ASM223469v1
ENSOMEP00000031267	ENSOMEG00000016035	Oryzias_melastigma
ENSPREP00000003134	ENSPREG00000002266	Poecilia_reticulata
ENSXCOP00000027742	ENSXCOG00000020684	Xiphophorus_couchianus
ENSPMGP00000025961	ENSPMGG00000020928	Periophthalmus_magnuspinnatus
ENSCSEP00000033450	ENSCSEG00000021468	Cynoglossus_semilaevis
ENSAPEP00000013568	ENSAPEG00000009676	Amphiprion_percula
ENSAOCP00000019419	ENSAOCG00000024689	Amphiprion_ocellaris
ENSHHUP00000025401	ENSHHUG00000016009	Hucho_hucho
ENSPNAP00000020485	ENSPNAG00000005518	Pygocentrus_nattereri
ENSAMXP00005009832	ENSAMXG00005005565	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSSFOP00015021648	ENSSFOG00015013945	Scleropages_formosus
ENSPKIP00000030030	ENSPKIG00000011045	Paramormyrops_kingsleyae
ENSCABP00000011266	ENSCABG00000008398	Chelonoidis_abingdonii
ENSCPBP00000006313	ENSCPBG00000005034	Chrysemys_picta_bellii
ENSSCAP00000020166	ENSSCAG00000014533	Serinus_canaria
ENSLSDP00000009477	ENSLSDG00000007045	Lonchura_striata_domestica
ENSJHYP00000015226	ENSJHYG00000011731	Junco_hyemalis
ENSZALP00000021381	ENSZALG00000016743	Zonotrichia_albicollis
ENSPMJP00000011750	ENSPMJG00000009070	Parus_major
ENSGALP00000042027	ENSGALG00000026229	Gallus_gallus
ENSCJPP00005010292	ENSCJPG00005008996	Coturnix_japonica
ENSNMEP00000016314	ENSNMEG00000014411	Numida_meleagris
