ENSCABP00000009832	ENSCABG00000007380	Chelonoidis_abingdonii	ENSCABT00000010776
ENSGAGP00000028772	ENSGAGG00000020852	Gopherus_agassizii	ENSGAGT00000032687
ENSCPBP00000025543	ENSCPBG00000018159	Chrysemys_picta_bellii
ENSPSIP00000020227	ENSPSIG00000017919	Pelodiscus_sinensis
ENSACAP00000011985	ENSACAG00000012222	Anolis_carolinensis
ENSPVIP00000008787	ENSPVIG00000007058	Pogona_vitticeps
ENSNSUP00000004429	ENSNSUG00000003528	Notechis_scutatus
ENSSMRP00000010823	ENSSMRG00000008571	Salvator_merianae
ENSDNVP00000027655	ENSDNVG00000019221	Dromaius_novaehollandiae
ENSNPEP00000014699	ENSNPEG00000010984	Nothoprocta_perdicaria
ENSAHAP00000014777	ENSAHAG00000010627	Apteryx_haastii
ENSARWP00000024873	ENSARWG00000016946	Apteryx_rowi
ENSAOWP00000027411	ENSAOWG00000018473	Apteryx_owenii
ENSABRP00000005620	ENSABRG00000005270	Anser_brachyrhynchus
ENSAPLP00000022729	ENSAPLG00000024725	Anas_platyrhynchos_platyrhynchos
ENSGALP00000072481	ENSGALG00000053575	Gallus_gallus
ENSCJPP00005004521	ENSCJPG00005004464	Coturnix_japonica
ENSNMEP00000017254	ENSNMEG00000015120	Numida_meleagris
ENSCPGP00000017134	ENSCPGG00000012037	Calidris_pygmaea
ENSCPUP00000027499	ENSCPUG00000018523	Calidris_pugnax
ENSPMJP00000017978	ENSPMJG00000013478	Parus_major
ENSSPUP00000008579	ENSSPUG00000006650	Sphenodon_punctatus
ENSVVUP00000018162	ENSVVUG00000013385	Vulpes_vulpes
ENSVVUP00000038845	ENSVVUG00000027699	Vulpes_vulpes
ENSCAFP00000041998	ENSCAFG00000031025	Canis_lupus_familiaris
ENSCAFP00020001792	ENSCAFG00020001573	Canis_lupus_dingo
ENSUAMP00000019874	ENSUAMG00000015713	Ursus_americanus
ENSNVIP00000006268	ENSNVIG00000004943	Neovison_vison
ENSMPUP00000007924	ENSMPUG00000007982	Mustela_putorius_furo
ENSAMEP00000016841	ENSAMEG00000015956	Ailuropoda_melanoleuca
ENSUAMP00000027619	ENSUAMG00000021357	Ursus_americanus
ENSVPAP00000001064	ENSVPAG00000001156	Vicugna_pacos
ENSSSCP00000061161	ENSSSCG00000022674	Sus_scrofa_strain_reference
ENSCHIP00000030549	ENSCHIG00000025258	Capra_hircus
ENSOARP00000018642	ENSOARG00000017368	Ovis_aries
ENSBIXP00000038491	ENSBIXG00000004329	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005013057	ENSBIXG00005017295	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000002573	ENSBTAG00000004349	Bos_taurus
ENSBMUP00000035262	ENSBMUG00000026230	Bos_mutus
ENSTTRP00000013128	ENSTTRG00000013844	Tursiops_truncatus
ENSPVAP00000013927	ENSPVAG00000014777	Pteropus_vampyrus
ENSSARP00000003432	ENSSARG00000003823	Sorex_araneus
ENSEASP00005008307	ENSEASG00005006002	Equus_asinus_asinus
