ENSPNYP00000015936	ENSPNYG00000012065	Pundamilia_nyererei
ENSFHEP00000034398	ENSFHEG00000022093	Fundulus_heteroclitus
ENSAOCP00000025015	ENSAOCG00000012294	Amphiprion_ocellaris
ENSAMXP00000029283	ENSAMXG00000032377	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000030605
ENSBSLP00000027319	ENSBSLG00000013722	Betta_splendens
ENSXCOP00000006583	ENSXCOG00000005099	Xiphophorus_couchianus
ENSNBRP00000000245	ENSNBRG00000000230	Neolamprologus_brichardi
ENSMZEP00005004570	ENSMZEG00005003554	Maylandia_zebra	ENSMZET00005004772
ENSAMXP00005000853	ENSAMXG00005000536	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSMMOP00000028221	ENSMMOG00000021331	Mola_mola
ENSPMGP00000029749	ENSPMGG00000023939	Periophthalmus_magnuspinnatus
ENSCHAP00000058808	ENSCHAG00000026449	Clupea_harengus
ENSAPOP00000023022	ENSAPOG00000004555	Acanthochromis_polyacanthus
ENSPLAP00000021534	ENSPLAG00000000099	Poecilia_latipinna
ENSEBUP00000022057	ENSEBUG00000013605	Eptatretus_burgeri
ENSCSEP00000027754	ENSCSEG00000017731	Cynoglossus_semilaevis
ENSECRP00000004182	ENSECRG00000002845	Erpetoichthys_calabaricus
ENSMAMP00000014093	ENSMAMG00000009560	Mastacembelus_armatus
ENSSDUP00000022516	ENSSDUG00000016395	Seriola_dumerili
ENSACIP00000006129	ENSACIG00000004826	Amphilophus_citrinellus
ENSMALP00000023902	ENSMALG00000016662	Monopterus_albus
ENSXMAP00000035338	ENSXMAG00000024281	Xiphophorus_maculatus
ENSORLP00000012305	ENSORLG00000009805	Oryzias_latipes_ASM223467v1
ENSAPEP00000011560	ENSAPEG00000008255	Amphiprion_percula
ENSHCOP00000002198	ENSHCOG00000003292	Hippocampus_comes
