ENSTRUP00000007364	ENSTRUG00000024348	Takifugu_rubripes
ENSAPEP00000002521	ENSAPEG00000001847	Amphiprion_percula
ENSLOCP00000005813	ENSLOCG00000004836	Lepisosteus_oculatus
ENSPNYP00000003581	ENSPNYG00000002790	Pundamilia_nyererei
ENSBIXP00005005070	ENSBIXG00005010824	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSOMEP00000022658	ENSOMEG00000002319	Oryzias_melastigma
ENSBSLP00000040336	ENSBSLG00000019434	Betta_splendens
ENSPMGP00000015557	ENSPMGG00000012641	Periophthalmus_magnuspinnatus
ENSKMAP00000020193	ENSKMAG00000015016	Kryptolebias_marmoratus
ENSHGLP00100023070	ENSHGLG00100016956	Heterocephalus_glaber_HetGla_1.0
ENSCJAP00000077096	ENSCJAG00000043426	Callithrix_jacchus
ENSMUGP00000011105	ENSMUGG00000009382	Meriones_unguiculatus
ENSRNOP00000069225	ENSRNOG00000051531	Rattus_norvegicus
MGP_SPRETEiJ_P0089884	MGP_SPRETEiJ_G0032782	Mus_spretus_strain_SPRET/EiJ
ENSPTRP00000014428	ENSPTRG00000008462	Pan_troglodytes
ENSARWP00000015268	ENSARWG00000010556	Apteryx_rowi
ENSDNVP00000008984	ENSDNVG00000006376	Dromaius_novaehollandiae
ENSPPYP00000008623	ENSPPYG00000007646	Pongo_abelii
ENSCAFP00020005797	ENSCAFG00020004731	Canis_lupus_dingo
ENSCPBP00000033570	ENSCPBG00000023471	Chrysemys_picta_bellii
ENSAPLP00000022476	ENSAPLG00000007265	Anas_platyrhynchos_platyrhynchos
ENSCANP00000024062	ENSCANG00000035424	Colobus_angolensis_palliatus
ENSODEP00000005413	ENSODEG00000004093	Octodon_degus
ENSMZEP00005006177	ENSMZEG00005004780	Maylandia_zebra
ENSCHAP00000051469	ENSCHAG00000023544	Clupea_harengus	ENSCHAT00000055554
ENSATEP00000009393	ENSATEG00000006613	Anabas_testudineus
ENSNMEP00000000972	ENSNMEG00000001384	Numida_meleagris
MGP_PahariEiJ_P0054618	MGP_PahariEiJ_G0023262	Mus_pahari_strain_PAHARI_EIJ
ENSBBBP00000007639	ENSBBBG00000015652	Bison_bison_bison
ENSPNAP00000033005	ENSPNAG00000021339	Pygocentrus_nattereri
ENSBTAP00000065989	ENSBTAG00000020943	Bos_taurus
ENSPREP00000010239	ENSPREG00000006972	Poecilia_reticulata
ENSCPGP00000020115	ENSCPGG00000014103	Calidris_pygmaea
ENSCGRP00015028192	ENSCGRG00015021357	Cricetulus_griseus_CriGri-PICR
ENSAMXP00005000900	ENSAMXG00005000567	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
