ENSAHAP00000022441	ENSAHAG00000015735	Apteryx_haastii
ENSAOWP00000000380	ENSAOWG00000000315	Apteryx_owenii
ENSARWP00000009892	ENSARWG00000006886	Apteryx_rowi
ENSDNVP00000004955	ENSDNVG00000003545	Dromaius_novaehollandiae	ENSDNVT00000005956
ENSNPEP00000000953	ENSNPEG00000000759	Nothoprocta_perdicaria
ENSCCEP00000014369	ENSCCEG00000013715	Cyanistes_caeruleus
ENSPMJP00000021177	ENSPMJG00000015718	Parus_major
ENSLSDP00000020222	ENSLSDG00000014329	Lonchura_striata_domestica
ENSTGUP00000011456	ENSTGUG00000011114	Taeniopygia_guttata
ENSSCAP00000017743	ENSSCAG00000012880	Serinus_canaria
ENSFALP00000010774	ENSFALG00000010322	Ficedula_albicollis
ENSJHYP00000016584	ENSJHYG00000012658	Junco_hyemalis
ENSZALP00000004839	ENSZALG00000004526	Zonotrichia_albicollis
ENSMVIP00005001674	ENSMVIG00005001318	Manacus_vitellinus
ENSLCOP00000018311	ENSLCOG00000012939	Lepidothrix_coronata
ENSCPUP00000009204	ENSCPUG00000006559	Calidris_pugnax
ENSCPGP00000019741	ENSCPGG00000013825	Calidris_pygmaea
ENSMUNP00000007868	ENSMUNG00000006282	Melopsittacus_undulatus
ENSGALP00000044254	ENSGALG00000041573	Gallus_gallus
ENSCJPP00005012226	ENSCJPG00005010415	Coturnix_japonica
ENSMGAP00000011499	ENSMGAG00000011028	Meleagris_gallopavo
ENSNMEP00000015456	ENSNMEG00000013726	Numida_meleagris
ENSABRP00000006115	ENSABRG00000005667	Anser_brachyrhynchus
ENSAPLP00000028579	ENSAPLG00000007571	Anas_platyrhynchos_platyrhynchos
ENSCPRP00005023587	ENSCPRG00005016382	Crocodylus_porosus
ENSGAGP00000008474	ENSGAGG00000006739	Gopherus_agassizii
ENSCABP00000006892	ENSCABG00000005219	Chelonoidis_abingdonii
ENSCPBP00000006069	ENSCPBG00000004850	Chrysemys_picta_bellii
ENSPSIP00000020324	ENSPSIG00000017994	Pelodiscus_sinensis
ENSPVIP00000028046	ENSPVIG00000020826	Pogona_vitticeps
ENSACAP00000006375	ENSACAG00000006515	Anolis_carolinensis
ENSNSUP00000010143	ENSNSUG00000007723	Notechis_scutatus
ENSSMRP00000022029	ENSSMRG00000017119	Salvator_merianae
ENSSPUP00000024640	ENSSPUG00000018875	Sphenodon_punctatus
ENSPTEP00000012864	ENSPTEG00000014455	Piliocolobus_tephrosceles
ENSCANP00000007460	ENSCANG00000024518	Colobus_angolensis_palliatus
ENSRBIP00000040312	ENSRBIG00000043583	Rhinopithecus_bieti
ENSRROP00000008311	ENSRROG00000028627	Rhinopithecus_roxellana
ENSTGEP00000021662	ENSTGEG00000017493	Theropithecus_gelada
ENSCATP00000001881	ENSCATG00000008611	Cercocebus_atys
ENSMNEP00000012935	ENSMNEG00000030740	Macaca_nemestrina
ENSMFAP00000035815	ENSMFAG00000034283	Macaca_fascicularis
ENSMMUP00000072393	ENSMMUG00000014650	Macaca_mulatta
ENSPANP00000005740	ENSPANG00000008388	Papio_anubis
ENSMLEP00000025233	ENSMLEG00000036810	Mandrillus_leucophaeus
ENSCSAP00000010670	ENSCSAG00000014546	Chlorocebus_sabaeus
ENSPTRP00000071297	ENSPTRG00000020271	Pan_troglodytes
ENSPPAP00000039959	ENSPPAG00000042643	Pan_paniscus
ENSP00000262644	ENSG00000104331	Homo_sapiens
ENSGGOP00000017735	ENSGGOG00000025130	Gorilla_gorilla
ENSPPYP00000020865	ENSPPYG00000018607	Pongo_abelii
ENSNLEP00000001564	ENSNLEG00000001322	Nomascus_leucogenys
ENSSBOP00000008297	ENSSBOG00000021056	Saimiri_boliviensis_boliviensis
ENSCCAP00000028623	ENSCCAG00000032293	Cebus_capucinus_imitator
ENSCJAP00000030514	ENSCJAG00000016573	Callithrix_jacchus
ENSANAP00000006896	ENSANAG00000021522	Aotus_nancymaae
ENSPSMP00000005690	ENSPSMG00000004326	Prolemur_simus
ENSPCOP00000031740	ENSPCOG00000028648	Propithecus_coquereli
ENSMICP00000020889	ENSMICG00000028623	Microcebus_murinus
ENSTSYP00000022837	ENSTSYG00000031342	Carlito_syrichta
ENSOGAP00000016481	ENSOGAG00000026169	Otolemur_garnettii
ENSTBEP00000008735	ENSTBEG00000010100	Tupaia_belangeri
ENSHGLP00000000930	ENSHGLG00000000762	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100010469	ENSHGLG00100007781	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000008185	ENSFDAG00000016505	Fukomys_damarensis
ENSCAPP00000004878	ENSCAPG00000007325	Cavia_aperea
ENSCPOP00000020782	ENSCPOG00000023705	Cavia_porcellus
ENSCLAP00000014674	ENSCLAG00000010131	Chinchilla_lanigera
ENSODEP00000008248	ENSODEG00000006152	Octodon_degus
ENSSTOP00000018423	ENSSTOG00000024429	Ictidomys_tridecemlineatus
ENSSDAP00000000080	ENSSDAG00000000119	Spermophilus_dauricus
ENSMMMP00000001616	ENSMMMG00000001477	Marmota_marmota_marmota
ENSUPAP00010006237	ENSUPAG00010005019	Urocitellus_parryii
ENSCCNP00000001455	ENSCCNG00000001622	Castor_canadensis
ENSDORP00000014579	ENSDORG00000015489	Dipodomys_ordii
ENSMSIP00000028289	ENSMSIG00000023807	Mus_spicilegus
MGP_SPRETEiJ_P0063756	MGP_SPRETEiJ_G0026736	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000082013	ENSMUSG00000066324	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0061330	MGP_CAROLIEiJ_G0025788	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0057001	MGP_PahariEiJ_G0023911	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000065350	ENSRNOG00000046647	Rattus_norvegicus
ENSRNOP00000066904	ENSRNOG00000027079	Rattus_norvegicus
ENSMUGP00000029489	ENSMUGG00000024467	Meriones_unguiculatus
ENSCGRP00001022275	ENSCGRG00001020859	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015030438	ENSCGRG00015022916	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000005173	ENSCGRG00000003787	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000013311	ENSMAUG00000013404	Mesocricetus_auratus
ENSMOCP00000016999	ENSMOCG00000015732	Microtus_ochrogaster
ENSPEMP00000000639	ENSPEMG00000000461	Peromyscus_maniculatus_bairdii
ENSNGAP00000019272	ENSNGAG00000019142	Nannospalax_galili
ENSJJAP00000013684	ENSJJAG00000016357	Jaculus_jaculus
ENSOCUP00000028964	ENSOCUG00000004428	Oryctolagus_cuniculus
ENSOPRP00000001499	ENSOPRG00000001610	Ochotona_princeps
ENSPVAP00000005679	ENSPVAG00000006009	Pteropus_vampyrus
ENSMLUP00000019726	ENSMLUG00000030180	Myotis_lucifugus
ENSEASP00005024088	ENSEASG00005016346	Equus_asinus_asinus
ENSECAP00000032497	ENSECAG00000020044	Equus_caballus
ENSUAMP00000026680	ENSUAMG00000020639	Ursus_americanus
ENSUMAP00000013260	ENSUMAG00000009795	Ursus_maritimus
ENSAMEP00000006449	ENSAMEG00000006121	Ailuropoda_melanoleuca
ENSNVIP00000001507	ENSNVIG00000001230	Neovison_vison
ENSMPUP00000010343	ENSMPUG00000010419	Mustela_putorius_furo
ENSCAFP00020019554	ENSCAFG00020015539	Canis_lupus_dingo
ENSCAFP00000010505	ENSCAFG00000007074	Canis_lupus_familiaris
ENSVVUP00000024392	ENSVVUG00000017862	Vulpes_vulpes
ENSPPRP00000010157	ENSPPRG00000004394	Panthera_pardus
ENSPTIP00000010013	ENSPTIG00000010907	Panthera_tigris_altaica
ENSFCAP00000041727	ENSFCAG00000040896	Felis_catus
ENSTTRP00000011600	ENSTTRG00000012231	Tursiops_truncatus
ENSSSCP00000041117	ENSSSCG00000032846	Sus_scrofa_strain_reference
ENSCHIP00000009669	ENSCHIG00000012443	Capra_hircus
ENSOARP00000016349	ENSOARG00000015243	Ovis_aries
ENSBIXP00000034499	ENSBIXG00000017496	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005040246	ENSBIXG00005003904	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000020766	ENSBTAG00000015637	Bos_taurus
ENSBMUP00000015493	ENSBMUG00000011773	Bos_mutus
ENSBBBP00000009251	ENSBBBG00000017338	Bison_bison_bison
ENSVPAP00000000597	ENSVPAG00000000647	Vicugna_pacos
ENSSARP00000005132	ENSSARG00000005673	Sorex_araneus
ENSEEUP00000013503	ENSEEUG00000014811	Erinaceus_europaeus
ENSCHOP00000008134	ENSCHOG00000009202	Choloepus_hoffmanni
ENSCHOP00000010069	ENSCHOG00000011399	Choloepus_hoffmanni
ENSDNOP00000007228	ENSDNOG00000009336	Dasypus_novemcinctus
ENSLAFP00000003882	ENSLAFG00000004652	Loxodonta_africana
ENSETEP00000005342	ENSETEG00000006575	Echinops_telfairi
ENSVURP00010008467	ENSVURG00010006577	Vombatus_ursinus
ENSVURP00010026648	ENSVURG00010020396	Vombatus_ursinus
ENSPCIP00000016944	ENSPCIG00000013018	Phascolarctos_cinereus
ENSMEUP00000010581	ENSMEUG00000011608	Notamacropus_eugenii
ENSSHAP00000009709	ENSSHAG00000008404	Sarcophilus_harrisii
ENSMODP00000011174	ENSMODG00000008961	Monodelphis_domestica
ENSOANP00000007982	ENSOANG00000005030	Ornithorhynchus_anatinus
ENSXETP00000040823	ENSXETG00000017494	Xenopus_tropicalis
ENSLACP00000002107	ENSLACG00000001885	Latimeria_chalumnae
ENSPKIP00000021126	ENSPKIG00000005646	Paramormyrops_kingsleyae
ENSSFOP00015023114	ENSSFOG00015014874	Scleropages_formosus
ENSAMXP00000048409	ENSAMXG00000029313	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005010656	ENSAMXG00005005928	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000021470	ENSPNAG00000028553	Pygocentrus_nattereri
ENSEEEP00000023233	ENSEEEG00000011263	Electrophorus_electricus
ENSIPUP00000018823	ENSIPUG00000012779	Ictalurus_punctatus
ENSHHUP00000074568	ENSHHUG00000043750	Hucho_hucho
ENSHHUP00000049036	ENSHHUG00000029716	Hucho_hucho
ENSELUP00000021095	ENSELUG00000020235	Esox_lucius
