ENSPMAP00000009462	ENSPMAG00000008577	Petromyzon_marinus	ENSPMAT00000009502
ENSEBUP00000006511	ENSEBUG00000004284	Eptatretus_burgeri	ENSEBUT00000006967
ENSPMAP00000003468	ENSPMAG00000003174	Petromyzon_marinus	ENSPMAT00000003483
ENSCMIP00000004028	ENSCMIG00000002411	Callorhinchus_milii
ENSPVIP00000021092	ENSPVIG00000016020	Pogona_vitticeps
ENSACAP00000021539	ENSACAG00000026984	Anolis_carolinensis
ENSNSUP00000004715	ENSNSUG00000003756	Notechis_scutatus
ENSSMRP00000015442	ENSSMRG00000012001	Salvator_merianae
ENSSPUP00000020960	ENSSPUG00000016080	Sphenodon_punctatus
ENSARWP00000022260	ENSARWG00000015164	Apteryx_rowi
ENSDNVP00000024034	ENSDNVG00000016686	Dromaius_novaehollandiae
ENSAPLP00000020866	ENSAPLG00000025380	Anas_platyrhynchos_platyrhynchos
ENSGALP00000069000	ENSGALG00000050887	Gallus_gallus
ENSCJPP00005002408	ENSCJPG00005002610	Coturnix_japonica
ENSABRP00000004414	ENSABRG00000004078	Anser_brachyrhynchus
ENSCPGP00000027477	ENSCPGG00000018945	Calidris_pygmaea
ENSCPUP00000000940	ENSCPUG00000000398	Calidris_pugnax
ENSFALP00000000132	ENSFALG00000000129	Ficedula_albicollis
ENSPMJP00000006330	ENSPMJG00000005343	Parus_major
ENSLSDP00000001487	ENSLSDG00000001173	Lonchura_striata_domestica
ENSJHYP00000003519	ENSJHYG00000002894	Junco_hyemalis
ENSSCAP00000002703	ENSSCAG00000002349	Serinus_canaria
ENSCCEP00000025485	ENSCCEG00000022470	Cyanistes_caeruleus
ENSTGUP00000015913	ENSTGUG00000015546	Taeniopygia_guttata
ENSLCOP00000016225	ENSLCOG00000011559	Lepidothrix_coronata
ENSNPEP00000016693	ENSNPEG00000012423	Nothoprocta_perdicaria
ENSCPRP00005002120	ENSCPRG00005001571	Crocodylus_porosus
ENSGAGP00000009913	ENSGAGG00000007798	Gopherus_agassizii
ENSCPBP00000028268	ENSCPBG00000019984	Chrysemys_picta_bellii
ENSCABP00000009755	ENSCABG00000007333	Chelonoidis_abingdonii
ENSPSIP00000002912	ENSPSIG00000002821	Pelodiscus_sinensis
ENSLAFP00000011909	ENSLAFG00000014224	Loxodonta_africana
ENSPCAP00000001848	ENSPCAG00000001967	Procavia_capensis
ENSPTRP00000087238	ENSPTRG00000004886	Pan_troglodytes
ENSPPAP00000002757	ENSPPAG00000011855	Pan_paniscus
ENSGGOP00000014874	ENSGGOG00000015239	Gorilla_gorilla
ENSP00000301050	ENSG00000167535	Homo_sapiens
ENSPPYP00000005100	ENSPPYG00000004467	Pongo_abelii
ENSNLEP00000021709	ENSNLEG00000017866	Nomascus_leucogenys
ENSMNEP00000009917	ENSMNEG00000029365	Macaca_nemestrina
ENSMFAP00000029308	ENSMFAG00000041712	Macaca_fascicularis
ENSMMUP00000046355	ENSMMUG00000008430	Macaca_mulatta
ENSMLEP00000004921	ENSMLEG00000021784	Mandrillus_leucophaeus
ENSCATP00000026770	ENSCATG00000036744	Cercocebus_atys
ENSTGEP00000000653	ENSTGEG00000000645	Theropithecus_gelada
ENSPANP00000041131	ENSPANG00000019458	Papio_anubis
ENSCSAP00000002538	ENSCSAG00000006242	Chlorocebus_sabaeus
ENSPTEP00000009489	ENSPTEG00000010702	Piliocolobus_tephrosceles
ENSCANP00000031762	ENSCANG00000039539	Colobus_angolensis_palliatus
ENSRROP00000035287	ENSRROG00000041133	Rhinopithecus_roxellana
ENSRBIP00000008644	ENSRBIG00000027539	Rhinopithecus_bieti
ENSCCAP00000037215	ENSCCAG00000036470	Cebus_capucinus_imitator
ENSCJAP00000038644	ENSCJAG00000020762	Callithrix_jacchus
ENSSBOP00000000680	ENSSBOG00000002898	Saimiri_boliviensis_boliviensis
ENSANAP00000011586	ENSANAG00000023621	Aotus_nancymaae
ENSTSYP00000023329	ENSTSYG00000005384	Carlito_syrichta
ENSPCOP00000028681	ENSPCOG00000027005	Propithecus_coquereli
ENSMICP00000040965	ENSMICG00000017540	Microcebus_murinus
ENSPSMP00000008318	ENSPSMG00000005832	Prolemur_simus
ENSOGAP00000017590	ENSOGAG00000028602	Otolemur_garnettii
ENSCGRP00015007349	ENSCGRG00015005665	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001005663	ENSCGRG00001007469	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000022576	ENSCGRG00000016366	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000011407	ENSMAUG00000012005	Mesocricetus_auratus
ENSMOCP00000007445	ENSMOCG00000007254	Microtus_ochrogaster
ENSPEMP00000015221	ENSPEMG00000014805	Peromyscus_maniculatus_bairdii
ENSMSIP00000001138	ENSMSIG00000000901	Mus_spicilegus
MGP_SPRETEiJ_P0041530	MGP_SPRETEiJ_G0021136	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0039696	MGP_CAROLIEiJ_G0020239	Mus_caroli_strain_CAROLI_EIJ
ENSMUSP00000155514	ENSMUSG00000003352	Mus_musculus_strain_reference_(CL57BL6)
MGP_PahariEiJ_P0043047	MGP_PahariEiJ_G0020242	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000073026	ENSRNOG00000054274	Rattus_norvegicus
ENSMUGP00000031880	ENSMUGG00000026500	Meriones_unguiculatus
ENSNGAP00000017279	ENSNGAG00000017756	Nannospalax_galili
ENSJJAP00000015829	ENSJJAG00000017876	Jaculus_jaculus
ENSHGLP00000010862	ENSHGLG00000007792	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100026463	ENSHGLG00100019404	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000019933	ENSFDAG00000008807	Fukomys_damarensis
ENSCPOP00000002962	ENSCPOG00000003277	Cavia_porcellus
ENSCAPP00000008874	ENSCAPG00000010472	Cavia_aperea
ENSCLAP00000002980	ENSCLAG00000002138	Chinchilla_lanigera
ENSODEP00000004670	ENSODEG00000003562	Octodon_degus
ENSCCNP00000004213	ENSCCNG00000004396	Castor_canadensis
ENSDORP00000011901	ENSDORG00000012657	Dipodomys_ordii
ENSSDAP00000017019	ENSSDAG00000015342	Spermophilus_dauricus
ENSSTOP00000003774	ENSSTOG00000004199	Ictidomys_tridecemlineatus
ENSUPAP00010011235	ENSUPAG00010008993	Urocitellus_parryii
ENSMMMP00000026206	ENSMMMG00000022935	Marmota_marmota_marmota
ENSTBEP00000014604	ENSTBEG00000016783	Tupaia_belangeri
ENSOARP00000020565	ENSOARG00000019143	Ovis_aries
ENSCHIP00000009714	ENSCHIG00000012486	Capra_hircus
ENSBIXP00000017835	ENSBIXG00000021771	Bos_indicus_x_Bos_taurus_UOA_Angus_1
