ENSEASP00005003096	ENSEASG00005002386	Equus_asinus_asinus
ENSECAP00000036729	ENSECAG00000033030	Equus_caballus
ENSBIXP00000010683	ENSBIXG00000016145	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005030619	ENSBIXG00005010828	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000051211	ENSBTAG00000040063	Bos_taurus
ENSBMUP00000025746	ENSBMUG00000019305	Bos_mutus
ENSOARP00000005768	ENSOARG00000005374	Ovis_aries
ENSCHIP00000024411	ENSCHIG00000021599	Capra_hircus
ENSBBBP00000014150	ENSBBBG00000021893	Bison_bison_bison
ENSTTRP00000010636	ENSTTRG00000011216	Tursiops_truncatus
ENSSSCP00000061869	ENSSSCG00000002938	Sus_scrofa_strain_reference
ENSUMAP00000024964	ENSUMAG00000018185	Ursus_maritimus
ENSUAMP00000014945	ENSUAMG00000011994	Ursus_americanus
ENSNVIP00000010069	ENSNVIG00000007951	Neovison_vison
ENSCAFP00020022765	ENSCAFG00020017961	Canis_lupus_dingo
ENSCAFP00000009011	ENSCAFG00000023983	Canis_lupus_familiaris
ENSVVUP00000018286	ENSVVUG00000013474	Vulpes_vulpes
ENSPPRP00000008094	ENSPPRG00000003019	Panthera_pardus
ENSPTIP00000010239	ENSPTIG00000011061	Panthera_tigris_altaica
ENSFCAP00000060738	ENSFCAG00000034125	Felis_catus
ENSEEUP00000001530	ENSEEUG00000001687	Erinaceus_europaeus
ENSCGRP00001005624	ENSCGRG00001007422	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000012880	ENSCGRG00000009379	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000011428	ENSMAUG00000012017	Mesocricetus_auratus
ENSMOCP00000021389	ENSMOCG00000018768	Microtus_ochrogaster
ENSNGAP00000005887	ENSNGAG00000008535	Nannospalax_galili
ENSCCNP00000004627	ENSCCNG00000004946	Castor_canadensis
ENSSTOP00000025856	ENSSTOG00000034852	Ictidomys_tridecemlineatus
ENSUPAP00010026955	ENSUPAG00010021324	Urocitellus_parryii
ENSSDAP00000005746	ENSSDAG00000005370	Spermophilus_dauricus
ENSMMMP00000004780	ENSMMMG00000004354	Marmota_marmota_marmota
ENSHGLP00100026290	ENSHGLG00100019290	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000020334	ENSHGLG00000014546	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000017709	ENSFDAG00000010369	Fukomys_damarensis
ENSODEP00000021087	ENSODEG00000015543	Octodon_degus
ENSDORP00000026038	ENSDORG00000026133	Dipodomys_ordii
ENSOPRP00000003566	ENSOPRG00000003889	Ochotona_princeps
ENSOPRP00000006113	ENSOPRG00000006678	Ochotona_princeps
ENSOPRP00000006107	ENSOPRG00000006671	Ochotona_princeps
ENSOCUP00000037442	ENSOCUG00000032129	Oryctolagus_cuniculus
ENSTBEP00000007259	ENSTBEG00000008387	Tupaia_belangeri
ENSMICP00000035588	ENSMICG00000029575	Microcebus_murinus
ENSMICP00000035108	ENSMICG00000036980	Microcebus_murinus
ENSPCOP00000029575	ENSPCOG00000027501	Propithecus_coquereli
ENSOGAP00000019709	ENSOGAG00000031598	Otolemur_garnettii
ENSPCOP00000005315	ENSPCOG00000013526	Propithecus_coquereli
ENSPCOP00000006024	ENSPCOG00000014086	Propithecus_coquereli
ENSMICP00000046061	ENSMICG00000043515	Microcebus_murinus
ENSPSMP00000002589	ENSPSMG00000002040	Prolemur_simus
ENSTSYP00000034292	ENSTSYG00000037236	Carlito_syrichta
ENSPTRP00000061534	ENSPTRG00000024056	Pan_troglodytes
ENSP00000292841	ENSG00000196967	Homo_sapiens
ENSNLEP00000042547	ENSNLEG00000016993	Nomascus_leucogenys
ENSP00000465212	ENSG00000267360	Homo_sapiens
ENSPANP00000001034	ENSPANG00000003153	Papio_anubis
ENSTGEP00000008360	ENSTGEG00000006834	Theropithecus_gelada
ENSCATP00000037813	ENSCATG00000041618	Cercocebus_atys
ENSMLEP00000038755	ENSMLEG00000043431	Mandrillus_leucophaeus
ENSMFAP00000027761	ENSMFAG00000045271	Macaca_fascicularis
ENSMMUP00000031639	ENSMMUG00000000107	Macaca_mulatta
ENSMNEP00000044903	ENSMNEG00000045000	Macaca_nemestrina
ENSCSAP00000000530	ENSCSAG00000004175	Chlorocebus_sabaeus
ENSRROP00000037476	ENSRROG00000042154	Rhinopithecus_roxellana
ENSRBIP00000034139	ENSRBIG00000040786	Rhinopithecus_bieti
ENSCANP00000006494	ENSCANG00000021661	Colobus_angolensis_palliatus
ENSPTEP00000010552	ENSPTEG00000011953	Piliocolobus_tephrosceles
ENSANAP00000002348	ENSANAG00000017915	Aotus_nancymaae
ENSSBOP00000024102	ENSSBOG00000028534	Saimiri_boliviensis_boliviensis
ENSPTRP00000046113	ENSPTRG00000033822	Pan_troglodytes
ENSGGOP00000016705	ENSGGOG00000017119	Gorilla_gorilla
ENSP00000433773	ENSG00000245680	Homo_sapiens
ENSPPYP00000011094	ENSPPYG00000009909	Pongo_abelii
ENSNLEP00000020639	ENSNLEG00000016992	Nomascus_leucogenys
ENSCANP00000020925	ENSCANG00000033895	Colobus_angolensis_palliatus
ENSPTEP00000010619	ENSPTEG00000012021	Piliocolobus_tephrosceles
ENSRROP00000036157	ENSRROG00000041541	Rhinopithecus_roxellana
ENSPANP00000008398	ENSPANG00000013983	Papio_anubis
ENSTGEP00000008315	ENSTGEG00000006789	Theropithecus_gelada
ENSCATP00000007758	ENSCATG00000023006	Cercocebus_atys
ENSMLEP00000019137	ENSMLEG00000033783	Mandrillus_leucophaeus
ENSCSAP00000000528	ENSCSAG00000004170	Chlorocebus_sabaeus
ENSCCAP00000035247	ENSCCAG00000035535	Cebus_capucinus_imitator
ENSSBOP00000040507	ENSSBOG00000036229	Saimiri_boliviensis_boliviensis
ENSCJAP00000058247	ENSCJAG00000048630	Callithrix_jacchus
ENSANAP00000035099	ENSANAG00000035105	Aotus_nancymaae
ENSPSMP00000002560	ENSPSMG00000002026	Prolemur_simus
ENSPSMP00000002554	ENSPSMG00000002022	Prolemur_simus
ENSAMEP00000016547	ENSAMEG00000015691	Ailuropoda_melanoleuca
ENSVVUP00000018283	ENSVVUG00000013462	Vulpes_vulpes
ENSMFAP00000028525	ENSMFAG00000045622	Macaca_fascicularis
ENSRBIP00000025621	ENSRBIG00000036692	Rhinopithecus_bieti
ENSPPAP00000014766	ENSPPAG00000030547	Pan_paniscus
ENSTSYP00000018959	ENSTSYG00000030835	Carlito_syrichta
ENSDNOP00000022851	ENSDNOG00000038073	Dasypus_novemcinctus
