ENSMVIP00005024487	ENSMVIG00005017191	Manacus_vitellinus
ENSLCOP00000010832	ENSLCOG00000007879	Lepidothrix_coronata
ENSPMJP00000023800	ENSPMJG00000017542	Parus_major
ENSCCEP00000000243	ENSCCEG00000000284	Cyanistes_caeruleus
ENSFALP00000000538	ENSFALG00000000525	Ficedula_albicollis
ENSTGUP00000001581	ENSTGUG00000001535	Taeniopygia_guttata
ENSJHYP00000022398	ENSJHYG00000016883	Junco_hyemalis
ENSMUNP00000014549	ENSMUNG00000011311	Melopsittacus_undulatus
ENSCPUP00000020631	ENSCPUG00000014112	Calidris_pugnax
ENSCPGP00000027395	ENSCPGG00000018874	Calidris_pygmaea
ENSAPLP00000017042	ENSAPLG00000001429	Anas_platyrhynchos_platyrhynchos
ENSABRP00000010199	ENSABRG00000009167	Anser_brachyrhynchus
ENSMGAP00000003976	ENSMGAG00000004202	Meleagris_gallopavo
ENSCJPP00005018560	ENSCJPG00005015107	Coturnix_japonica
ENSGALP00000001784	ENSGALG00000001177	Gallus_gallus
ENSNMEP00000012175	ENSNMEG00000011323	Numida_meleagris
ENSDNVP00000017794	ENSDNVG00000012442	Dromaius_novaehollandiae
ENSNPEP00000010269	ENSNPEG00000007709	Nothoprocta_perdicaria
ENSAOWP00000013874	ENSAOWG00000009456	Apteryx_owenii
ENSARWP00000025766	ENSARWG00000017502	Apteryx_rowi
ENSAHAP00000027260	ENSAHAG00000018997	Apteryx_haastii
ENSCPRP00005000187	ENSCPRG00005000167	Crocodylus_porosus
ENSGAGP00000018536	ENSGAGG00000013720	Gopherus_agassizii
ENSCABP00000011814	ENSCABG00000008820	Chelonoidis_abingdonii
ENSCPBP00000036334	ENSCPBG00000025240	Chrysemys_picta_bellii
ENSPSIP00000004039	ENSPSIG00000003818	Pelodiscus_sinensis
ENSACAP00000018353	ENSACAG00000008223	Anolis_carolinensis	ENSACAT00000027398
ENSPVIP00000007845	ENSPVIG00000006397	Pogona_vitticeps	ENSPVIT00000010099
ENSNSUP00000019204	ENSNSUG00000014028	Notechis_scutatus
ENSSMRP00000007340	ENSSMRG00000005896	Salvator_merianae
ENSSPUP00000020898	ENSSPUG00000016060	Sphenodon_punctatus
ENSBIXP00005019191	ENSBIXG00005022422	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000007477	ENSBIXG00000001351	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBMUP00000013930	ENSBMUG00000010607	Bos_mutus
ENSBBBP00000005160	ENSBBBG00000003038	Bison_bison_bison
ENSOARP00000014705	ENSOARG00000013714	Ovis_aries
ENSCHIP00000002645	ENSCHIG00000006308	Capra_hircus
ENSBTAP00000073399	ENSBTAG00000010562	Bos_taurus
ENSECAP00000022541	ENSECAG00000024973	Equus_caballus
ENSEASP00005003401	ENSEASG00005002639	Equus_asinus_asinus
ENSCAFP00020016430	ENSCAFG00020013179	Canis_lupus_dingo
ENSCAFP00000017250	ENSCAFG00000011722	Canis_lupus_familiaris
ENSVVUP00000012733	ENSVVUG00000009343	Vulpes_vulpes
ENSAMEP00000008666	ENSAMEG00000008229	Ailuropoda_melanoleuca
ENSMPUP00000002930	ENSMPUG00000002958	Mustela_putorius_furo
ENSNVIP00000021759	ENSNVIG00000016996	Neovison_vison
ENSPPRP00000016507	ENSPPRG00000008766	Panthera_pardus
ENSPTIP00000026103	ENSPTIG00000021634	Panthera_tigris_altaica
ENSFCAP00000061904	ENSFCAG00000007883	Felis_catus
ENSMLUP00000003594	ENSMLUG00000003949	Myotis_lucifugus
ENSVPAP00000006095	ENSVPAG00000006562	Vicugna_pacos
ENSSSCP00000038479	ENSSSCG00000039946	Sus_scrofa_strain_reference
ENSTTRP00000006837	ENSTTRG00000007226	Tursiops_truncatus
