ENSMLUP00000016204	ENSMLUG00000017761	Myotis_lucifugus
ENSEEUP00000006421	ENSEEUG00000007073	Erinaceus_europaeus
ENSECAP00000018189	ENSECAG00000020776	Equus_caballus
ENSEASP00005000660	ENSEASG00005000603	Equus_asinus_asinus
ENSBIXP00005008226	ENSBIXG00005001573	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000014070	ENSBIXG00000018859	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000000728	ENSBTAG00000000558	Bos_taurus
ENSBMUP00000013139	ENSBMUG00000010037	Bos_mutus
ENSBBBP00000009946	ENSBBBG00000018075	Bison_bison_bison
ENSOARP00000009044	ENSOARG00000008435	Ovis_aries
ENSCHIP00000007514	ENSCHIG00000010993	Capra_hircus
ENSTTRP00000000327	ENSTTRG00000000347	Tursiops_truncatus
ENSSSCP00000035703	ENSSSCG00000039501	Sus_scrofa_strain_reference
ENSUMAP00000002905	ENSUMAG00000002538	Ursus_maritimus
ENSUAMP00000003805	ENSUAMG00000003501	Ursus_americanus
ENSAMEP00000020506	ENSAMEG00000019439	Ailuropoda_melanoleuca
ENSCAFP00020005693	ENSCAFG00020004640	Canis_lupus_dingo
ENSCAFP00000004656	ENSCAFG00000003122	Canis_lupus_familiaris
ENSVVUP00000029099	ENSVVUG00000021270	Vulpes_vulpes
ENSPPRP00000026918	ENSPPRG00000018001	Panthera_pardus
ENSPTIP00000007714	ENSPTIG00000009284	Panthera_tigris_altaica
ENSFCAP00000057682	ENSFCAG00000026161	Felis_catus
ENSMPUP00000005333	ENSMPUG00000005372	Mustela_putorius_furo
ENSCANP00000028117	ENSCANG00000037457	Colobus_angolensis_palliatus
ENSPTEP00000017615	ENSPTEG00000019144	Piliocolobus_tephrosceles
ENSRBIP00000000444	ENSRBIG00000002383	Rhinopithecus_bieti
ENSRROP00000008022	ENSRROG00000028359	Rhinopithecus_roxellana
ENSMMUP00000029891	ENSMMUG00000022699	Macaca_mulatta
ENSMFAP00000012662	ENSMFAG00000025612	Macaca_fascicularis
ENSMNEP00000000483	ENSMNEG00000002324	Macaca_nemestrina
ENSCATP00000007406	ENSCATG00000022132	Cercocebus_atys
ENSTGEP00000023119	ENSTGEG00000018722	Theropithecus_gelada
ENSMLEP00000001269	ENSMLEG00000005111	Mandrillus_leucophaeus
ENSPANP00000045383	ENSPANG00000000645	Papio_anubis
ENSCSAP00000019104	ENSCSAG00000019605	Chlorocebus_sabaeus
ENSPTRP00000065099	ENSPTRG00000044307	Pan_troglodytes
ENSPTRP00000032555	ENSPTRG00000019050	Pan_troglodytes
ENSGGOP00000028440	ENSGGOG00000026908	Gorilla_gorilla
ENSP00000297142	ENSG00000164600	Homo_sapiens
ENSPPYP00000019801	ENSPPYG00000017666	Pongo_abelii
ENSNLEP00000018483	ENSNLEG00000015231	Nomascus_leucogenys
ENSCJAP00000016465	ENSCJAG00000008997	Callithrix_jacchus
ENSSBOP00000005639	ENSSBOG00000019702	Saimiri_boliviensis_boliviensis
ENSCCAP00000005522	ENSCCAG00000020510	Cebus_capucinus_imitator
ENSANAP00000002842	ENSANAG00000019255	Aotus_nancymaae
ENSTSYP00000015843	ENSTSYG00000028207	Carlito_syrichta
ENSMICP00000011813	ENSMICG00000012974	Microcebus_murinus
ENSPCOP00000027533	ENSPCOG00000026275	Propithecus_coquereli
ENSPSMP00000023485	ENSPSMG00000016606	Prolemur_simus
