ENSLAFP00000021422	ENSLAFG00000030837	Loxodonta_africana
ENSPCAP00000008128	ENSPCAG00000008733	Procavia_capensis
ENSETEP00000003973	ENSETEG00000004867	Echinops_telfairi
ENSDNOP00000034917	ENSDNOG00000010926	Dasypus_novemcinctus
ENSCHOP00000002084	ENSCHOG00000002355	Choloepus_hoffmanni
ENSCAFP00020004249	ENSCAFG00020003511	Canis_lupus_dingo
ENSCAFP00000048337	ENSCAFG00000013901	Canis_lupus_familiaris
ENSVVUP00000014374	ENSVVUG00000010522	Vulpes_vulpes
ENSUAMP00000014502	ENSUAMG00000011636	Ursus_americanus
ENSUMAP00000022639	ENSUMAG00000016552	Ursus_maritimus
ENSAMEP00000007480	ENSAMEG00000007098	Ailuropoda_melanoleuca
ENSMPUP00000017420	ENSMPUG00000017532	Mustela_putorius_furo
ENSNVIP00000010637	ENSNVIG00000008446	Neovison_vison
ENSPTIP00000024049	ENSPTIG00000020280	Panthera_tigris_altaica
ENSPPRP00000021349	ENSPPRG00000012182	Panthera_pardus
ENSFCAP00000008672	ENSFCAG00000009350	Felis_catus
ENSOARP00000002175	ENSOARG00000002072	Ovis_aries
ENSCHIP00000008849	ENSCHIG00000011898	Capra_hircus
ENSBIXP00005033019	ENSBIXG00005013681	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000009435	ENSBIXG00000006042	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBMUP00000007649	ENSBMUG00000006009	Bos_mutus
ENSBTAP00000019544	ENSBTAG00000014683	Bos_taurus
ENSBBBP00000007785	ENSBBBG00000003934	Bison_bison_bison
ENSTTRP00000013291	ENSTTRG00000014015	Tursiops_truncatus
ENSSSCP00000000709	ENSSSCG00000000668	Sus_scrofa_strain_reference
ENSVPAP00000001239	ENSVPAG00000001343	Vicugna_pacos
ENSPVAP00000010090	ENSPVAG00000010709	Pteropus_vampyrus
ENSECAP00000037510	ENSECAG00000017163	Equus_caballus
ENSEASP00005023436	ENSEASG00005015951	Equus_asinus_asinus
ENSMMUP00000077099	ENSMMUG00000051090	Macaca_mulatta
ENSMFAP00000045083	ENSMFAG00000000277	Macaca_fascicularis
ENSMNEP00000010525	ENSMNEG00000029670	Macaca_nemestrina
ENSMLEP00000024284	ENSMLEG00000036301	Mandrillus_leucophaeus
ENSCATP00000007163	ENSCATG00000021613	Cercocebus_atys
ENSTGEP00000007938	ENSTGEG00000006506	Theropithecus_gelada
ENSPANP00000004170	ENSPANG00000021027	Papio_anubis
ENSCSAP00000006063	ENSCSAG00000009817	Chlorocebus_sabaeus
ENSPTEP00000039102	ENSPTEG00000036245	Piliocolobus_tephrosceles
ENSCANP00000029479	ENSCANG00000038359	Colobus_angolensis_palliatus
ENSRBIP00000014131	ENSRBIG00000031161	Rhinopithecus_bieti
ENSRROP00000019101	ENSRROG00000033576	Rhinopithecus_roxellana
ENSPTRP00000007882	ENSPTRG00000004614	Pan_troglodytes
ENSPPAP00000008823	ENSPPAG00000027657	Pan_paniscus
ENSP00000229304	ENSG00000111701	Homo_sapiens
ENSPPYP00000004820	ENSPPYG00000004228	Pongo_abelii
ENSNLEP00000006471	ENSNLEG00000005342	Nomascus_leucogenys
ENSCCAP00000009013	ENSCCAG00000022258	Cebus_capucinus_imitator
ENSSBOP00000028393	ENSSBOG00000030587	Saimiri_boliviensis_boliviensis
ENSCJAP00000009868	ENSCJAG00000005398	Callithrix_jacchus
ENSANAP00000019931	ENSANAG00000027743	Aotus_nancymaae
ENSTSYP00000026327	ENSTSYG00000029141	Carlito_syrichta
ENSPSMP00000007054	ENSPSMG00000005257	Prolemur_simus
ENSPCOP00000005850	ENSPCOG00000013957	Propithecus_coquereli
ENSMICP00000050270	ENSMICG00000043645	Microcebus_murinus
ENSOGAP00000020110	ENSOGAG00000026415	Otolemur_garnettii
ENSTBEP00000008682	ENSTBEG00000010043	Tupaia_belangeri
MGP_SPRETEiJ_P0079074	MGP_SPRETEiJ_G0029857	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000108205	ENSMUSG00000040613	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000034717	ENSMSIG00000028960	Mus_spicilegus
MGP_PahariEiJ_P0052190	MGP_PahariEiJ_G0022580	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000020735	ENSRNOG00000015411	Rattus_norvegicus
ENSMUGP00000028201	ENSMUGG00000023380	Meriones_unguiculatus
ENSCGRP00000011866	ENSCGRG00000008644	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015018062	ENSCGRG00015013821	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001008956	ENSCGRG00001011130	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000025731	ENSMAUG00000022167	Mesocricetus_auratus
ENSPEMP00000028263	ENSPEMG00000023841	Peromyscus_maniculatus_bairdii
ENSMOCP00000017628	ENSMOCG00000016170	Microtus_ochrogaster
ENSNGAP00000024301	ENSNGAG00000022607	Nannospalax_galili
ENSJJAP00000021885	ENSJJAG00000022108	Jaculus_jaculus
ENSSDAP00000003102	ENSSDAG00000002952	Spermophilus_dauricus
ENSUPAP00010027973	ENSUPAG00010022090	Urocitellus_parryii
ENSMMMP00000015806	ENSMMMG00000014065	Marmota_marmota_marmota
ENSSTOP00000016053	ENSSTOG00000021971	Ictidomys_tridecemlineatus
ENSCCNP00000010083	ENSCCNG00000010585	Castor_canadensis
ENSOCUP00000021115	ENSOCUG00000025736	Oryctolagus_cuniculus
ENSEEUP00000006837	ENSEEUG00000007530	Erinaceus_europaeus
ENSEEUP00000008288	ENSEEUG00000009112	Erinaceus_europaeus
ENSSARP00000010805	ENSSARG00000011972	Sorex_araneus
ENSSARP00000000030	ENSSARG00000000032	Sorex_araneus
ENSCAPP00000015862	ENSCAPG00000015882	Cavia_aperea	ENSCAPT00000019647
ENSCPOP00000027134	ENSCPOG00000033068	Cavia_porcellus	ENSCPOT00000043129
ENSCLAP00000021384	ENSCLAG00000014645	Chinchilla_lanigera	ENSCLAT00000021587
ENSHGLP00100002827	ENSHGLG00100002187	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000001968	ENSHGLG00000001495	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000010810	ENSFDAG00000018470	Fukomys_damarensis
ENSODEP00000001474	ENSODEG00000001157	Octodon_degus
ENSDORP00000021895	ENSDORG00000023717	Dipodomys_ordii
ENSOPRP00000008688	ENSOPRG00000009508	Ochotona_princeps
ENSPCIP00000032289	ENSPCIG00000023973	Phascolarctos_cinereus
ENSVURP00010023113	ENSVURG00010017711	Vombatus_ursinus
ENSMEUP00000012226	ENSMEUG00000013406	Notamacropus_eugenii
ENSSHAP00000010336	ENSSHAG00000008925	Sarcophilus_harrisii
