ENSCMIP00000001017	ENSCMIG00000000685	Callorhinchus_milii	ENSCMIT00000001070
ENSCMIP00000001027	ENSCMIG00000000691	Callorhinchus_milii	ENSCMIT00000001080
ENSPKIP00000012920	ENSPKIG00000000453	Paramormyrops_kingsleyae
ENSSFOP00015011659	ENSSFOG00015007500	Scleropages_formosus
ENSSFOP00015031143	ENSSFOG00015019928	Scleropages_formosus
ENSAMXP00005030821	ENSAMXG00005015084	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000043276	ENSAMXG00000003358	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000021403	ENSPNAG00000028637	Pygocentrus_nattereri
ENSIPUP00000009364	ENSIPUG00000006415	Ictalurus_punctatus
ENSEEEP00000036081	ENSEEEG00000017163	Electrophorus_electricus
ENSDARP00000143597	ENSDARG00000062020	Danio_rerio
ENSCHAP00000038154	ENSCHAG00000017820	Clupea_harengus
ENSDCDP00000060168	ENSDCDG00000034546	Denticeps_clupeoides
ENSBSLP00000047112	ENSBSLG00000022436	Betta_splendens
ENSHCOP00000025393	ENSHCOG00000000871	Hippocampus_comes
ENSLBEP00000003668	ENSLBEG00000002802	Labrus_bergylta
ENSMAMP00000030528	ENSMAMG00000020574	Mastacembelus_armatus
ENSMALP00000003791	ENSMALG00000002744	Monopterus_albus
ENSATEP00000001157	ENSATEG00000000761	Anabas_testudineus
ENSSDUP00000027798	ENSSDUG00000020065	Seriola_dumerili
ENSSLDP00000025162	ENSSLDG00000019549	Seriola_lalandi_dorsalis
ENSLCAP00010007925	ENSLCAG00010003839	Lates_calcarifer
ENSSMAP00000002688	ENSSMAG00000001629	Scophthalmus_maximus
ENSGAFP00000002350	ENSGAFG00000001561	Gambusia_affinis
ENSXMAP00000031753	ENSXMAG00000024235	Xiphophorus_maculatus
ENSPLAP00000019699	ENSPLAG00000002056	Poecilia_latipinna
ENSPFOP00000017665	ENSPFOG00000017513	Poecilia_formosa
ENSPMEP00000004778	ENSPMEG00000006108	Poecilia_mexicana
ENSPREP00000019207	ENSPREG00000012934	Poecilia_reticulata
ENSCVAP00000017147	ENSCVAG00000020191	Cyprinodon_variegatus
ENSFHEP00000019156	ENSFHEG00000021165	Fundulus_heteroclitus
ENSKMAP00000013671	ENSKMAG00000010204	Kryptolebias_marmoratus
ENSORLP00020005314	ENSORLG00020006168	Oryzias_latipes_ASM223471v1
ENSORLP00000032964	ENSORLG00000009542	Oryzias_latipes_ASM223467v1
ENSORLP00015023851	ENSORLG00015004133	Oryzias_latipes_ASM223469v1
ENSOMEP00000023330	ENSOMEG00000003436	Oryzias_melastigma
ENSGWIP00000010738	ENSGWIG00000006306	Gouania_willdenowi
ENSAPEP00000011882	ENSAPEG00000008461	Amphiprion_percula
ENSAOCP00000012141	ENSAOCG00000016576	Amphiprion_ocellaris
ENSAPOP00000028372	ENSAPOG00000013631	Acanthochromis_polyacanthus
ENSSPAP00000017209	ENSSPAG00000012931	Stegastes_partitus
ENSACLP00000009812	ENSACLG00000006689	Astatotilapia_calliptera
ENSMZEP00005016461	ENSMZEG00005012345	Maylandia_zebra
ENSHBUP00000014334	ENSHBUG00000016230	Haplochromis_burtoni
ENSPNYP00000024768	ENSPNYG00000018655	Pundamilia_nyererei
ENSNBRP00000010116	ENSNBRG00000007827	Neolamprologus_brichardi
ENSONIP00000007061	ENSONIG00000005611	Oreochromis_niloticus
ENSACIP00000006657	ENSACIG00000005165	Amphilophus_citrinellus
ENSMMOP00000021117	ENSMMOG00000016063	Mola_mola
ENSGACP00000021076	ENSGACG00000015970	Gasterosteus_aculeatus
ENSLCRP00005002806	ENSLCRG00005001326	Larimichthys_crocea
ENSTRUP00000046725	ENSTRUG00000018255	Takifugu_rubripes
ENSTNIP00000012145	ENSTNIG00000009279	Tetraodon_nigroviridis
ENSPMGP00000000028	ENSPMGG00000000024	Periophthalmus_magnuspinnatus
ENSCSEP00000022961	ENSCSEG00000014621	Cynoglossus_semilaevis
ENSGMOP00000004330	ENSGMOG00000004047	Gadus_morhua
ENSHHUP00000060887	ENSHHUG00000036026	Hucho_hucho
ENSHHUP00000076696	ENSHHUG00000044858	Hucho_hucho
ENSHHUP00000004182	ENSHHUG00000002617	Hucho_hucho
ENSHHUP00000004193	ENSHHUG00000002622	Hucho_hucho
ENSHHUP00000013168	ENSHHUG00000008087	Hucho_hucho
ENSELUP00000009761	ENSELUG00000010341	Esox_lucius
ENSHHUP00000076706	ENSHHUG00000044869	Hucho_hucho
ENSLOCP00000001014	ENSLOCG00000000905	Lepisosteus_oculatus
ENSECRP00000025290	ENSECRG00000017097	Erpetoichthys_calabaricus
ENSPCIP00000004974	ENSPCIG00000004092	Phascolarctos_cinereus	ENSPCIT00000006225
ENSVURP00010027419	ENSVURG00010020983	Vombatus_ursinus	ENSVURT00010031225
ENSMEUP00000013417	ENSMEUG00000014682	Notamacropus_eugenii	ENSMEUT00000014741
ENSSHAP00000017581	ENSSHAG00000014934	Sarcophilus_harrisii	ENSSHAT00000017726
ENSMODP00000028280	ENSMODG00000004621	Monodelphis_domestica	ENSMODT00000029862
ENSCAFP00020005067	ENSCAFG00020004155	Canis_lupus_dingo
ENSCAFP00000049869	ENSCAFG00000019928	Canis_lupus_familiaris
ENSVVUP00000000443	ENSVVUG00000000307	Vulpes_vulpes
ENSUAMP00000010959	ENSUAMG00000008957	Ursus_americanus
ENSUMAP00000010213	ENSUMAG00000007674	Ursus_maritimus
ENSAMEP00000019325	ENSAMEG00000018284	Ailuropoda_melanoleuca
ENSNVIP00000009790	ENSNVIG00000007606	Neovison_vison
ENSMPUP00000008583	ENSMPUG00000008651	Mustela_putorius_furo
ENSFCAP00000045717	ENSFCAG00000007608	Felis_catus
ENSPPRP00000026598	ENSPPRG00000017749	Panthera_pardus
ENSSSCP00000072371	ENSSSCG00000002664	Sus_scrofa_strain_reference
ENSTTRP00000015174	ENSTTRG00000016008	Tursiops_truncatus	ENSTTRT00000016011
ENSBIXP00000031698	ENSBIXG00000014107	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005003597	ENSBIXG00005009803	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000066708	ENSBTAG00000009918	Bos_taurus
