ENSPMAP00000008184	ENSPMAG00000007432	Petromyzon_marinus	ENSPMAT00000008221
ENSEBUP00000014530	ENSEBUG00000009161	Eptatretus_burgeri	ENSEBUT00000015106
ENSPCIP00000032647	ENSPCIG00000024230	Phascolarctos_cinereus
ENSVURP00010032535	ENSVURG00010024823	Vombatus_ursinus
ENSMODP00000008662	ENSMODG00000006986	Monodelphis_domestica
ENSMSIP00000038455	ENSMSIG00000032045	Mus_spicilegus
ENSMUSP00000002418	ENSMUSG00000002345	Mus_musculus_strain_reference_(CL57BL6)
ENSRNOP00000062405	ENSRNOG00000020427	Rattus_norvegicus
ENSMUGP00000015377	ENSMUGG00000013238	Meriones_unguiculatus
ENSCGRP00001021272	ENSCGRG00001020163	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000007965	ENSCGRG00000005807	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000015266	ENSMAUG00000014785	Mesocricetus_auratus
ENSMOCP00000008934	ENSMOCG00000008996	Microtus_ochrogaster
ENSMOCP00000017584	ENSMOCG00000016141	Microtus_ochrogaster
ENSPEMP00000008837	ENSPEMG00000010340	Peromyscus_maniculatus_bairdii
ENSNGAP00000025823	ENSNGAG00000023653	Nannospalax_galili
ENSDORP00000026423	ENSDORG00000027906	Dipodomys_ordii
ENSSTOP00000017818	ENSSTOG00000025422	Ictidomys_tridecemlineatus
ENSUPAP00010022901	ENSUPAG00010018165	Urocitellus_parryii
ENSMMMP00000003292	ENSMMMG00000003015	Marmota_marmota_marmota
ENSSDAP00000012144	ENSSDAG00000010944	Spermophilus_dauricus
ENSOGAP00000021322	ENSOGAG00000028427	Otolemur_garnettii
ENSTSYP00000032326	ENSTSYG00000032960	Carlito_syrichta
ENSUMAP00000008429	ENSUMAG00000006425	Ursus_maritimus
ENSAMEP00000012296	ENSAMEG00000011698	Ailuropoda_melanoleuca
ENSMPUP00000015360	ENSMPUG00000015471	Mustela_putorius_furo
ENSNVIP00000026148	ENSNVIG00000020221	Neovison_vison
ENSCAFP00020015479	ENSCAFG00020012435	Canis_lupus_dingo
ENSCAFP00000064427	ENSCAFG00000024526	Canis_lupus_familiaris
ENSVVUP00000010360	ENSVVUG00000007667	Vulpes_vulpes
ENSPTIP00000012596	ENSPTIG00000012610	Panthera_tigris_altaica
ENSPPRP00000010419	ENSPPRG00000004580	Panthera_pardus
ENSFCAP00000045743	ENSFCAG00000047348	Felis_catus
ENSSSCP00000063612	ENSSSCG00000044084	Sus_scrofa_strain_reference
ENSBIXP00005031677	ENSBIXG00005012065	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000041555	ENSBIXG00000005253	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000056567	ENSBTAG00000025817	Bos_taurus
ENSBMUP00000019754	ENSBMUG00000014902	Bos_mutus
ENSBBBP00000007693	ENSBBBG00000015701	Bison_bison_bison
ENSCHIP00000027699	ENSCHIG00000023514	Capra_hircus
ENSOARP00000010017	ENSOARG00000009337	Ovis_aries
ENSBIXP00000030197	ENSBIXG00000012060	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000054133	ENSBTAG00000045551	Bos_taurus
ENSBBBP00000019762	ENSBBBG00000013221	Bison_bison_bison
ENSUAMP00000000009	ENSUAMG00000000004	Ursus_americanus
ENSMLUP00000018047	ENSMLUG00000025095	Myotis_lucifugus
ENSECAP00000005601	ENSECAG00000007592	Equus_caballus
