ENSTTRP00000005772	ENSTTRG00000006102	Tursiops_truncatus
ENSPVAP00000007762	ENSPVAG00000008216	Pteropus_vampyrus
ENSUAMP00000025292	ENSUAMG00000019715	Ursus_americanus
ENSTBEP00000014203	ENSTBEG00000016348	Tupaia_belangeri
ENSNLEP00000033099	ENSNLEG00000004694	Nomascus_leucogenys
ENSPPAP00000021161	ENSPPAG00000033807	Pan_paniscus
ENSPTRP00000087479	ENSPTRG00000001132	Pan_troglodytes
ENSGGOP00000048032	ENSGGOG00000014743	Gorilla_gorilla
ENSP00000477344	ENSG00000134207	Homo_sapiens
ENSPPYP00000001170	ENSPPYG00000001002	Pongo_abelii
ENSCATP00000035252	ENSCATG00000040499	Cercocebus_atys
ENSPANP00000027777	ENSPANG00000005601	Papio_anubis
ENSMMUP00000056379	ENSMMUG00000009781	Macaca_mulatta
ENSMFAP00000040983	ENSMFAG00000041208	Macaca_fascicularis
ENSMNEP00000021937	ENSMNEG00000034665	Macaca_nemestrina
ENSMLEP00000017213	ENSMLEG00000032781	Mandrillus_leucophaeus
ENSTSYP00000020413	ENSTSYG00000011887	Carlito_syrichta
ENSOGAP00000012469	ENSOGAG00000013925	Otolemur_garnettii
ENSPCOP00000004398	ENSPCOG00000012717	Propithecus_coquereli
ENSMICP00000043708	ENSMICG00000001415	Microcebus_murinus
ENSCCAP00000040272	ENSCCAG00000037943	Cebus_capucinus_imitator
ENSSBOP00000038814	ENSSBOG00000035461	Saimiri_boliviensis_boliviensis
ENSCJAP00000051027	ENSCJAG00000012333	Callithrix_jacchus
ENSANAP00000016563	ENSANAG00000026153	Aotus_nancymaae
ENSCANP00000010842	ENSCANG00000028804	Colobus_angolensis_palliatus
ENSPTEP00000032792	ENSPTEG00000031441	Piliocolobus_tephrosceles
ENSRBIP00000019228	ENSRBIG00000033598	Rhinopithecus_bieti
ENSRROP00000011558	ENSRROG00000030113	Rhinopithecus_roxellana
ENSTGEP00000006871	ENSTGEG00000005605	Theropithecus_gelada
ENSBIXP00000039930	ENSBIXG00000023948	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005014859	ENSBIXG00005018833	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000025132	ENSBTAG00000018881	Bos_taurus
ENSBMUP00000004006	ENSBMUG00000003156	Bos_mutus
ENSBBBP00000002063	ENSBBBG00000011215	Bison_bison_bison
ENSPSMP00000019472	ENSPSMG00000013735	Prolemur_simus
ENSOARP00000021411	ENSOARG00000019944	Ovis_aries
ENSCHIP00000005506	ENSCHIG00000009583	Capra_hircus
ENSSSCP00000040684	ENSSSCG00000006758	Sus_scrofa_strain_reference
ENSUPAP00010028256	ENSUPAG00010022321	Urocitellus_parryii
ENSSTOP00000023436	ENSSTOG00000021937	Ictidomys_tridecemlineatus
ENSSDAP00000001310	ENSSDAG00000001257	Spermophilus_dauricus
ENSMMMP00000015047	ENSMMMG00000013385	Marmota_marmota_marmota
ENSJJAP00000019331	ENSJJAG00000020309	Jaculus_jaculus
ENSCCNP00000024173	ENSCCNG00000023692	Castor_canadensis
ENSMLUP00000009045	ENSMLUG00000009931	Myotis_lucifugus
ENSEEUP00000012078	ENSEEUG00000013252	Erinaceus_europaeus
MGP_SPRETEiJ_P0062006	MGP_SPRETEiJ_G0026400	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000088196	ENSMUSG00000027849	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0059620	MGP_CAROLIEiJ_G0025450	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0070582	MGP_PahariEiJ_G0026894	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000025953	ENSRNOG00000019163	Rattus_norvegicus
ENSMUGP00000017846	ENSMUGG00000015139	Meriones_unguiculatus
ENSPEMP00000013625	ENSPEMG00000013637	Peromyscus_maniculatus_bairdii
ENSMOCP00000018839	ENSMOCG00000017004	Microtus_ochrogaster
ENSCGRP00001023660	ENSCGRG00001021814	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000001524	ENSCGRG00000001160	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015035435	ENSCGRG00015026602	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000019154	ENSMAUG00000017513	Mesocricetus_auratus
ENSNGAP00000022477	ENSNGAG00000021329	Nannospalax_galili
ENSCLAP00000017331	ENSCLAG00000011901	Chinchilla_lanigera
ENSODEP00000009748	ENSODEG00000007291	Octodon_degus
ENSCPOP00000026810	ENSCPOG00000011032	Cavia_porcellus
ENSCAPP00000004805	ENSCAPG00000007263	Cavia_aperea
ENSHGLP00100024126	ENSHGLG00100017721	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000018378	ENSHGLG00000013174	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000022806	ENSFDAG00000021108	Fukomys_damarensis
ENSETEP00000010554	ENSETEG00000013008	Echinops_telfairi
ENSCSAP00000016378	ENSCSAG00000001648	Chlorocebus_sabaeus
ENSSARP00000006978	ENSSARG00000007715	Sorex_araneus
ENSMSIP00000013543	ENSMSIG00000011663	Mus_spicilegus
ENSMPUP00000005369	ENSMPUG00000005408	Mustela_putorius_furo
ENSNVIP00000006270	ENSNVIG00000004978	Neovison_vison
ENSCAFP00000053284	ENSCAFG00000009348	Canis_lupus_familiaris
ENSCAFP00020000924	ENSCAFG00020000821	Canis_lupus_dingo
ENSVVUP00000010317	ENSVVUG00000007613	Vulpes_vulpes
ENSUMAP00000017440	ENSUMAG00000012787	Ursus_maritimus
ENSAMEP00000000746	ENSAMEG00000000702	Ailuropoda_melanoleuca
ENSPPRP00000024125	ENSPPRG00000014396	Panthera_pardus
ENSPTIP00000013117	ENSPTIG00000012950	Panthera_tigris_altaica
ENSFCAP00000006258	ENSFCAG00000006734	Felis_catus
ENSOCUP00000020991	ENSOCUG00000003523	Oryctolagus_cuniculus
ENSOPRP00000006702	ENSOPRG00000007315	Ochotona_princeps
ENSDORP00000011363	ENSDORG00000012083	Dipodomys_ordii
ENSCHOP00000011754	ENSCHOG00000013261	Choloepus_hoffmanni
ENSDNOP00000028212	ENSDNOG00000048919	Dasypus_novemcinctus
ENSLAFP00000026620	ENSLAFG00000013416	Loxodonta_africana
ENSPCAP00000010210	ENSPCAG00000010980	Procavia_capensis
ENSOANP00000030476	ENSOANG00000029308	Ornithorhynchus_anatinus
ENSSHAP00000016906	ENSSHAG00000014380	Sarcophilus_harrisii
ENSUAMP00000027319	ENSUAMG00000021161	Ursus_americanus
ENSECAP00000033772	ENSECAG00000010444	Equus_caballus
ENSEASP00005007643	ENSEASG00005005575	Equus_asinus_asinus
ENSPCIP00000017568	ENSPCIG00000013436	Phascolarctos_cinereus
ENSVURP00010009594	ENSVURG00010007358	Vombatus_ursinus
