ENSRNOP00000068120	ENSRNOG00000033527	Rattus_norvegicus
ENSIPUP00000029605	ENSIPUG00000019768	Ictalurus_punctatus
ENSPMAP00000008002	ENSPMAG00000007272	Petromyzon_marinus
ENSCGRP00001027959	ENSCGRG00001024813	Cricetulus_griseus_CHOK1GS_HDv1
ENSMFAP00000035457	ENSMFAG00000041618	Macaca_fascicularis
ENSETEP00000003073	ENSETEG00000003742	Echinops_telfairi
ENSACAP00000022296	ENSACAG00000028747	Anolis_carolinensis
ENSLCOP00000020542	ENSLCOG00000014541	Lepidothrix_coronata
ENSAHAP00000023122	ENSAHAG00000016168	Apteryx_haastii
ENSSARP00000006873	ENSSARG00000007542	Sorex_araneus
ENSXMAP00000005758	ENSXMAG00000005728	Xiphophorus_maculatus
ENSTBEP00000013938	ENSTBEG00000016013	Tupaia_belangeri
ENSPSMP00000032967	ENSPSMG00000022769	Prolemur_simus
ENSLCAP00010017506	ENSLCAG00010008312	Lates_calcarifer
ENSCABP00000023151	ENSCABG00000017044	Chelonoidis_abingdonii
ENSBSLP00000041335	ENSBSLG00000019800	Betta_splendens
ENSMLEP00000009552	ENSMLEG00000028942	Mandrillus_leucophaeus
ENSBTAP00000066366	ENSBTAG00000004010	Bos_taurus
ENSMMUP00000017206	ENSMMUG00000013099	Macaca_mulatta
ENSDORP00000004406	ENSDORG00000004708	Dipodomys_ordii
ENSJJAP00000004127	ENSJJAG00000008214	Jaculus_jaculus
ENSMUGP00000026547	ENSMUGG00000022103	Meriones_unguiculatus
ENSELUP00000035815	ENSELUG00000014958	Esox_lucius
ENSFDAP00000019385	ENSFDAG00000009176	Fukomys_damarensis
ENSRROP00000019059	ENSRROG00000033556	Rhinopithecus_roxellana
ENSGAFP00000016739	ENSGAFG00000011262	Gambusia_affinis
ENSOCUP00000001261	ENSOCUG00000001465	Oryctolagus_cuniculus
ENSHHUP00000065547	ENSHHUG00000038688	Hucho_hucho
ENSTTRP00000002255	ENSTTRG00000002405	Tursiops_truncatus
ENSPPYP00000021900	ENSPPYG00000019541	Pongo_abelii
ENSPANP00000018943	ENSPANG00000025803	Papio_anubis
ENSCJAP00000037944	ENSCJAG00000020401	Callithrix_jacchus
ENSEASP00005033068	ENSEASG00005022619	Equus_asinus_asinus
ENSUMAP00000005610	ENSUMAG00000004386	Ursus_maritimus
ENSONIP00000018886	ENSONIG00000015000	Oreochromis_niloticus
ENSGALP00000011455	ENSGALG00000007079	Gallus_gallus
ENSUPAP00010020603	ENSUPAG00010016284	Urocitellus_parryii
ENSMPUP00000001679	ENSMPUG00000001696	Mustela_putorius_furo
ENSPPAP00000017096	ENSPPAG00000031632	Pan_paniscus
ENSMGAP00000002823	ENSMGAG00000003116	Meleagris_gallopavo
ENSAOCP00000010502	ENSAOCG00000014767	Amphiprion_ocellaris
ENSPNYP00000012068	ENSPNYG00000009132	Pundamilia_nyererei
MGP_SPRETEiJ_P0065155	MGP_SPRETEiJ_G0027066	Mus_spretus_strain_SPRET/EiJ
ENSPNAP00000017417	ENSPNAG00000023677	Pygocentrus_nattereri
ENSOGAP00000003684	ENSOGAG00000004127	Otolemur_garnettii
ENSCATP00000012334	ENSCATG00000030317	Cercocebus_atys
ENSSFOP00015018979	ENSSFOG00015012182	Scleropages_formosus
ENSCCNP00000029790	ENSCCNG00000028566	Castor_canadensis
ENSVURP00010019672	ENSVURG00010014974	Vombatus_ursinus	ENSVURT00010022389
ENSNBRP00000009639	ENSNBRG00000007479	Neolamprologus_brichardi
ENSAMXP00000049624	ENSAMXG00000007692	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSEEEP00000033287	ENSEEEG00000015819	Electrophorus_electricus
ENSACIP00000025833	ENSACIG00000019993	Amphilophus_citrinellus
ENSGWIP00000002897	ENSGWIG00000001594	Gouania_willdenowi
ENSPNAP00000018420	ENSPNAG00000024866	Pygocentrus_nattereri
ENSHGLP00100006456	ENSHGLG00100004841	Heterocephalus_glaber_HetGla_1.0
ENSSLDP00000010622	ENSSLDG00000008407	Seriola_lalandi_dorsalis
ENSECRP00000030080	ENSECRG00000020419	Erpetoichthys_calabaricus
ENSMODP00000024457	ENSMODG00000019600	Monodelphis_domestica	ENSMODT00000024892
ENSSPUP00000018329	ENSSPUG00000014136	Sphenodon_punctatus
ENSCANP00000030093	ENSCANG00000038698	Colobus_angolensis_palliatus
ENSBBBP00000001561	ENSBBBG00000010656	Bison_bison_bison
ENSANAP00000015823	ENSANAG00000025787	Aotus_nancymaae
ENSPMAP00000001658	ENSPMAG00000001508	Petromyzon_marinus
ENSTGUP00000003385	ENSTGUG00000003260	Taeniopygia_guttata
ENSARWP00000027498	ENSARWG00000018584	Apteryx_rowi
ENSRBIP00000004174	ENSRBIG00000019378	Rhinopithecus_bieti
ENSMUSP00000081545	ENSMUSG00000028370	Mus_musculus_strain_reference_(CL57BL6)
ENSCJPP00005025247	ENSCJPG00005019832	Coturnix_japonica
ENSAOWP00000015803	ENSAOWG00000010746	Apteryx_owenii
ENSBIXP00005029557	ENSBIXG00005009532	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSORLP00020019376	ENSORLG00020020386	Oryzias_latipes_ASM223471v1
ENSCPBP00000008098	ENSCPBG00000006358	Chrysemys_picta_bellii
ENSOANP00000003325	ENSOANG00000002094	Ornithorhynchus_anatinus
ENSMNEP00000001756	ENSMNEG00000007870	Macaca_nemestrina
ENSPCIP00000011135	ENSPCIG00000008980	Phascolarctos_cinereus	ENSPCIT00000013896
ENSCAFP00020007658	ENSCAFG00020006122	Canis_lupus_dingo
ENSFHEP00000003529	ENSFHEG00000004457	Fundulus_heteroclitus
ENSGACP00000021932	ENSGACG00000016615	Gasterosteus_aculeatus
ENSSDAP00000009436	ENSSDAG00000008511	Spermophilus_dauricus
ENSMMMP00000000401	ENSMMMG00000000360	Marmota_marmota_marmota
ENSVURP00010004624	ENSVURG00010003627	Vombatus_ursinus	ENSVURT00010005254
ENSACLP00000015397	ENSACLG00000010446	Astatotilapia_calliptera
ENSPKIP00000020886	ENSPKIG00000005462	Paramormyrops_kingsleyae
ENSPVIP00000023755	ENSPVIG00000017942	Pogona_vitticeps
ENSELUP00000034391	ENSELUG00000012981	Esox_lucius
ENSCCEP00000027616	ENSCCEG00000024096	Cyanistes_caeruleus
ENSGMOP00000002379	ENSGMOG00000002191	Gadus_morhua
ENSLSDP00000022495	ENSLSDG00000015899	Lonchura_striata_domestica
ENSODEP00000024494	ENSODEG00000017928	Octodon_degus	ENSODET00000024770
ENSNVIP00000011589	ENSNVIG00000009166	Neovison_vison
ENSDARP00000078119	ENSDARG00000059858	Danio_rerio
ENSMVIP00005006121	ENSMVIG00005004654	Manacus_vitellinus
ENSACAP00000020987	ENSACAG00000024837	Anolis_carolinensis
ENSZALP00000009767	ENSZALG00000008336	Zonotrichia_albicollis
ENSP00000330658	ENSG00000182752	Homo_sapiens
ENSOMEP00000003890	ENSOMEG00000004852	Oryzias_melastigma
ENSCPGP00000004922	ENSCPGG00000003481	Calidris_pygmaea
ENSCGRP00015017171	ENSCGRG00015013224	Cricetulus_griseus_CriGri-PICR
ENSSCAP00000008829	ENSSCAG00000006717	Serinus_canaria
ENSHHUP00000024929	ENSHHUG00000015685	Hucho_hucho
ENSSMRP00000013247	ENSSMRG00000010260	Salvator_merianae
ENSPEMP00000002299	ENSPEMG00000002320	Peromyscus_maniculatus_bairdii
ENSDNVP00000027518	ENSDNVG00000019120	Dromaius_novaehollandiae
ENSMOCP00000006209	ENSMOCG00000005782	Microtus_ochrogaster
ENSAMXP00005021557	ENSAMXG00005010693	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSCCAP00000013378	ENSCCAG00000024501	Cebus_capucinus_imitator
ENSAPLP00000023916	ENSAPLG00000014198	Anas_platyrhynchos_platyrhynchos
ENSBIXP00000018916	ENSBIXG00000002784	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSMAMP00000020448	ENSMAMG00000013720	Mastacembelus_armatus
ENSHHUP00000069552	ENSHHUG00000040979	Hucho_hucho
ENSSTOP00000028602	ENSSTOG00000001569	Ictidomys_tridecemlineatus
