ENSPTRP00000041381	ENSPTRG00000000590	Pan_troglodytes	ENSPTRT00000044635
ENSPPAP00000036250	ENSPPAG00000040903	Pan_paniscus	ENSPPAT00000059142
ENSGGOP00000051254	ENSGGOG00000039613	Gorilla_gorilla	ENSGGOT00000056942
ENSP00000354547	ENSG00000187801	Homo_sapiens
ENSPPYP00000001721	ENSPPYG00000001489	Pongo_abelii
ENSNLEP00000043310	ENSNLEG00000034783	Nomascus_leucogenys
ENSMFAP00000024334	ENSMFAG00000043765	Macaca_fascicularis
ENSMMUP00000040392	ENSMMUG00000005836	Macaca_mulatta
ENSMNEP00000003695	ENSMNEG00000017249	Macaca_nemestrina
ENSMLEP00000003318	ENSMLEG00000014259	Mandrillus_leucophaeus
ENSTGEP00000029999	ENSTGEG00000024086	Theropithecus_gelada
ENSPANP00000006174	ENSPANG00000005886	Papio_anubis
ENSCATP00000017115	ENSCATG00000032477	Cercocebus_atys
ENSCSAP00000016866	ENSCSAG00000001148	Chlorocebus_sabaeus
ENSRROP00000022408	ENSRROG00000035064	Rhinopithecus_roxellana
ENSRBIP00000019022	ENSRBIG00000033501	Rhinopithecus_bieti
ENSPTEP00000030762	ENSPTEG00000029900	Piliocolobus_tephrosceles
ENSCANP00000014036	ENSCANG00000030458	Colobus_angolensis_palliatus
ENSCCAP00000031187	ENSCCAG00000033657	Cebus_capucinus_imitator
ENSSBOP00000026370	ENSSBOG00000029619	Saimiri_boliviensis_boliviensis
ENSCJAP00000005334	ENSCJAG00000002952	Callithrix_jacchus
ENSANAP00000030541	ENSANAG00000033029	Aotus_nancymaae
ENSTSYP00000009764	ENSTSYG00000010669	Carlito_syrichta
ENSPCOP00000012061	ENSPCOG00000017570	Propithecus_coquereli
ENSPSMP00000017918	ENSPSMG00000012729	Prolemur_simus
ENSMICP00000049800	ENSMICG00000042001	Microcebus_murinus
ENSOGAP00000008170	ENSOGAG00000009114	Otolemur_garnettii
ENSMMMP00000002761	ENSMMMG00000002528	Marmota_marmota_marmota
ENSUPAP00010017056	ENSUPAG00010013604	Urocitellus_parryii
ENSSTOP00000017948	ENSSTOG00000009229	Ictidomys_tridecemlineatus
ENSNVIP00000019696	ENSNVIG00000015457	Neovison_vison
ENSMPUP00000014030	ENSMPUG00000014137	Mustela_putorius_furo
ENSUAMP00000036275	ENSUAMG00000027492	Ursus_americanus
ENSUMAP00000023630	ENSUMAG00000017193	Ursus_maritimus
ENSCAFP00020004116	ENSCAFG00020003410	Canis_lupus_dingo
ENSVVUP00000006589	ENSVVUG00000005101	Vulpes_vulpes
ENSPPRP00000000764	ENSPPRG00000024607	Panthera_pardus
ENSPTIP00000022302	ENSPTIG00000019160	Panthera_tigris_altaica
ENSFCAP00000038933	ENSFCAG00000034968	Felis_catus
ENSPVAP00000009477	ENSPVAG00000010053	Pteropus_vampyrus
ENSECAP00000020554	ENSECAG00000023120	Equus_caballus
ENSEASP00005001224	ENSEASG00005001020	Equus_asinus_asinus
ENSTTRP00000012280	ENSTTRG00000012945	Tursiops_truncatus
ENSVPAP00000002799	ENSVPAG00000003027	Vicugna_pacos
ENSSSCP00000004303	ENSSSCG00000003981	Sus_scrofa_strain_reference
ENSEEUP00000007218	ENSEEUG00000007942	Erinaceus_europaeus
ENSLAFP00000009216	ENSLAFG00000011022	Loxodonta_africana
ENSPCAP00000014230	ENSPCAG00000015262	Procavia_capensis
ENSDNOP00000013530	ENSDNOG00000017460	Dasypus_novemcinctus
