ENSSSCP00000037777	ENSSSCG00000006024	Sus_scrofa_strain_reference
ENSSFOP00015015355	ENSSFOG00015009882	Scleropages_formosus	ENSSFOT00015015537
ENSHGLP00000015280	ENSHGLG00000010916	Heterocephalus_glaber_HetGla_female_1.0
ENSCJPP00005005369	ENSCJPG00005005155	Coturnix_japonica
ENSTTRP00000001648	ENSTTRG00000001745	Tursiops_truncatus
ENSTGUP00000012625	ENSTGUG00000012252	Taeniopygia_guttata
ENSMAMP00000002746	ENSMAMG00000001905	Mastacembelus_armatus
ENSRBIP00000027083	ENSRBIG00000037397	Rhinopithecus_bieti
ENSAOWP00000007963	ENSAOWG00000005453	Apteryx_owenii
ENSTGEP00000007323	ENSTGEG00000006002	Theropithecus_gelada
ENSSDAP00000013830	ENSSDAG00000012479	Spermophilus_dauricus
ENSCGRP00000010358	ENSCGRG00000007594	Cricetulus_griseus_CriGri_1.0
ENSOANP00000000251	ENSOANG00000000131	Ornithorhynchus_anatinus
ENSNLEP00000037657	ENSNLEG00000030785	Nomascus_leucogenys
ENSAMEP00000006536	ENSAMEG00000006190	Ailuropoda_melanoleuca
ENSPMEP00000013472	ENSPMEG00000015798	Poecilia_mexicana
ENSMVIP00005020047	ENSMVIG00005014186	Manacus_vitellinus
FBpp0074455	FBgn0052536	Drosophila_melanogaster	FBtr0074686
ENSLAFP00000006585	ENSLAFG00000007842	Loxodonta_africana
ENSOGAP00000005862	ENSOGAG00000006554	Otolemur_garnettii
ENSAPEP00000028332	ENSAPEG00000020106	Amphiprion_percula
ENSECRP00000027381	ENSECRG00000018541	Erpetoichthys_calabaricus
ENSHHUP00000069889	ENSHHUG00000041136	Hucho_hucho
ENSRROP00000005379	ENSRROG00000022179	Rhinopithecus_roxellana
ENSOMEP00000035585	ENSOMEG00000022928	Oryzias_melastigma
ENSMUSP00000154361	ENSMUSG00000022339	Mus_musculus_strain_reference_(CL57BL6)
ENSHBUP00000030144	ENSHBUG00000014996	Haplochromis_burtoni
ENSMAUP00000000262	ENSMAUG00000000245	Mesocricetus_auratus
ENSECAP00000007630	ENSECAG00000009719	Equus_caballus
ENSPEMP00000005702	ENSPEMG00000008118	Peromyscus_maniculatus_bairdii
ENSGALP00000064766	ENSGALG00000036293	Gallus_gallus
ENSCSAP00000007510	ENSCSAG00000011304	Chlorocebus_sabaeus
ENSZALP00000017509	ENSZALG00000014141	Zonotrichia_albicollis
ENSACAP00000002407	ENSACAG00000002489	Anolis_carolinensis
ENSCGOP00000027771	ENSCGOG00000013067	Cottoperca_gobio
ENSCHIP00000010146	ENSCHIG00000012764	Capra_hircus
ENSCAPP00000004489	ENSCAPG00000007016	Cavia_aperea
ENSAHAP00000007293	ENSAHAG00000005479	Apteryx_haastii
ENSPKIP00000032858	ENSPKIG00000012789	Paramormyrops_kingsleyae	ENSPKIT00000013735
ENSSMAP00000013556	ENSSMAG00000008328	Scophthalmus_maximus
MGP_PahariEiJ_P0041541	MGP_PahariEiJ_G0019784	Mus_pahari_strain_PAHARI_EIJ
ENSVURP00010022931	ENSVURG00010017571	Vombatus_ursinus
ENSVVUP00000019147	ENSVVUG00000014121	Vulpes_vulpes
ENSSLDP00000014477	ENSSLDG00000011573	Seriola_lalandi_dorsalis
ENSFDAP00000008002	ENSFDAG00000016373	Fukomys_damarensis
ENSORLP00015032440	ENSORLG00015017284	Oryzias_latipes_ASM223469v1
ENSMFAP00000009572	ENSMFAG00000000766	Macaca_fascicularis
ENSHCOP00000022789	ENSHCOG00000010791	Hippocampus_comes
ENSXCOP00000022658	ENSXCOG00000016931	Xiphophorus_couchianus
ENSMSIP00000014677	ENSMSIG00000012621	Mus_spicilegus
ENSOPRP00000013914	ENSOPRG00000015239	Ochotona_princeps
ENSCPBP00000001259	ENSCPBG00000001026	Chrysemys_picta_bellii
ENSFHEP00000026354	ENSFHEG00000009149	Fundulus_heteroclitus
ENSCVAP00000005803	ENSCVAG00000007247	Cyprinodon_variegatus
ENSCCAP00000030714	ENSCCAG00000033392	Cebus_capucinus_imitator
ENSFALP00000006398	ENSFALG00000006127	Ficedula_albicollis
ENSSPUP00000016115	ENSSPUG00000012465	Sphenodon_punctatus
ENSCAFP00020004519	ENSCAFG00020003724	Canis_lupus_dingo
ENSEEEP00000052453	ENSEEEG00000024567	Electrophorus_electricus
ENSBIXP00005010846	ENSBIXG00005015432	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSPMJP00000014383	ENSPMJG00000010904	Parus_major
ENSUPAP00010017668	ENSUPAG00010014065	Urocitellus_parryii
ENSMMUP00000031991	ENSMMUG00000016186	Macaca_mulatta
ENSEASP00005033905	ENSEASG00005023183	Equus_asinus_asinus
ENSPSMP00000017817	ENSPSMG00000012664	Prolemur_simus
ENSSHAP00000008043	ENSSHAG00000006977	Sarcophilus_harrisii
ENSANAP00000030326	ENSANAG00000032871	Aotus_nancymaae
ENSSFOP00015018351	ENSSFOG00015011777	Scleropages_formosus	ENSSFOT00015018563
ENSGMOP00000006870	ENSGMOG00000006458	Gadus_morhua
ENSCANP00000027916	ENSCANG00000037327	Colobus_angolensis_palliatus
ENSCHIP00000008673	ENSCHIG00000011788	Capra_hircus
ENSMOCP00000008655	ENSMOCG00000008680	Microtus_ochrogaster
ENSCGRP00015026217	ENSCGRG00015019884	Cricetulus_griseus_CriGri-PICR
ENSBSLP00000037865	ENSBSLG00000018468	Betta_splendens
ENSDNOP00000026018	ENSDNOG00000034267	Dasypus_novemcinctus
ENSPFOP00000019379	ENSPFOG00000019260	Poecilia_formosa
ENSGAGP00000017502	ENSGAGG00000013002	Gopherus_agassizii
ENSMODP00000005906	ENSMODG00000004795	Monodelphis_domestica
ENSNVIP00000002957	ENSNVIG00000002352	Neovison_vison
ENSMALP00000006403	ENSMALG00000004569	Monopterus_albus
ENSHGLP00100005425	ENSHGLG00100004116	Heterocephalus_glaber_HetGla_1.0
ENSGGOP00000016019	ENSGGOG00000016420	Gorilla_gorilla
ENSPREP00000022525	ENSPREG00000015208	Poecilia_reticulata
ENSPPRP00000007195	ENSPPRG00000002404	Panthera_pardus
ENSCMIP00000023054	ENSCMIG00000010348	Callorhinchus_milii
MGP_CAROLIEiJ_P0038160	MGP_CAROLIEiJ_G0019775	Mus_caroli_strain_CAROLI_EIJ
ENSCATP00000000748	ENSCATG00000003294	Cercocebus_atys
ENSELUP00000021894	ENSELUG00000020920	Esox_lucius
ENSHGLP00000019135	ENSHGLG00000013727	Heterocephalus_glaber_HetGla_female_1.0
ENSMICP00000011853	ENSMICG00000013014	Microcebus_murinus
ENSPTRP00000081546	ENSPTRG00000020513	Pan_troglodytes
ENSACIP00000002638	ENSACIG00000002137	Amphilophus_citrinellus
ENSLCAP00010034128	ENSLCAG00010016033	Lates_calcarifer
ENSLACP00000004916	ENSLACG00000004371	Latimeria_chalumnae
ENSSTOP00000013733	ENSSTOG00000015326	Ictidomys_tridecemlineatus
ENSMODP00000005904	ENSMODG00000024007	Monodelphis_domestica
ENSNSUP00000016679	ENSNSUG00000012304	Notechis_scutatus
ENSMUGP00000030472	ENSMUGG00000025314	Meriones_unguiculatus
ENSTNIP00000009678	ENSTNIG00000006881	Tetraodon_nigroviridis
ENSAMXP00000037277	ENSAMXG00000038829	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSMSIP00000004226	ENSMSIG00000003868	Mus_spicilegus
ENSNMEP00000004366	ENSNMEG00000004785	Numida_meleagris
ENSPPRP00000019994	ENSPPRG00000011189	Panthera_pardus
ENSCJAP00000011549	ENSCJAG00000006248	Callithrix_jacchus
ENSPANP00000031399	ENSPANG00000015083	Papio_anubis
ENSDNOP00000034072	ENSDNOG00000039596	Dasypus_novemcinctus
ENSBTAP00000047911	ENSBTAG00000037571	Bos_taurus
ENSDARP00000058545	ENSDARG00000040021	Danio_rerio
ENSLSDP00000005775	ENSLSDG00000004467	Lonchura_striata_domestica
ENSPVAP00000007507	ENSPVAG00000007954	Pteropus_vampyrus
ENSSARP00000013043	ENSSARG00000014420	Sorex_araneus
ENSDCDP00000048777	ENSDCDG00000030099	Denticeps_clupeoides	ENSDCDT00000060359
ENSCHAP00000042242	ENSCHAG00000019705	Clupea_harengus	ENSCHAT00000045689
ENSCCEP00000002389	ENSCCEG00000002669	Cyanistes_caeruleus
ENSMMMP00000019369	ENSMMMG00000017111	Marmota_marmota_marmota
ENSMMOP00000023328	ENSMMOG00000017748	Mola_mola
ENSBBBP00000005393	ENSBBBG00000014126	Bison_bison_bison
ENSJHYP00000010599	ENSJHYG00000008325	Junco_hyemalis
ENSEEUP00000012896	ENSEEUG00000014126	Erinaceus_europaeus
ENSBMUP00000001311	ENSBMUG00000001077	Bos_mutus
ENSCPGP00000026542	ENSCPGG00000018291	Calidris_pygmaea
ENSFCAP00000055211	ENSFCAG00000025490	Felis_catus
ENSONIP00000000067	ENSONIG00000000056	Oreochromis_niloticus
ENSMUNP00000005878	ENSMUNG00000004774	Melopsittacus_undulatus
ENSNBRP00000010565	ENSNBRG00000008229	Neolamprologus_brichardi
ENSEBUP00000026340	ENSEBUG00000016228	Eptatretus_burgeri
ENSCAFP00000001047	ENSCAFG00000000738	Canis_lupus_familiaris
ENSMLEP00000035631	ENSMLEG00000041936	Mandrillus_leucophaeus
ENSSPAP00000025964	ENSSPAG00000019591	Stegastes_partitus
ENSMPUP00000005662	ENSMPUG00000005709	Mustela_putorius_furo
ENSDORP00000009568	ENSDORG00000010177	Dipodomys_ordii
ENSPSIP00000007377	ENSPSIG00000006754	Pelodiscus_sinensis
ENSSBOP00000019543	ENSSBOG00000026346	Saimiri_boliviensis_boliviensis
ENSMGAP00000017452	ENSMGAG00000012427	Meleagris_gallopavo
ENSDNVP00000006716	ENSDNVG00000004820	Dromaius_novaehollandiae
ENSIPUP00000026576	ENSIPUG00000017971	Ictalurus_punctatus
ENSAMXP00005031061	ENSAMXG00005015254	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSARWP00000005734	ENSARWG00000004087	Apteryx_rowi
ENSXETP00000012921	ENSXETG00000013751	Xenopus_tropicalis
ENSHGLP00100021020	ENSHGLG00100015488	Heterocephalus_glaber_HetGla_1.0
ENSMZEP00005015382	ENSMZEG00005011552	Maylandia_zebra
ENSOCUP00000004081	ENSOCUG00000004726	Oryctolagus_cuniculus
ENSMEUP00000012868	ENSMEUG00000014115	Notamacropus_eugenii
ENSKMAP00000004195	ENSKMAG00000003192	Kryptolebias_marmoratus
ENSHGLP00000005984	ENSHGLG00000004376	Heterocephalus_glaber_HetGla_female_1.0
ENSLCOP00000011518	ENSLCOG00000008370	Lepidothrix_coronata
ENSHHUP00000091199	ENSHHUG00000052626	Hucho_hucho
