ENSACIP00000022275	ENSACIG00000017321	Amphilophus_citrinellus	ENSACIT00000022866
ENSPNYP00000016535	ENSPNYG00000012521	Pundamilia_nyererei	ENSPNYT00000016945
ENSXMAP00000033010	ENSXMAG00000027689	Xiphophorus_maculatus	ENSXMAT00000026922
ENSXCOP00000025444	ENSXCOG00000019007	Xiphophorus_couchianus	ENSXCOT00000025751
ENSPLAP00000006158	ENSPLAG00000008243	Poecilia_latipinna	ENSPLAT00000006725
ENSSMAP00000029742	ENSSMAG00000018233	Scophthalmus_maximus	ENSSMAT00000030110
ENSMAMP00000021553	ENSMAMG00000014477	Mastacembelus_armatus	ENSMAMT00000022099
ENSGACP00000004833	ENSGACG00000003689	Gasterosteus_aculeatus	ENSGACT00000004847
ENSGMOP00000021528	ENSGMOG00000020041	Gadus_morhua	ENSGMOT00000022046
ENSPNAP00000001141	ENSPNAG00000007978	Pygocentrus_nattereri	ENSPNAT00000012665
ENSAMXP00000042394	ENSAMXG00000038350	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000038348
ENSIPUP00000017419	ENSIPUG00000011832	Ictalurus_punctatus	ENSIPUT00000018163
