ENSMVIP00005021581	ENSMVIG00005015175	Manacus_vitellinus	ENSMVIT00005024310
ENSLCOP00000014815	ENSLCOG00000010609	Lepidothrix_coronata	ENSLCOT00000015657
ENSJHYP00000001094	ENSJHYG00000000961	Junco_hyemalis
ENSSCAP00000008002	ENSSCAG00000006139	Serinus_canaria
ENSLSDP00000012881	ENSLSDG00000009390	Lonchura_striata_domestica
ENSCCEP00000025260	ENSCCEG00000022310	Cyanistes_caeruleus
ENSPMJP00000012980	ENSPMJG00000009937	Parus_major
ENSFALP00000003715	ENSFALG00000003562	Ficedula_albicollis
ENSMUNP00000000543	ENSMUNG00000000526	Melopsittacus_undulatus
ENSCPGP00000006885	ENSCPGG00000004937	Calidris_pygmaea
ENSCPUP00000001122	ENSCPUG00000000858	Calidris_pugnax
ENSABRP00000027572	ENSABRG00000022949	Anser_brachyrhynchus
ENSAPLP00000025371	ENSAPLG00000014968	Anas_platyrhynchos_platyrhynchos
ENSCJPP00005027364	ENSCJPG00005021227	Coturnix_japonica
ENSGALP00000042595	ENSGALG00000027492	Gallus_gallus
ENSNMEP00000024219	ENSNMEG00000020583	Numida_meleagris
ENSARWP00000005014	ENSARWG00000003610	Apteryx_rowi
ENSAOWP00000016444	ENSAOWG00000011198	Apteryx_owenii
ENSAHAP00000019863	ENSAHAG00000014023	Apteryx_haastii
ENSDNVP00000000187	ENSDNVG00000000124	Dromaius_novaehollandiae
ENSNPEP00000005678	ENSNPEG00000004293	Nothoprocta_perdicaria
ENSCPRP00005001621	ENSCPRG00005001201	Crocodylus_porosus
ENSCPBP00000000085	ENSCPBG00000000091	Chrysemys_picta_bellii
ENSPSIP00000016241	ENSPSIG00000014486	Pelodiscus_sinensis
ENSPVIP00000015984	ENSPVIG00000012359	Pogona_vitticeps
ENSACAP00000018575	ENSACAG00000005707	Anolis_carolinensis
ENSSMRP00000030703	ENSSMRG00000023532	Salvator_merianae
ENSPCIP00000021703	ENSPCIG00000016450	Phascolarctos_cinereus
ENSVURP00010017940	ENSVURG00010013701	Vombatus_ursinus
ENSMEUP00000012774	ENSMEUG00000013991	Notamacropus_eugenii
ENSMODP00000018278	ENSMODG00000014631	Monodelphis_domestica
ENSPCAP00000009925	ENSPCAG00000010585	Procavia_capensis
ENSETEP00000009629	ENSETEG00000011867	Echinops_telfairi
ENSPTRP00000073781	ENSPTRG00000006795	Pan_troglodytes
ENSPPAP00000016139	ENSPPAG00000031172	Pan_paniscus
ENSP00000376307	ENSG00000185347	Homo_sapiens
ENSGGOP00000001297	ENSGGOG00000001313	Gorilla_gorilla
ENSPPYP00000007054	ENSPPYG00000006210	Pongo_abelii
ENSNLEP00000020022	ENSNLEG00000016503	Nomascus_leucogenys
ENSPTEP00000031016	ENSPTEG00000030083	Piliocolobus_tephrosceles
ENSCANP00000029561	ENSCANG00000038364	Colobus_angolensis_palliatus
ENSRROP00000032859	ENSRROG00000040054	Rhinopithecus_roxellana
ENSRBIP00000015697	ENSRBIG00000031936	Rhinopithecus_bieti
ENSPANP00000013390	ENSPANG00000026051	Papio_anubis
ENSTGEP00000015844	ENSTGEG00000012780	Theropithecus_gelada
ENSMMUP00000074802	ENSMMUG00000007159	Macaca_mulatta
ENSMNEP00000043614	ENSMNEG00000044462	Macaca_nemestrina
ENSMFAP00000024544	ENSMFAG00000043836	Macaca_fascicularis
ENSCATP00000025179	ENSCATG00000036061	Cercocebus_atys
ENSMLEP00000032530	ENSMLEG00000040448	Mandrillus_leucophaeus
ENSCSAP00000005622	ENSCSAG00000009358	Chlorocebus_sabaeus
ENSSBOP00000013749	ENSSBOG00000023616	Saimiri_boliviensis_boliviensis
ENSCCAP00000012794	ENSCCAG00000024169	Cebus_capucinus_imitator
ENSCJAP00000036797	ENSCJAG00000019791	Callithrix_jacchus
ENSANAP00000028705	ENSANAG00000032158	Aotus_nancymaae
ENSTSYP00000019871	ENSTSYG00000027941	Carlito_syrichta
ENSPCOP00000030008	ENSPCOG00000027717	Propithecus_coquereli
ENSMICP00000005927	ENSMICG00000006490	Microcebus_murinus
ENSPSMP00000029877	ENSPSMG00000020732	Prolemur_simus
ENSOGAP00000011953	ENSOGAG00000013334	Otolemur_garnettii
ENSTBEP00000002788	ENSTBEG00000003207	Tupaia_belangeri
ENSCCNP00000019699	ENSCCNG00000019765	Castor_canadensis
ENSDORP00000022707	ENSDORG00000029524	Dipodomys_ordii
ENSMUSP00000035351	ENSMUSG00000037466	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0035060	MGP_SPRETEiJ_G0019023	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000026877	ENSMSIG00000022648	Mus_spicilegus
MGP_CAROLIEiJ_P0033518	MGP_CAROLIEiJ_G0018174	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0083636	MGP_PahariEiJ_G0029931	Mus_pahari_strain_PAHARI_EIJ
