ENSPKIP00000020849	ENSPKIG00000005479	Paramormyrops_kingsleyae
ENSSFOP00015020483	ENSSFOG00015013170	Scleropages_formosus
ENSSFOP00015011587	ENSSFOG00015007469	Scleropages_formosus
ENSCHAP00000037994	ENSCHAG00000017567	Clupea_harengus
ENSDCDP00000008774	ENSDCDG00000004433	Denticeps_clupeoides
ENSAMXP00000045726	ENSAMXG00000004936	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005033585	ENSAMXG00005016265	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000007242	ENSPNAG00000002561	Pygocentrus_nattereri
ENSEEEP00000038427	ENSEEEG00000018250	Electrophorus_electricus
ENSIPUP00000016688	ENSIPUG00000011310	Ictalurus_punctatus
ENSDARP00000075741	ENSDARG00000058421	Danio_rerio
ENSCGOP00000032072	ENSCGOG00000014932	Cottoperca_gobio
ENSGACP00000008993	ENSGACG00000006765	Gasterosteus_aculeatus
ENSLCRP00005047422	ENSLCRG00005017761	Larimichthys_crocea
ENSLBEP00000008468	ENSLBEG00000006516	Labrus_bergylta
ENSAOCP00000021540	ENSAOCG00000006428	Amphiprion_ocellaris
ENSAPEP00000024967	ENSAPEG00000017738	Amphiprion_percula
ENSAPOP00000014189	ENSAPOG00000017090	Acanthochromis_polyacanthus
ENSSPAP00000025341	ENSSPAG00000019146	Stegastes_partitus
ENSPRNP00000034005	ENSPRNG00000017082	Parambassis_ranga
ENSXMAP00000007970	ENSXMAG00000007930	Xiphophorus_maculatus
ENSXCOP00000008696	ENSXCOG00000006642	Xiphophorus_couchianus
ENSGAFP00000002936	ENSGAFG00000001990	Gambusia_affinis
ENSPMEP00000017500	ENSPMEG00000020357	Poecilia_mexicana
ENSPLAP00000030927	ENSPLAG00000022465	Poecilia_latipinna
ENSPFOP00000012769	ENSPFOG00000012762	Poecilia_formosa
ENSPREP00000033571	ENSPREG00000022755	Poecilia_reticulata
ENSFHEP00000004691	ENSFHEG00000005623	Fundulus_heteroclitus
ENSCVAP00000019185	ENSCVAG00000022540	Cyprinodon_variegatus
ENSKMAP00000024483	ENSKMAG00000018129	Kryptolebias_marmoratus
ENSORLP00000036521	ENSORLG00000005163	Oryzias_latipes_ASM223467v1
ENSORLP00015015569	ENSORLG00015016508	Oryzias_latipes_ASM223469v1
ENSORLP00020017552	ENSORLG00020018551	Oryzias_latipes_ASM223471v1
ENSOMEP00000021457	ENSOMEG00000023336	Oryzias_melastigma
ENSGWIP00000048835	ENSGWIG00000023754	Gouania_willdenowi
ENSMZEP00005020296	ENSMZEG00005015210	Maylandia_zebra
ENSACLP00000018839	ENSACLG00000012825	Astatotilapia_calliptera
ENSHBUP00000024362	ENSHBUG00000005697	Haplochromis_burtoni
ENSPNYP00000001204	ENSPNYG00000000962	Pundamilia_nyererei
ENSNBRP00000024442	ENSNBRG00000018676	Neolamprologus_brichardi
ENSONIP00000020694	ENSONIG00000016432	Oreochromis_niloticus
ENSACIP00000014813	ENSACIG00000011493	Amphilophus_citrinellus
ENSMAMP00000022176	ENSMAMG00000014906	Mastacembelus_armatus
ENSMALP00000031582	ENSMALG00000021792	Monopterus_albus
ENSATEP00000030720	ENSATEG00000021206	Anabas_testudineus
ENSSLDP00000008792	ENSSLDG00000006961	Seriola_lalandi_dorsalis
ENSSDUP00000030856	ENSSDUG00000022224	Seriola_dumerili
ENSLCAP00010018101	ENSLCAG00010008585	Lates_calcarifer
ENSSMAP00000031070	ENSSMAG00000019037	Scophthalmus_maximus
ENSCSEP00000010175	ENSCSEG00000006531	Cynoglossus_semilaevis
ENSTNIP00000022096	ENSTNIG00000018909	Tetraodon_nigroviridis
ENSTRUP00000024259	ENSTRUG00000009657	Takifugu_rubripes
ENSMMOP00000018662	ENSMMOG00000014135	Mola_mola
ENSBSLP00000053112	ENSBSLG00000024978	Betta_splendens
ENSHCOP00000018429	ENSHCOG00000000838	Hippocampus_comes
ENSPMGP00000020691	ENSPMGG00000016757	Periophthalmus_magnuspinnatus
ENSPMGP00000026445	ENSPMGG00000021334	Periophthalmus_magnuspinnatus
ENSGMOP00000016035	ENSGMOG00000014965	Gadus_morhua
ENSHHUP00000042636	ENSHHUG00000026230	Hucho_hucho
ENSHHUP00000077449	ENSHHUG00000045186	Hucho_hucho
ENSELUP00000027864	ENSELUG00000004245	Esox_lucius
ENSDCDP00000052624	ENSDCDG00000031706	Denticeps_clupeoides	ENSDCDT00000064443
ENSCHAP00000022468	ENSCHAG00000011188	Clupea_harengus	ENSCHAT00000024517
ENSPNAP00000022249	ENSPNAG00000029582	Pygocentrus_nattereri
ENSEEEP00000013958	ENSEEEG00000006934	Electrophorus_electricus
ENSAMXP00005003159	ENSAMXG00005001647	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000013814	ENSAMXG00000013425	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000013814
ENSIPUP00000010936	ENSIPUG00000007440	Ictalurus_punctatus
ENSIPUP00000006552	ENSIPUG00000004543	Ictalurus_punctatus
ENSDARP00000154846	ENSDARG00000020493	Danio_rerio
ENSSLDP00000026508	ENSSLDG00000020611	Seriola_lalandi_dorsalis
ENSSDUP00000013770	ENSSDUG00000010014	Seriola_dumerili
ENSLCAP00010030285	ENSLCAG00010014244	Lates_calcarifer
ENSSMAP00000002304	ENSSMAG00000001434	Scophthalmus_maximus
ENSAPEP00000017499	ENSAPEG00000012521	Amphiprion_percula
ENSAOCP00000020595	ENSAOCG00000004845	Amphiprion_ocellaris
ENSAPOP00000015338	ENSAPOG00000018312	Acanthochromis_polyacanthus
