ENSPCAP00000002341	ENSPCAG00000002483	Procavia_capensis	ENSPCAT00000002483
ENSETEP00000004029	ENSETEG00000004941	Echinops_telfairi	ENSETET00000004942
ENSGGOP00000016892	ENSGGOG00000005506	Gorilla_gorilla	ENSGGOT00000023629
ENSP00000261942	ENSG00000113194	Homo_sapiens	ENST00000261942
ENSPPYP00000017988	ENSPPYG00000016073	Pongo_abelii
ENSMFAP00000040285	ENSMFAG00000046297	Macaca_fascicularis
ENSMNEP00000006566	ENSMNEG00000027577	Macaca_nemestrina
ENSMMUP00000051540	ENSMMUG00000009059	Macaca_mulatta
ENSCSAP00000005601	ENSCSAG00000009347	Chlorocebus_sabaeus
ENSTGEP00000017583	ENSTGEG00000014217	Theropithecus_gelada
ENSPANP00000011539	ENSPANG00000012854	Papio_anubis
ENSMLEP00000001437	ENSMLEG00000005577	Mandrillus_leucophaeus
ENSCANP00000037175	ENSCANG00000042260	Colobus_angolensis_palliatus
ENSPTEP00000031538	ENSPTEG00000030449	Piliocolobus_tephrosceles
ENSRBIP00000000629	ENSRBIG00000003159	Rhinopithecus_bieti
ENSRROP00000000733	ENSRROG00000002721	Rhinopithecus_roxellana
ENSCJAP00000053459	ENSCJAG00000040255	Callithrix_jacchus
ENSSBOP00000038967	ENSSBOG00000035526	Saimiri_boliviensis_boliviensis
ENSPTRP00000072174	ENSPTRG00000017563	Pan_troglodytes
ENSPPAP00000036812	ENSPPAG00000041151	Pan_paniscus
ENSNLEP00000027109	ENSNLEG00000012504	Nomascus_leucogenys
ENSCCAP00000034166	ENSCCAG00000035052	Cebus_capucinus_imitator
ENSANAP00000012129	ENSANAG00000023983	Aotus_nancymaae
ENSCATP00000002394	ENSCATG00000010027	Cercocebus_atys
ENSMICP00000032961	ENSMICG00000009955	Microcebus_murinus
ENSCCNP00000025645	ENSCCNG00000024967	Castor_canadensis
ENSDORP00000008143	ENSDORG00000008675	Dipodomys_ordii
MGP_SPRETEiJ_P0036055	MGP_SPRETEiJ_G0019421	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000121182	ENSMUSG00000025873	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000008998	ENSMSIG00000007971	Mus_spicilegus
MGP_CAROLIEiJ_P0034420	MGP_CAROLIEiJ_G0018541	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0041026	MGP_PahariEiJ_G0019606	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000068627	ENSRNOG00000017607	Rattus_norvegicus
ENSMUGP00000020212	ENSMUGG00000017018	Meriones_unguiculatus
ENSPEMP00000023053	ENSPEMG00000020218	Peromyscus_maniculatus_bairdii
ENSMOCP00000008989	ENSMOCG00000009059	Microtus_ochrogaster
ENSCGRP00001017478	ENSCGRG00001017510	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015024652	ENSCGRG00015018706	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000010440	ENSCGRG00000007665	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000020132	ENSMAUG00000018234	Mesocricetus_auratus
ENSNGAP00000020191	ENSNGAG00000019765	Nannospalax_galili
ENSJJAP00000016877	ENSJJAG00000018600	Jaculus_jaculus
ENSODEP00000012768	ENSODEG00000009449	Octodon_degus
ENSODEP00000012752	ENSODEG00000009437	Octodon_degus
ENSCLAP00000020051	ENSCLAG00000013738	Chinchilla_lanigera
ENSCPOP00000008363	ENSCPOG00000009319	Cavia_porcellus
ENSCAPP00000011412	ENSCAPG00000012476	Cavia_aperea
ENSHGLP00100019343	ENSHGLG00100014262	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000020954	ENSHGLG00000014976	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000020235	ENSFDAG00000008590	Fukomys_damarensis
ENSUPAP00010016324	ENSUPAG00010013031	Urocitellus_parryii
ENSSTOP00000028302	ENSSTOG00000005644	Ictidomys_tridecemlineatus
ENSSDAP00000003947	ENSSDAG00000003699	Spermophilus_dauricus
ENSMMMP00000001875	ENSMMMG00000001710	Marmota_marmota_marmota
ENSOCUP00000045128	ENSOCUG00000014822	Oryctolagus_cuniculus
ENSOPRP00000008017	ENSOPRG00000008760	Ochotona_princeps
ENSTSYP00000012341	ENSTSYG00000013451	Carlito_syrichta
ENSPCOP00000011770	ENSPCOG00000017408	Propithecus_coquereli
ENSPSMP00000022394	ENSPSMG00000015825	Prolemur_simus
ENSOGAP00000004295	ENSOGAG00000004803	Otolemur_garnettii
ENSTBEP00000006308	ENSTBEG00000007302	Tupaia_belangeri
ENSLAFP00000022369	ENSLAFG00000005360	Loxodonta_africana	ENSLAFT00000032722
ENSBIXP00005020401	ENSBIXG00005023506	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000021142	ENSBIXG00000024285	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBMUP00000025963	ENSBMUG00000019464	Bos_mutus
ENSBTAP00000052507	ENSBTAG00000017744	Bos_taurus
ENSBBBP00000001286	ENSBBBG00000010356	Bison_bison_bison
ENSCHIP00000025765	ENSCHIG00000022380	Capra_hircus
ENSOARP00000002376	ENSOARG00000002240	Ovis_aries
ENSTTRP00000005133	ENSTTRG00000005445	Tursiops_truncatus
ENSSSCP00000032946	ENSSSCG00000014057	Sus_scrofa_strain_reference
ENSEEUP00000003920	ENSEEUG00000004304	Erinaceus_europaeus
ENSSARP00000003566	ENSSARG00000003948	Sorex_araneus
ENSVPAP00000004133	ENSVPAG00000004449	Vicugna_pacos
ENSUAMP00000028657	ENSUAMG00000022144	Ursus_americanus
ENSUMAP00000034021	ENSUMAG00000024504	Ursus_maritimus
ENSAMEP00000007420	ENSAMEG00000007024	Ailuropoda_melanoleuca
ENSNVIP00000027841	ENSNVIG00000021522	Neovison_vison
ENSMPUP00000012444	ENSMPUG00000012538	Mustela_putorius_furo
ENSCAFP00020014242	ENSCAFG00020011523	Canis_lupus_dingo
ENSCAFP00000024535	ENSCAFG00000016684	Canis_lupus_familiaris
ENSVVUP00000002014	ENSVVUG00000001607	Vulpes_vulpes
ENSPTIP00000011691	ENSPTIG00000012027	Panthera_tigris_altaica
ENSPPRP00000024363	ENSPPRG00000014586	Panthera_pardus
ENSFCAP00000024431	ENSFCAG00000030055	Felis_catus
ENSECAP00000010860	ENSECAG00000012970	Equus_caballus
ENSEASP00005017336	ENSEASG00005012004	Equus_asinus_asinus
ENSMLUP00000004765	ENSMLUG00000005219	Myotis_lucifugus
ENSPVAP00000016057	ENSPVAG00000017023	Pteropus_vampyrus
ENSCHOP00000000510	ENSCHOG00000000569	Choloepus_hoffmanni	ENSCHOT00000000574
ENSDNOP00000032597	ENSDNOG00000032968	Dasypus_novemcinctus	ENSDNOT00000032951
ENSVURP00010002198	ENSVURG00010001828	Vombatus_ursinus
ENSPCIP00000025956	ENSPCIG00000019507	Phascolarctos_cinereus
ENSMEUP00000000460	ENSMEUG00000000497	Notamacropus_eugenii
ENSSHAP00000005036	ENSSHAG00000004409	Sarcophilus_harrisii
ENSMODP00000006374	ENSMODG00000005176	Monodelphis_domestica
ENSOANP00000018467	ENSOANG00000011659	Ornithorhynchus_anatinus
ENSABRP00000019513	ENSABRG00000016729	Anser_brachyrhynchus
ENSAPLP00000009133	ENSAPLG00000009406	Anas_platyrhynchos_platyrhynchos
ENSGALP00000005262	ENSGALG00000003331	Gallus_gallus
ENSMGAP00000004523	ENSMGAG00000004672	Meleagris_gallopavo
ENSCJPP00005013280	ENSCJPG00005011199	Coturnix_japonica
ENSNMEP00000020999	ENSNMEG00000018007	Numida_meleagris
ENSLCOP00000010964	ENSLCOG00000007967	Lepidothrix_coronata
ENSMVIP00005023993	ENSMVIG00005016833	Manacus_vitellinus
ENSTGUP00000000544	ENSTGUG00000000527	Taeniopygia_guttata
ENSLSDP00000023193	ENSLSDG00000016319	Lonchura_striata_domestica
ENSJHYP00000003435	ENSJHYG00000002836	Junco_hyemalis
ENSZALP00000012578	ENSZALG00000010539	Zonotrichia_albicollis
ENSSCAP00000018358	ENSSCAG00000013291	Serinus_canaria
ENSPMJP00000009479	ENSPMJG00000007580	Parus_major
ENSCCEP00000006924	ENSCCEG00000007356	Cyanistes_caeruleus
ENSFALP00000008940	ENSFALG00000008573	Ficedula_albicollis
ENSMUNP00000007145	ENSMUNG00000005736	Melopsittacus_undulatus
ENSCPUP00000013287	ENSCPUG00000009433	Calidris_pugnax
ENSCPGP00000022116	ENSCPGG00000015371	Calidris_pygmaea
ENSAOWP00000015502	ENSAOWG00000010551	Apteryx_owenii
ENSAHAP00000028357	ENSAHAG00000019696	Apteryx_haastii
ENSARWP00000007179	ENSARWG00000005035	Apteryx_rowi
ENSDNVP00000021605	ENSDNVG00000015098	Dromaius_novaehollandiae
ENSNPEP00000006199	ENSNPEG00000004681	Nothoprocta_perdicaria
ENSCPRP00005019404	ENSCPRG00005013553	Crocodylus_porosus
ENSCPBP00000032297	ENSCPBG00000022644	Chrysemys_picta_bellii
ENSCABP00000024863	ENSCABG00000018266	Chelonoidis_abingdonii
ENSGAGP00000000693	ENSGAGG00000000585	Gopherus_agassizii
ENSPSIP00000015114	ENSPSIG00000013535	Pelodiscus_sinensis
ENSPVIP00000034248	ENSPVIG00000025016	Pogona_vitticeps
ENSACAP00000006125	ENSACAG00000006247	Anolis_carolinensis
ENSNSUP00000020459	ENSNSUG00000014797	Notechis_scutatus
ENSSMRP00000008154	ENSSMRG00000006535	Salvator_merianae
ENSSPUP00000008354	ENSSPUG00000006486	Sphenodon_punctatus
ENSLACP00000017062	ENSLACG00000015033	Latimeria_chalumnae
ENSXETP00000048152	ENSXETG00000018913	Xenopus_tropicalis
ENSSFOP00015001221	ENSSFOG00015000852	Scleropages_formosus
ENSPKIP00000006499	ENSPKIG00000022745	Paramormyrops_kingsleyae
ENSAMXP00000003209	ENSAMXG00000003126	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005030263	ENSAMXG00005014832	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000006681	ENSPNAG00000012685	Pygocentrus_nattereri
ENSIPUP00000024488	ENSIPUG00000016534	Ictalurus_punctatus
ENSEEEP00000026215	ENSEEEG00000012669	Electrophorus_electricus
ENSDARP00000033367	ENSDARG00000052374	Danio_rerio
ENSDCDP00000048337	ENSDCDG00000029923	Denticeps_clupeoides
ENSCHAP00000029477	ENSCHAG00000013897	Clupea_harengus
ENSLCRP00005057664	ENSLCRG00005021421	Larimichthys_crocea
