ENSSARP00000008745	ENSSARG00000009672	Sorex_araneus
ENSMICP00000029513	ENSMICG00000038682	Microcebus_murinus
ENSLAFP00000003006	ENSLAFG00000003600	Loxodonta_africana
ENSETEP00000009252	ENSETEG00000011405	Echinops_telfairi
ENSPCAP00000015644	ENSPCAG00000016715	Procavia_capensis
ENSAPOP00000004664	ENSAPOG00000006270	Acanthochromis_polyacanthus
ENSLBEP00000003147	ENSLBEG00000002460	Labrus_bergylta
ENSTNIP00000023116	ENSTNIG00000019846	Tetraodon_nigroviridis
ENSMGAP00000017428	ENSMGAG00000017001	Meleagris_gallopavo
ENSPMAP00000002461	ENSPMAG00000002257	Petromyzon_marinus	ENSPMAT00000002473
ENSOCUP00000002806	ENSOCUG00000003231	Oryctolagus_cuniculus
ENSOPRP00000001923	ENSOPRG00000002082	Ochotona_princeps
ENSMICP00000030471	ENSMICG00000007951	Microcebus_murinus
ENSMICP00000037929	ENSMICG00000038393	Microcebus_murinus
ENSPSMP00000037659	ENSPSMG00000025862	Prolemur_simus
ENSOGAP00000005980	ENSOGAG00000006685	Otolemur_garnettii
ENSTSYP00000023702	ENSTSYG00000014414	Carlito_syrichta
ENSSBOP00000027064	ENSSBOG00000029945	Saimiri_boliviensis_boliviensis
ENSCCAP00000004316	ENSCCAG00000019475	Cebus_capucinus_imitator
ENSCJAP00000007561	ENSCJAG00000004156	Callithrix_jacchus
ENSANAP00000022942	ENSANAG00000029086	Aotus_nancymaae
ENSRROP00000041061	ENSRROG00000043690	Rhinopithecus_roxellana
ENSRBIP00000018394	ENSRBIG00000033167	Rhinopithecus_bieti
ENSCANP00000019088	ENSCANG00000032894	Colobus_angolensis_palliatus
ENSPTEP00000042932	ENSPTEG00000039179	Piliocolobus_tephrosceles
ENSMLEP00000010710	ENSMLEG00000029496	Mandrillus_leucophaeus
ENSCATP00000036320	ENSCATG00000040958	Cercocebus_atys
ENSMMUP00000058622	ENSMMUG00000017000	Macaca_mulatta
ENSMFAP00000036058	ENSMFAG00000034270	Macaca_fascicularis
ENSMNEP00000033763	ENSMNEG00000040107	Macaca_nemestrina
ENSPANP00000043331	ENSPANG00000008521	Papio_anubis
ENSTGEP00000030997	ENSTGEG00000024846	Theropithecus_gelada
ENSCSAP00000012127	ENSCSAG00000016054	Chlorocebus_sabaeus
ENSPTRP00000027372	ENSPTRG00000015892	Pan_troglodytes
ENSPPAP00000033263	ENSPPAG00000039444	Pan_paniscus
ENSP00000386921	ENSG00000132405	Homo_sapiens
ENSGGOP00000015973	ENSGGOG00000016363	Gorilla_gorilla
ENSPPYP00000016287	ENSPPYG00000014578	Pongo_abelii
ENSNLEP00000014361	ENSNLEG00000011813	Nomascus_leucogenys
ENSPCOP00000011220	ENSPCOG00000017118	Propithecus_coquereli
ENSPCOP00000021249	ENSPCOG00000022637	Propithecus_coquereli
ENSTBEP00000003658	ENSTBEG00000004228	Tupaia_belangeri
MGP_SPRETEiJ_P0070457	MGP_SPRETEiJ_G0028155	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000030681	ENSMSIG00000025452	Mus_spicilegus
ENSMUSP00000117414	ENSMUSG00000029192	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0067826	MGP_CAROLIEiJ_G0027159	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0031034	MGP_PahariEiJ_G0016943	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000075351	ENSRNOG00000006400	Rattus_norvegicus
ENSMUGP00000028741	ENSMUGG00000023693	Meriones_unguiculatus
ENSPEMP00000001481	ENSPEMG00000001163	Peromyscus_maniculatus_bairdii
ENSMOCP00000019632	ENSMOCG00000017556	Microtus_ochrogaster
ENSCGRP00000024973	ENSCGRG00000018085	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015033028	ENSCGRG00015024859	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001017870	ENSCGRG00001017768	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000011468	ENSMAUG00000012045	Mesocricetus_auratus
ENSNGAP00000018316	ENSNGAG00000018491	Nannospalax_galili
ENSJJAP00000018426	ENSJJAG00000019700	Jaculus_jaculus
ENSCCNP00000033347	ENSCCNG00000031559	Castor_canadensis
ENSDORP00000000723	ENSDORG00000000773	Dipodomys_ordii
ENSSTOP00000021489	ENSSTOG00000028274	Ictidomys_tridecemlineatus
ENSSDAP00000015366	ENSSDAG00000013455	Spermophilus_dauricus
ENSUPAP00010005566	ENSUPAG00010004452	Urocitellus_parryii
ENSMMMP00000016931	ENSMMMG00000015012	Marmota_marmota_marmota
ENSHGLP00100014762	ENSHGLG00100010929	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000011656	ENSHGLG00000008360	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000012262	ENSFDAG00000006746	Fukomys_damarensis
ENSCLAP00000013871	ENSCLAG00000009594	Chinchilla_lanigera
ENSODEP00000013609	ENSODEG00000010053	Octodon_degus
ENSCAPP00000010149	ENSCAPG00000011416	Cavia_aperea
ENSCPOP00000033079	ENSCPOG00000009991	Cavia_porcellus
ENSMLUP00000009948	ENSMLUG00000010907	Myotis_lucifugus
ENSPVAP00000011363	ENSPVAG00000012058	Pteropus_vampyrus
ENSEASP00005007022	ENSEASG00005005175	Equus_asinus_asinus
ENSECAP00000046986	ENSECAG00000003759	Equus_caballus
ENSCHIP00000014691	ENSCHIG00000015595	Capra_hircus
ENSOARP00000012127	ENSOARG00000011316	Ovis_aries
ENSBIXP00000039498	ENSBIXG00000003977	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005006120	ENSBIXG00005005918	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000067079	ENSBTAG00000005493	Bos_taurus
ENSBMUP00000016667	ENSBMUG00000012627	Bos_mutus
ENSBBBP00000017213	ENSBBBG00000009490	Bison_bison_bison
ENSTTRP00000014216	ENSTTRG00000014997	Tursiops_truncatus
ENSVPAP00000007387	ENSVPAG00000007940	Vicugna_pacos
ENSSSCP00000042838	ENSSSCG00000027349	Sus_scrofa_strain_reference
ENSSSCP00000031482	ENSSSCG00000032894	Sus_scrofa_strain_reference
ENSUMAP00000014952	ENSUMAG00000010991	Ursus_maritimus
ENSUAMP00000030218	ENSUAMG00000023192	Ursus_americanus
ENSAMEP00000008789	ENSAMEG00000008316	Ailuropoda_melanoleuca
ENSMPUP00000010369	ENSMPUG00000010445	Mustela_putorius_furo
ENSNVIP00000008086	ENSNVIG00000006343	Neovison_vison
ENSVVUP00000000169	ENSVVUG00000000192	Vulpes_vulpes
ENSCAFP00020018870	ENSCAFG00020014982	Canis_lupus_dingo
ENSPPRP00000014433	ENSPPRG00000007356	Panthera_pardus
ENSPTIP00000024014	ENSPTIG00000020235	Panthera_tigris_altaica
ENSDNOP00000002258	ENSDNOG00000002915	Dasypus_novemcinctus
ENSDNOP00000021629	ENSDNOG00000019188	Dasypus_novemcinctus
ENSCHOP00000005558	ENSCHOG00000006274	Choloepus_hoffmanni
ENSMVIP00005005159	ENSMVIG00005003935	Manacus_vitellinus
ENSLCOP00000010658	ENSLCOG00000007743	Lepidothrix_coronata
ENSTGUP00000010434	ENSTGUG00000010105	Taeniopygia_guttata
ENSLSDP00000015882	ENSLSDG00000011459	Lonchura_striata_domestica
ENSSCAP00000022296	ENSSCAG00000016030	Serinus_canaria
ENSJHYP00000023587	ENSJHYG00000017735	Junco_hyemalis
ENSZALP00000008739	ENSZALG00000007578	Zonotrichia_albicollis
ENSFALP00000010059	ENSFALG00000009650	Ficedula_albicollis
ENSPMJP00000022129	ENSPMJG00000016420	Parus_major
ENSCCEP00000026161	ENSCCEG00000023023	Cyanistes_caeruleus
ENSMUNP00000021375	ENSMUNG00000016154	Melopsittacus_undulatus
ENSCPGP00000014392	ENSCPGG00000010184	Calidris_pygmaea
ENSCPUP00000004116	ENSCPUG00000003081	Calidris_pugnax
ENSAPLP00000013194	ENSAPLG00000013358	Anas_platyrhynchos_platyrhynchos
ENSABRP00000002432	ENSABRG00000002358	Anser_brachyrhynchus
ENSGALP00000025012	ENSGALG00000015546	Gallus_gallus
ENSCJPP00005023363	ENSCJPG00005018544	Coturnix_japonica
ENSNMEP00000022499	ENSNMEG00000019274	Numida_meleagris
ENSDNVP00000005455	ENSDNVG00000003923	Dromaius_novaehollandiae	ENSDNVT00000006578
ENSNPEP00000003218	ENSNPEG00000002436	Nothoprocta_perdicaria
ENSAOWP00000020217	ENSAOWG00000013683	Apteryx_owenii	ENSAOWT00000022909
ENSAHAP00000002100	ENSAHAG00000001752	Apteryx_haastii	ENSAHAT00000002389
