ENSHHUP00000079641	ENSHHUG00000046421	Hucho_hucho
ENSIPUP00000014159	ENSIPUG00000009684	Ictalurus_punctatus
ENSAPEP00000008848	ENSAPEG00000006374	Amphiprion_percula
ENSAOCP00000025214	ENSAOCG00000012695	Amphiprion_ocellaris
ENSAOCP00000005548	ENSAOCG00000009077	Amphiprion_ocellaris
ENSGWIP00000020223	ENSGWIG00000010977	Gouania_willdenowi
ENSGWIP00000048888	ENSGWIG00000023896	Gouania_willdenowi
ENSGWIP00000055440	ENSGWIG00000026375	Gouania_willdenowi
ENSGWIP00000021101	ENSGWIG00000011405	Gouania_willdenowi
ENSFHEP00000015759	ENSFHEG00000017391	Fundulus_heteroclitus
ENSKMAP00000010289	ENSKMAG00000007727	Kryptolebias_marmoratus
ENSORLP00015028180	ENSORLG00015010650	Oryzias_latipes_ASM223469v1
ENSORLP00015022916	ENSORLG00015002587	Oryzias_latipes_ASM223469v1
ENSORLP00020005557	ENSORLG00020006378	Oryzias_latipes_ASM223471v1
ENSSLDP00000009944	ENSSLDG00000007923	Seriola_lalandi_dorsalis
ENSXMAP00000036726	ENSXMAG00000024066	Xiphophorus_maculatus
ENSXCOP00000011954	ENSXCOG00000009004	Xiphophorus_couchianus
ENSXMAP00000009936	ENSXMAG00000009923	Xiphophorus_maculatus
ENSPFOP00000011883	ENSPFOG00000011907	Poecilia_formosa
ENSMZEP00005023580	ENSMZEG00005017642	Maylandia_zebra
ENSMZEP00005031799	ENSMZEG00005023715	Maylandia_zebra
ENSACLP00000023213	ENSACLG00000015699	Astatotilapia_calliptera
ENSHBUP00000007857	ENSHBUG00000009354	Haplochromis_burtoni
ENSPNYP00000019394	ENSPNYG00000014588	Pundamilia_nyererei
ENSPMGP00000011884	ENSPMGG00000009836	Periophthalmus_magnuspinnatus
ENSPMGP00000029670	ENSPMGG00000023881	Periophthalmus_magnuspinnatus
ENSFHEP00000006158	ENSFHEG00000007181	Fundulus_heteroclitus
ENSDCDP00000047226	ENSDCDG00000029441	Denticeps_clupeoides
ENSPKIP00000008881	ENSPKIG00000024160	Paramormyrops_kingsleyae
ENSORLP00000028116	ENSORLG00000029902	Oryzias_latipes_ASM223467v1
ENSORLP00015032560	ENSORLG00015017455	Oryzias_latipes_ASM223469v1
ENSORLP00020031794	ENSORLG00020017009	Oryzias_latipes_ASM223471v1
ENSLCAP00010007336	ENSLCAG00010003591	Lates_calcarifer
ENSAPOP00000027195	ENSAPOG00000011560	Acanthochromis_polyacanthus
ENSMAMP00000029830	ENSMAMG00000020083	Mastacembelus_armatus
ENSSPAP00000004893	ENSSPAG00000003790	Stegastes_partitus
ENSSPAP00000011402	ENSSPAG00000008251	Stegastes_partitus
ENSMAMP00000005805	ENSMAMG00000003931	Mastacembelus_armatus
ENSELUP00000032394	ENSELUG00000010273	Esox_lucius
ENSLOCP00000022083	ENSLOCG00000017982	Lepisosteus_oculatus
ENSLOCP00000010089	ENSLOCG00000008305	Lepisosteus_oculatus
ENSLOCP00000013011	ENSLOCG00000010626	Lepisosteus_oculatus
ENSLOCP00000012779	ENSLOCG00000010425	Lepisosteus_oculatus
ENSLOCP00000020771	ENSLOCG00000016805	Lepisosteus_oculatus
ENSLOCP00000011501	ENSLOCG00000009426	Lepisosteus_oculatus
ENSLOCP00000013413	ENSLOCG00000010939	Lepisosteus_oculatus
ENSLOCP00000015297	ENSLOCG00000012424	Lepisosteus_oculatus
ENSLCAP00010004745	ENSLCAG00010002418	Lates_calcarifer
ENSFHEP00000022240	ENSFHEG00000002513	Fundulus_heteroclitus	ENSFHET00000013430
ENSFHEP00000001950	ENSFHEG00000002713	Fundulus_heteroclitus	ENSFHET00000013023
ENSPMEP00000000273	ENSPMEG00000001029	Poecilia_mexicana
ENSMZEP00005021324	ENSMZEG00005015988	Maylandia_zebra
ENSEEEP00000026842	ENSEEEG00000012953	Electrophorus_electricus
ENSELUP00000025990	ENSELUG00000001714	Esox_lucius
ENSDCDP00000019300	ENSDCDG00000015431	Denticeps_clupeoides
ENSPNYP00000024677	ENSPNYG00000018567	Pundamilia_nyererei
ENSPKIP00000027253	ENSPKIG00000009392	Paramormyrops_kingsleyae
ENSCINP00000027353	ENSCING00000016651	Ciona_intestinalis
