ENSUPAP00010017874	ENSUPAG00010014221	Urocitellus_parryii
ENSMZEP00005016169	ENSMZEG00005012142	Maylandia_zebra
ENSRNOP00000064148	ENSRNOG00000047934	Rattus_norvegicus	ENSRNOT00000075725
ENSXETP00000020642	ENSXETG00000012300	Xenopus_tropicalis
ENSMMOP00000017739	ENSMMOG00000013467	Mola_mola
ENSPRNP00000048322	ENSPRNG00000023140	Parambassis_ranga
ENSAPOP00000017859	ENSAPOG00000021120	Acanthochromis_polyacanthus
ENSAPOP00000005282	ENSAPOG00000006930	Acanthochromis_polyacanthus
ENSSPAP00000023906	ENSSPAG00000018045	Stegastes_partitus
ENSGALP00000010282	ENSGALG00000006371	Gallus_gallus
ENSATEP00000009007	ENSATEG00000006336	Anabas_testudineus
ENSCVAP00000032646	ENSCVAG00000022819	Cyprinodon_variegatus
ENSTSYP00000025584	ENSTSYG00000025400	Carlito_syrichta
ENSPSMP00000030379	ENSPSMG00000021080	Prolemur_simus
ENSSDAP00000001853	ENSSDAG00000001822	Spermophilus_dauricus
ENSLOCP00000022405	ENSLOCG00000018304	Lepisosteus_oculatus
MGP_CAROLIEiJ_P0034537	MGP_CAROLIEiJ_G0018574	Mus_caroli_strain_CAROLI_EIJ	MGP_CAROLIEiJ_T0034537
ENSACAP00000001321	ENSACAG00000001433	Anolis_carolinensis
ENSPNAP00000004234	ENSPNAG00000010659	Pygocentrus_nattereri
ENSCCNP00000021581	ENSCCNG00000021339	Castor_canadensis
ENSSPUP00000011591	ENSSPUG00000008904	Sphenodon_punctatus
ENSACLP00000022022	ENSACLG00000014963	Astatotilapia_calliptera
ENSMZEP00005012063	ENSMZEG00005009064	Maylandia_zebra
ENSEEEP00000001793	ENSEEEG00000001140	Electrophorus_electricus
ENSPLAP00000029471	ENSPLAG00000019714	Poecilia_latipinna
ENSTRUP00000055316	ENSTRUG00000022580	Takifugu_rubripes
ENSSFOP00015028203	ENSSFOG00015018105	Scleropages_formosus
ENSPANP00000000438	ENSPANG00000001914	Papio_anubis
ENSPRNP00000014578	ENSPRNG00000007863	Parambassis_ranga
ENSORLP00015006472	ENSORLG00015007311	Oryzias_latipes_ASM223469v1
ENSDARP00000078554	ENSDARG00000060018	Danio_rerio
ENSCLAP00000025204	ENSCLAG00000017309	Chinchilla_lanigera
ENSSMRP00000022642	ENSSMRG00000017582	Salvator_merianae
ENSRBIP00000001667	ENSRBIG00000008483	Rhinopithecus_bieti
ENSBTAP00000016958	ENSBTAG00000012762	Bos_taurus
ENSNPEP00000002531	ENSNPEG00000001951	Nothoprocta_perdicaria
ENSMALP00000024195	ENSMALG00000016869	Monopterus_albus
ENSSCAP00000014901	ENSSCAG00000010932	Serinus_canaria
ENSAMEP00000019898	ENSAMEG00000018842	Ailuropoda_melanoleuca
ENSPPRP00000019485	ENSPPRG00000010838	Panthera_pardus
ENSAMXP00005039164	ENSAMXG00005018509	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPFOP00000020160	ENSPFOG00000020034	Poecilia_formosa
ENSSBOP00000010969	ENSSBOG00000022311	Saimiri_boliviensis_boliviensis
ENSOMEP00000005303	ENSOMEG00000006292	Oryzias_melastigma
ENSMSIP00000022814	ENSMSIG00000019391	Mus_spicilegus	ENSMSIT00000028771
ENSVVUP00000023900	ENSVVUG00000017545	Vulpes_vulpes
ENSPFOP00000022312	ENSPFOG00000022789	Poecilia_formosa
ENSLCOP00000007812	ENSLCOG00000005743	Lepidothrix_coronata
ENSAHAP00000013372	ENSAHAG00000009623	Apteryx_haastii
ENSCSEP00000026407	ENSCSEG00000016872	Cynoglossus_semilaevis
ENSSARP00000007878	ENSSARG00000008707	Sorex_araneus
ENSLCAP00010033439	ENSLCAG00010015722	Lates_calcarifer
ENSNVIP00000020814	ENSNVIG00000016304	Neovison_vison
ENSXMAP00000035124	ENSXMAG00000025105	Xiphophorus_maculatus
ENSAPEP00000025528	ENSAPEG00000018171	Amphiprion_percula
ENSELUP00000039138	ENSELUG00000019190	Esox_lucius
ENSXMAP00000022570	ENSXMAG00000025956	Xiphophorus_maculatus
ENSCANP00000030997	ENSCANG00000039160	Colobus_angolensis_palliatus
ENSCJPP00005005374	ENSCJPG00005005156	Coturnix_japonica
ENSHBUP00000033818	ENSHBUG00000020946	Haplochromis_burtoni
ENSCGRP00001002715	ENSCGRG00001003088	Cricetulus_griseus_CHOK1GS_HDv1
ENSGGOP00000049027	ENSGGOG00000039515	Gorilla_gorilla
ENSPMJP00000012524	ENSPMJG00000009631	Parus_major
ENSSPAP00000018760	ENSSPAG00000014155	Stegastes_partitus
