ENSGAFP00000002357	ENSGAFG00000001629	Gambusia_affinis	ENSGAFT00000002382
ENSPREP00000017194	ENSPREG00000011625	Poecilia_reticulata	ENSPRET00000017378
ENSPREP00000015293	ENSPREG00000010313	Poecilia_reticulata	ENSPRET00000015450
ENSPLAP00000021101	ENSPLAG00000004574	Poecilia_latipinna	ENSPLAT00000011842
ENSPREP00000009589	ENSPREG00000006507	Poecilia_reticulata	ENSPRET00000009701
ENSPREP00000033524	ENSPREG00000022716	Poecilia_reticulata	ENSPRET00000033903
ENSXMAP00000020951	ENSXMAG00000022322	Xiphophorus_maculatus	ENSXMAT00000026692
ENSXMAP00000021878	ENSXMAG00000023950	Xiphophorus_maculatus	ENSXMAT00000027403
ENSXMAP00000023458	ENSXMAG00000020958	Xiphophorus_maculatus	ENSXMAT00000039378
ENSXMAP00000036607	ENSXMAG00000025739	Xiphophorus_maculatus	ENSXMAT00000030456
ENSXCOP00000003297	ENSXCOG00000002598	Xiphophorus_couchianus	ENSXCOT00000003335
ENSXCOP00000021454	ENSXCOG00000016061	Xiphophorus_couchianus	ENSXCOT00000021716
ENSXCOP00000019871	ENSXCOG00000014921	Xiphophorus_couchianus	ENSXCOT00000020117
ENSXMAP00000039201	ENSXMAG00000022340	Xiphophorus_maculatus	ENSXMAT00000029546
ENSPREP00000016772	ENSPREG00000011343	Poecilia_reticulata	ENSPRET00000016952
ENSPLAP00000006672	ENSPLAG00000008860	Poecilia_latipinna	ENSPLAT00000005851
ENSPREP00000017148	ENSPREG00000011594	Poecilia_reticulata	ENSPRET00000017331
ENSXMAP00000030038	ENSXMAG00000027360	Xiphophorus_maculatus	ENSXMAT00000022503
ENSPREP00000014221	ENSPREG00000009649	Poecilia_reticulata	ENSPRET00000014366
ENSFHEP00000007455	ENSFHEG00000008567	Fundulus_heteroclitus	ENSFHET00000003792
ENSFHEP00000032189	ENSFHEG00000018536	Fundulus_heteroclitus	ENSFHET00000033746
ENSORLP00020020525	ENSORLG00020021520	Oryzias_latipes_ASM223471v1
