ENSCCAP00000003268	ENSCCAG00000017981	Cebus_capucinus_imitator
ENSPPRP00000008565	ENSPPRG00000003333	Panthera_pardus	ENSPPRT00000006403
ENSDNOP00000019012	ENSDNOG00000045938	Dasypus_novemcinctus
ENSNLEP00000031843	ENSNLEG00000035716	Nomascus_leucogenys
ENSP00000378642	ENSG00000197162	Homo_sapiens
ENSUMAP00000018179	ENSUMAG00000013357	Ursus_maritimus
ENSEEUP00000012725	ENSEEUG00000013938	Erinaceus_europaeus
ENSCAFP00020022651	ENSCAFG00020017867	Canis_lupus_dingo
ENSCAFP00020022657	ENSCAFG00020017872	Canis_lupus_dingo
ENSCANP00000002765	ENSCANG00000010108	Colobus_angolensis_palliatus
ENSRBIP00000008088	ENSRBIG00000027938	Rhinopithecus_bieti
ENSPTEP00000025992	ENSPTEG00000026151	Piliocolobus_tephrosceles
ENSPTRP00000013685	ENSPTRG00000008009	Pan_troglodytes
ENSVVUP00000037506	ENSVVUG00000026818	Vulpes_vulpes
ENSTSYP00000003343	ENSTSYG00000003641	Carlito_syrichta
ENSPPAP00000042162	ENSPPAG00000043664	Pan_paniscus
ENSANAP00000021601	ENSANAG00000028588	Aotus_nancymaae
ENSFCAP00000054572	ENSFCAG00000046915	Felis_catus
ENSSSCP00000070100	ENSSSCG00000047341	Sus_scrofa_strain_reference
ENSPPRP00000017019	ENSPPRG00000009109	Panthera_pardus	ENSPPRT00000015280
ENSPCOP00000002420	ENSPCOG00000007433	Propithecus_coquereli
ENSPPYP00000008226	ENSPPYG00000007280	Pongo_abelii
ENSPTIP00000007931	ENSPTIG00000009438	Panthera_tigris_altaica
ENSCAFP00000035927	ENSCAFG00000032497	Canis_lupus_familiaris
ENSGGOP00000010861	ENSGGOG00000011140	Gorilla_gorilla
ENSRROP00000031054	ENSRROG00000039235	Rhinopithecus_roxellana
ENSVVUP00000037497	ENSVVUG00000026814	Vulpes_vulpes
ENSNVIP00000032416	ENSNVIG00000024981	Neovison_vison
ENSVURP00010023320	ENSVURG00010017875	Vombatus_ursinus
ENSSBOP00000039991	ENSSBOG00000035998	Saimiri_boliviensis_boliviensis
ENSMEUP00000011563	ENSMEUG00000012676	Notamacropus_eugenii
