ENSCGOP00000034739	ENSCGOG00000016095	Cottoperca_gobio
ENSTRUP00000016679	ENSTRUG00000006788	Takifugu_rubripes
ENSAPOP00000010104	ENSAPOG00000012522	Acanthochromis_polyacanthus
ENSORLP00000006429	ENSORLG00000005096	Oryzias_latipes_ASM223467v1
ENSORLP00020006473	ENSORLG00020007325	Oryzias_latipes_ASM223471v1
ENSSPAP00000028305	ENSSPAG00000021317	Stegastes_partitus
ENSLCRP00005062620	ENSLCRG00005022995	Larimichthys_crocea
ENSPMGP00000030048	ENSPMGG00000024172	Periophthalmus_magnuspinnatus	ENSPMGT00000031986
ENSGACP00000002251	ENSGACG00000001729	Gasterosteus_aculeatus
ENSELUP00000017190	ENSELUG00000016936	Esox_lucius
ENSELUP00000018073	ENSELUG00000017636	Esox_lucius
ENSDARP00000156021	ENSDARG00000114454	Danio_rerio
ENSDARP00000102296	ENSDARG00000075045	Danio_rerio
ENSDARP00000102486	ENSDARG00000075163	Danio_rerio
ENSVURP00010012482	ENSVURG00010009643	Vombatus_ursinus
ENSSHAP00000019015	ENSSHAG00000016139	Sarcophilus_harrisii
ENSMODP00000023943	ENSMODG00000019184	Monodelphis_domestica
ENSMODP00000023952	ENSMODG00000019188	Monodelphis_domestica
ENSMSIP00000021570	ENSMSIG00000018319	Mus_spicilegus
MGP_SPRETEiJ_P0071700	MGP_SPRETEiJ_G0028390	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000031319	ENSMUSG00000029372	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0069042	MGP_CAROLIEiJ_G0027393	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0032204	MGP_PahariEiJ_G0017171	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000003794	ENSRNOG00000002829	Rattus_norvegicus
ENSMUGP00000021230	ENSMUGG00000017891	Meriones_unguiculatus
ENSCGRP00015013691	ENSCGRG00015010515	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000021636	ENSCGRG00000015702	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000020546	ENSMAUG00000018544	Mesocricetus_auratus
ENSMOCP00000013569	ENSMOCG00000013324	Microtus_ochrogaster
ENSPEMP00000035261	ENSPEMG00000027069	Peromyscus_maniculatus_bairdii
ENSNGAP00000000290	ENSNGAG00000000233	Nannospalax_galili
ENSCCNP00000002329	ENSCCNG00000002576	Castor_canadensis
ENSUPAP00010005966	ENSUPAG00010004827	Urocitellus_parryii
ENSSTOP00000015511	ENSSTOG00000023838	Ictidomys_tridecemlineatus
ENSSDAP00000016011	ENSSDAG00000014498	Spermophilus_dauricus
ENSMMMP00000028349	ENSMMMG00000024700	Marmota_marmota_marmota
ENSCLAP00000007238	ENSCLAG00000005093	Chinchilla_lanigera
ENSPTRP00000027775	ENSPTRG00000016159	Pan_troglodytes
ENSPPAP00000038870	ENSPPAG00000042155	Pan_paniscus
ENSGGOP00000021084	ENSGGOG00000025133	Gorilla_gorilla
ENSP00000296028	ENSG00000163736	Homo_sapiens
ENSPPYP00000016561	ENSPPYG00000014831	Pongo_abelii
ENSNLEP00000009665	ENSNLEG00000007928	Nomascus_leucogenys
ENSPANP00000001315	ENSPANG00000022049	Papio_anubis
ENSTGEP00000017940	ENSTGEG00000014517	Theropithecus_gelada
ENSCATP00000024226	ENSCATG00000035637	Cercocebus_atys
ENSMLEP00000020018	ENSMLEG00000034227	Mandrillus_leucophaeus
ENSCSAP00000001091	ENSCSAG00000004763	Chlorocebus_sabaeus
ENSMMUP00000051765	ENSMMUG00000042371	Macaca_mulatta
ENSMFAP00000016572	ENSMFAG00000031461	Macaca_fascicularis
ENSMNEP00000039776	ENSMNEG00000042825	Macaca_nemestrina
ENSRBIP00000011888	ENSRBIG00000029855	Rhinopithecus_bieti
ENSRROP00000027868	ENSRROG00000037721	Rhinopithecus_roxellana
ENSCANP00000000813	ENSCANG00000003128	Colobus_angolensis_palliatus
ENSPTEP00000012229	ENSPTEG00000013757	Piliocolobus_tephrosceles
ENSCCAP00000001378	ENSCCAG00000008962	Cebus_capucinus_imitator
ENSSBOP00000019475	ENSSBOG00000026341	Saimiri_boliviensis_boliviensis
ENSCJAP00000025576	ENSCJAG00000013918	Callithrix_jacchus
ENSANAP00000034582	ENSANAG00000034892	Aotus_nancymaae
ENSTSYP00000031974	ENSTSYG00000036528	Carlito_syrichta
ENSPSMP00000018530	ENSPSMG00000013126	Prolemur_simus
ENSPSMP00000018480	ENSPSMG00000013108	Prolemur_simus
ENSOGAP00000019554	ENSOGAG00000032507	Otolemur_garnettii
ENSCHIP00000027742	ENSCHIG00000023547	Capra_hircus
ENSOARP00000015741	ENSOARG00000014675	Ovis_aries
ENSBMUP00000002365	ENSBMUG00000001880	Bos_mutus
ENSBBBP00000009155	ENSBBBG00000004261	Bison_bison_bison
ENSSSCP00000071947	ENSSSCG00000037579	Sus_scrofa_strain_reference
ENSMLUP00000016349	ENSMLUG00000027120	Myotis_lucifugus
ENSMLUP00000003882	ENSMLUG00000004265	Myotis_lucifugus
ENSMPUP00000009133	ENSMPUG00000009210	Mustela_putorius_furo
ENSNVIP00000019106	ENSNVIG00000014979	Neovison_vison
ENSUMAP00000008785	ENSUMAG00000006679	Ursus_maritimus
ENSUAMP00000022239	ENSUAMG00000017479	Ursus_americanus
ENSAMEP00000015095	ENSAMEG00000014328	Ailuropoda_melanoleuca
ENSCAFP00000039975	ENSCAFG00000031174	Canis_lupus_familiaris
ENSCAFP00020034710	ENSCAFG00020026904	Canis_lupus_dingo
ENSVVUP00000019934	ENSVVUG00000014751	Vulpes_vulpes
ENSPTIP00000024572	ENSPTIG00000020623	Panthera_tigris_altaica
ENSPPRP00000004186	ENSPPRG00000000385	Panthera_pardus
ENSFCAP00000057238	ENSFCAG00000053367	Felis_catus
ENSECAP00000010413	ENSECAG00000012702	Equus_caballus
ENSEASP00005024387	ENSEASG00005016563	Equus_asinus_asinus
ENSLAFP00000025963	ENSLAFG00000032662	Loxodonta_africana
ENSOANP00000010614	ENSOANG00000006655	Ornithorhynchus_anatinus
ENSOANP00000011010	ENSOANG00000006911	Ornithorhynchus_anatinus
ENSOANP00000011034	ENSOANG00000006926	Ornithorhynchus_anatinus
ENSPVIP00000025705	ENSPVIG00000019225	Pogona_vitticeps
ENSACAP00000022333	ENSACAG00000028995	Anolis_carolinensis
ENSSPUP00000011311	ENSSPUG00000008676	Sphenodon_punctatus
ENSNPEP00000005428	ENSNPEG00000004110	Nothoprocta_perdicaria
ENSNPEP00000005447	ENSNPEG00000004113	Nothoprocta_perdicaria
ENSAHAP00000004024	ENSAHAG00000003082	Apteryx_haastii
ENSGALP00000063386	ENSGALG00000046160	Gallus_gallus
ENSNMEP00000022266	ENSNMEG00000019034	Numida_meleagris
ENSAPLP00000023720	ENSAPLG00000018570	Anas_platyrhynchos_platyrhynchos
ENSABRP00000007933	ENSABRG00000007177	Anser_brachyrhynchus
ENSCPUP00000004520	ENSCPUG00000003344	Calidris_pugnax
ENSCPGP00000003010	ENSCPGG00000002214	Calidris_pygmaea
ENSLSDP00000025820	ENSLSDG00000018038	Lonchura_striata_domestica
ENSSCAP00000006144	ENSSCAG00000004812	Serinus_canaria
ENSJHYP00000005662	ENSJHYG00000004606	Junco_hyemalis
ENSZALP00000004144	ENSZALG00000003946	Zonotrichia_albicollis
ENSFALP00000008459	ENSFALG00000008120	Ficedula_albicollis
ENSCABP00000004207	ENSCABG00000003175	Chelonoidis_abingdonii
ENSDNVP00000000856	ENSDNVG00000000649	Dromaius_novaehollandiae
ENSCPGP00000002832	ENSCPGG00000002103	Calidris_pygmaea
ENSCPBP00000018541	ENSCPBG00000013507	Chrysemys_picta_bellii
ENSCABP00000004281	ENSCABG00000003228	Chelonoidis_abingdonii
