ENSMUSP00000108124	ENSMUSG00000029500	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0072389	MGP_SPRETEiJ_G0028539	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000003444	ENSMSIG00000003160	Mus_spicilegus
MGP_CAROLIEiJ_P0069716	MGP_CAROLIEiJ_G0027541	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0057954	MGP_PahariEiJ_G0024123	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000053513	ENSRNOG00000037443	Rattus_norvegicus
ENSMUGP00000003690	ENSMUGG00000003414	Meriones_unguiculatus
ENSCGRP00001026112	ENSCGRG00001023531	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015026600	ENSCGRG00015020150	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000011125	ENSCGRG00000008114	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000007130	ENSMAUG00000008878	Mesocricetus_auratus
ENSPEMP00000021424	ENSPEMG00000019076	Peromyscus_maniculatus_bairdii
ENSMOCP00000021199	ENSMOCG00000018637	Microtus_ochrogaster
ENSNGAP00000005284	ENSNGAG00000007440	Nannospalax_galili
ENSJJAP00000016896	ENSJJAG00000018630	Jaculus_jaculus
ENSDORP00000022936	ENSDORG00000023642	Dipodomys_ordii
ENSCCNP00000028492	ENSCCNG00000027438	Castor_canadensis
ENSSTOP00000014279	ENSSTOG00000015961	Ictidomys_tridecemlineatus
ENSMMMP00000005067	ENSMMMG00000004629	Marmota_marmota_marmota
ENSSDAP00000006543	ENSSDAG00000006046	Spermophilus_dauricus
ENSCLAP00000022595	ENSCLAG00000015494	Chinchilla_lanigera
ENSODEP00000010169	ENSODEG00000007602	Octodon_degus
ENSCPOP00000029714	ENSCPOG00000033389	Cavia_porcellus
ENSCAPP00000014534	ENSCAPG00000014878	Cavia_aperea
ENSHGLP00000024149	ENSHGLG00000017212	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100009168	ENSHGLG00100006799	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000017196	ENSFDAG00000005815	Fukomys_damarensis
ENSOCUP00000022505	ENSOCUG00000027733	Oryctolagus_cuniculus
ENSRROP00000022891	ENSRROG00000035301	Rhinopithecus_roxellana	ENSRROT00000047090
ENSCANP00000026748	ENSCANG00000036791	Colobus_angolensis_palliatus
ENSRBIP00000013858	ENSRBIG00000031021	Rhinopithecus_bieti
ENSPTEP00000032515	ENSPTEG00000031237	Piliocolobus_tephrosceles
ENSMMUP00000020288	ENSMMUG00000015466	Macaca_mulatta
ENSMFAP00000033051	ENSMFAG00000003060	Macaca_fascicularis
ENSMNEP00000015952	ENSMNEG00000032035	Macaca_nemestrina
ENSPANP00000004782	ENSPANG00000013113	Papio_anubis
ENSTGEP00000000659	ENSTGEG00000000657	Theropithecus_gelada
ENSCSAP00000016203	ENSCSAG00000001826	Chlorocebus_sabaeus
ENSCATP00000025857	ENSCATG00000036376	Cercocebus_atys
ENSMLEP00000016954	ENSMLEG00000032682	Mandrillus_leucophaeus
ENSPPAP00000029627	ENSPPAG00000037828	Pan_paniscus
ENSPTRP00000065381	ENSPTRG00000005657	Pan_troglodytes
ENSP00000438465	ENSG00000247077	Homo_sapiens
ENSGGOP00000018466	ENSGGOG00000010046	Gorilla_gorilla
ENSNLEP00000010631	ENSNLEG00000008711	Nomascus_leucogenys
ENSCCAP00000003367	ENSCCAG00000018163	Cebus_capucinus_imitator
ENSCJAP00000023768	ENSCJAG00000041324	Callithrix_jacchus
ENSSBOP00000029707	ENSSBOG00000031157	Saimiri_boliviensis_boliviensis
ENSANAP00000011245	ENSANAG00000023578	Aotus_nancymaae
