ENSHGLP00000020629	ENSHGLG00000014756	Heterocephalus_glaber_HetGla_female_1.0
ENSPLAP00000023403	ENSPLAG00000008727	Poecilia_latipinna
ENSAMEP00000004908	ENSAMEG00000004625	Ailuropoda_melanoleuca
ENSAOWP00000023712	ENSAOWG00000015992	Apteryx_owenii
MGP_SPRETEiJ_P0059450	MGP_SPRETEiJ_G0025842	Mus_spretus_strain_SPRET/EiJ
ENSELUP00000006478	ENSELUG00000007357	Esox_lucius
ENSMAUP00000004763	ENSMAUG00000006325	Mesocricetus_auratus
ENSMUGP00000008014	ENSMUGG00000007153	Meriones_unguiculatus
ENSMZEP00005009277	ENSMZEG00005007033	Maylandia_zebra
ENSSPUP00000018464	ENSSPUG00000014255	Sphenodon_punctatus
ENSCMIP00000022498	ENSCMIG00000010134	Callorhinchus_milii
ENSLSDP00000003860	ENSLSDG00000003006	Lonchura_striata_domestica
ENSCPBP00000022384	ENSCPBG00000015992	Chrysemys_picta_bellii
ENSMMOP00000017308	ENSMMOG00000013175	Mola_mola
ENSHGLP00100001897	ENSHGLG00100001482	Heterocephalus_glaber_HetGla_1.0
ENSBIXP00000021748	ENSBIXG00000003772	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSNGAP00000015891	ENSNGAG00000016784	Nannospalax_galili
ENSCCEP00000006111	ENSCCEG00000006596	Cyanistes_caeruleus
ENSATEP00000036572	ENSATEG00000025136	Anabas_testudineus
ENSNBRP00000012190	ENSNBRG00000009433	Neolamprologus_brichardi
ENSCPGP00000010600	ENSCPGG00000007543	Calidris_pygmaea
ENSGGOP00000001958	ENSGGOG00000001986	Gorilla_gorilla
ENSSDUP00000025947	ENSSDUG00000018822	Seriola_dumerili
ENSCHOP00000011839	ENSCHOG00000013364	Choloepus_hoffmanni
ENSMAMP00000012582	ENSMAMG00000008523	Mastacembelus_armatus
ENSXMAP00000029951	ENSXMAG00000027755	Xiphophorus_maculatus
