ENSCPBP00000027803	ENSCPBG00000019629	Chrysemys_picta_bellii
ENSCABP00000022030	ENSCABG00000016229	Chelonoidis_abingdonii
ENSPSIP00000004805	ENSPSIG00000004495	Pelodiscus_sinensis
ENSCPRP00005005744	ENSCPRG00005004115	Crocodylus_porosus
ENSACAP00000005610	ENSACAG00000005749	Anolis_carolinensis
ENSPVIP00000020092	ENSPVIG00000015339	Pogona_vitticeps
ENSNSUP00000020097	ENSNSUG00000014652	Notechis_scutatus
ENSSMRP00000011533	ENSSMRG00000009072	Salvator_merianae
ENSLCOP00000004409	ENSLCOG00000003386	Lepidothrix_coronata
ENSMVIP00005012477	ENSMVIG00005009077	Manacus_vitellinus
ENSCCEP00000020204	ENSCCEG00000018307	Cyanistes_caeruleus
ENSPMJP00000023318	ENSPMJG00000017230	Parus_major
ENSFALP00000007257	ENSFALG00000006957	Ficedula_albicollis
ENSTGUP00000008555	ENSTGUG00000008301	Taeniopygia_guttata
ENSLSDP00000020216	ENSLSDG00000014322	Lonchura_striata_domestica
ENSSCAP00000001551	ENSSCAG00000001300	Serinus_canaria
ENSJHYP00000019998	ENSJHYG00000015167	Junco_hyemalis
ENSZALP00000018857	ENSZALG00000015046	Zonotrichia_albicollis
ENSMUNP00000016850	ENSMUNG00000012962	Melopsittacus_undulatus
ENSCPGP00000016831	ENSCPGG00000011808	Calidris_pygmaea
ENSCPUP00000017916	ENSCPUG00000012347	Calidris_pugnax
ENSAPLP00000011121	ENSAPLG00000011388	Anas_platyrhynchos_platyrhynchos
ENSABRP00000019279	ENSABRG00000016528	Anser_brachyrhynchus
ENSGALP00000048722	ENSGALG00000002963	Gallus_gallus
ENSCJPP00005009184	ENSCJPG00005008112	Coturnix_japonica
ENSMGAP00000005921	ENSMGAG00000005968	Meleagris_gallopavo
ENSNMEP00000005627	ENSNMEG00000005828	Numida_meleagris
ENSAHAP00000010930	ENSAHAG00000007926	Apteryx_haastii
ENSAOWP00000020454	ENSAOWG00000013845	Apteryx_owenii
ENSARWP00000002663	ENSARWG00000001999	Apteryx_rowi
ENSDNVP00000003459	ENSDNVG00000002446	Dromaius_novaehollandiae
