ENSJHYP00000008469	ENSJHYG00000006701	Junco_hyemalis
ENSZALP00000010109	ENSZALG00000008588	Zonotrichia_albicollis
ENSLSDP00000015709	ENSLSDG00000011322	Lonchura_striata_domestica
ENSPMJP00000025692	ENSPMJG00000018799	Parus_major
ENSFALP00000007443	ENSFALG00000007133	Ficedula_albicollis
ENSLCOP00000005733	ENSLCOG00000004251	Lepidothrix_coronata
ENSCPGP00000012024	ENSCPGG00000008566	Calidris_pygmaea
ENSABRP00000022267	ENSABRG00000018871	Anser_brachyrhynchus
ENSAOWP00000013294	ENSAOWG00000009060	Apteryx_owenii
ENSCPUP00000010988	ENSCPUG00000007791	Calidris_pugnax
ENSDNVP00000009639	ENSDNVG00000006814	Dromaius_novaehollandiae
ENSARWP00000009697	ENSARWG00000006768	Apteryx_rowi
ENSCCEP00000026039	ENSCCEG00000022971	Cyanistes_caeruleus
ENSMVIP00005010180	ENSMVIG00005007479	Manacus_vitellinus
ENSAHAP00000021174	ENSAHAG00000014859	Apteryx_haastii
ENSGALP00000013348	ENSGALG00000008206	Gallus_gallus
ENSCJPP00005019299	ENSCJPG00005015668	Coturnix_japonica
ENSMGAP00000010332	ENSMGAG00000009977	Meleagris_gallopavo
ENSNMEP00000027079	ENSNMEG00000022697	Numida_meleagris
ENSNPEP00000019064	ENSNPEG00000014201	Nothoprocta_perdicaria
ENSCPRP00005010365	ENSCPRG00005007383	Crocodylus_porosus
ENSGAGP00000009733	ENSGAGG00000007675	Gopherus_agassizii
ENSCABP00000001922	ENSCABG00000001541	Chelonoidis_abingdonii
ENSCPBP00000016589	ENSCPBG00000012225	Chrysemys_picta_bellii
ENSPSIP00000010163	ENSPSIG00000009199	Pelodiscus_sinensis
ENSMUNP00000018944	ENSMUNG00000014510	Melopsittacus_undulatus
ENSPVIP00000003475	ENSPVIG00000002924	Pogona_vitticeps
ENSACAP00000016199	ENSACAG00000016473	Anolis_carolinensis
ENSNSUP00000025418	ENSNSUG00000018303	Notechis_scutatus
ENSSMRP00000018645	ENSSMRG00000014510	Salvator_merianae
ENSSPUP00000016724	ENSSPUG00000012943	Sphenodon_punctatus
ENSVURP00010007079	ENSVURG00010005485	Vombatus_ursinus
ENSPCIP00000054838	ENSPCIG00000011761	Phascolarctos_cinereus
ENSMEUP00000006275	ENSMEUG00000006885	Notamacropus_eugenii
ENSMODP00000019214	ENSMODG00000050846	Monodelphis_domestica
ENSCGRP00015002676	ENSCGRG00015002149	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001011024	ENSCGRG00001012767	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000006662	ENSCGRG00000004867	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000023317	ENSMAUG00000020503	Mesocricetus_auratus
ENSPEMP00000021216	ENSPEMG00000018927	Peromyscus_maniculatus_bairdii
ENSMOCP00000014514	ENSMOCG00000013995	Microtus_ochrogaster
MGP_SPRETEiJ_P0072975	MGP_SPRETEiJ_G0028647	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000029583	ENSMSIG00000024795	Mus_spicilegus
ENSMUSP00000031304	ENSMUSG00000029359	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0070289	MGP_CAROLIEiJ_G0027648	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0058507	MGP_PahariEiJ_G0024229	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000001490	ENSRNOG00000001128	Rattus_norvegicus
ENSMUGP00000017772	ENSMUGG00000015104	Meriones_unguiculatus
ENSNGAP00000008491	ENSNGAG00000011449	Nannospalax_galili
ENSJJAP00000004964	ENSJJAG00000009941	Jaculus_jaculus
ENSCPOP00000010802	ENSCPOG00000012005	Cavia_porcellus
ENSCAPP00000005701	ENSCAPG00000007965	Cavia_aperea
ENSCLAP00000014992	ENSCLAG00000010333	Chinchilla_lanigera
ENSODEP00000007006	ENSODEG00000005224	Octodon_degus
ENSHGLP00000025599	ENSHGLG00000018228	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100025181	ENSHGLG00100018472	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000005327	ENSFDAG00000014369	Fukomys_damarensis
ENSMUSP00000064132	ENSMUSG00000055826	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000000608	ENSMSIG00000000643	Mus_spicilegus
MGP_SPRETEiJ_P0081217	MGP_SPRETEiJ_G0030424	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0077897	MGP_CAROLIEiJ_G0029330	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0046235	MGP_PahariEiJ_G0021181	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000026268	ENSRNOG00000019427	Rattus_norvegicus
ENSMUGP00000027683	ENSMUGG00000022999	Meriones_unguiculatus
ENSPEMP00000036939	ENSPEMG00000031056	Peromyscus_maniculatus_bairdii
ENSCCNP00000001976	ENSCCNG00000002191	Castor_canadensis
ENSSDAP00000025806	ENSSDAG00000023418	Spermophilus_dauricus
ENSSTOP00000009237	ENSSTOG00000010300	Ictidomys_tridecemlineatus
ENSUPAP00010009189	ENSUPAG00010007437	Urocitellus_parryii
ENSOPRP00000014392	ENSOPRG00000015756	Ochotona_princeps
ENSMFAP00000040349	ENSMFAG00000046337	Macaca_fascicularis
ENSMMUP00000023001	ENSMMUG00000017478	Macaca_mulatta
ENSMNEP00000008121	ENSMNEG00000028592	Macaca_nemestrina
ENSTGEP00000026748	ENSTGEG00000021557	Theropithecus_gelada
ENSPANP00000034956	ENSPANG00000035302	Papio_anubis
ENSCATP00000006587	ENSCATG00000020468	Cercocebus_atys
ENSMLEP00000016009	ENSMLEG00000032206	Mandrillus_leucophaeus
ENSCSAP00000015712	ENSCSAG00000002325	Chlorocebus_sabaeus
ENSRBIP00000015062	ENSRBIG00000031636	Rhinopithecus_bieti
ENSRROP00000014640	ENSRROG00000031510	Rhinopithecus_roxellana
ENSPTEP00000004228	ENSPTEG00000004982	Piliocolobus_tephrosceles
ENSCANP00000027595	ENSCANG00000037205	Colobus_angolensis_palliatus
ENSPPAP00000041990	ENSPPAG00000043592	Pan_paniscus
ENSPTRP00000009339	ENSPTRG00000005504	Pan_troglodytes
ENSP00000334785	ENSG00000088992	Homo_sapiens
ENSGGOP00000002697	ENSGGOG00000002737	Gorilla_gorilla
ENSPPYP00000005704	ENSPPYG00000005003	Pongo_abelii
ENSNLEP00000000334	ENSNLEG00000000282	Nomascus_leucogenys
